game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,2,1,1,3,1,2,8,5,2,6,11,11,4.78000020980835,4.380000114440918,1.5800000429153442,2.285633087158203,1.1611409187316895,3.944810152053833,1.303933024406433,,,,,,,,,,,
2,10,9,1,1,3,2,6,8,3,4,19,13,2.059999942779541,3.5799999237060547,3.559999942779541,1.3075886964797974,1.7849860191345215,1.5470786094665527,2.6735923290252686,,,,,,,,,,,
3,6,4,0,2,0,2,10,4,4,6,10,12,1.350000023841858,5.400000095367432,7.599999904632568,1.0800000429153442,3.1569230556488037,1.1540789604187012,6.497036933898926,,,,,,,,,,,
4,11,12,0,1,5,1,1,10,2,3,16,22,5.75,4.320000171661377,1.5,2.466732978820801,1.113402009010315,4.736666679382324,1.235652208328247,,,,,,,,,,,
5,8,5,2,1,0,0,3,7,4,4,5,6,3.0899999141693115,3.5799999237060547,2.25,1.6585007905960083,1.3816466331481934,2.32586669921875,1.6935921907424927,,,,,,,,,,,
6,7,3,1,1,2,1,6,3,4,1,22,14,2.940000057220459,3.5,2.359999895095825,1.5978261232376099,1.409556269645691,2.2008473873138428,1.7666666507720947,,,,,,,,,,,
7,12,6,1,1,1,3,5,4,5,3,7,15,2.0899999141693115,3.759999990463257,3.259999990463257,1.3433161973953247,1.7460968494415283,1.608282208442688,2.5086123943328857,,,,,,,,,,,
8,4,11,1,2,1,5,8,2,5,5,9,16,2.0399999618530273,3.4800000190734863,3.7200000286102295,1.286086916923523,1.7979999780654907,1.5174193382263184,2.767058849334717,,,,,,,,,,,
9,9,7,4,0,3,1,9,0,7,0,17,8,2.359999895095825,3.440000057220459,3.009999990463257,1.3997241258621216,1.6053333282470703,1.7483720779418945,2.229915142059326,,,,,,,,,,,
10,3,2,1,4,3,1,8,10,5,7,14,21,3.059999942779541,3.700000047683716,2.2200000286102295,1.6748520135879517,1.3875000476837158,2.330810785293579,1.6909804344177246,,,,,,,,,,,
11,1,8,7,1,3,0,9,1,10,1,7,7,1.090000033378601,10.5,25,0.9874892234802246,7.394366264343262,1.0227279663085938,23.457063674926758,,,,,,,,,,,
12,5,10,1,1,2,0,5,9,7,4,11,7,2,3.759999990463257,3.4600000381469727,1.3055555820465088,1.8018836975097656,1.5464739799499512,2.6754000186920166,,,,,,,,,,,
13,2,11,3,1,0,2,4,4,13,2,9,17,1.3700000047683716,5.300000190734863,7.900000095367432,1.0886056423187256,3.1719696521759033,1.149949312210083,6.631094932556152,,,,,,,,,,,
14,8,9,2,1,1,2,3,2,4,5,12,12,3.0799999237060547,3.380000114440918,2.259999990463257,1.611517071723938,1.354397177696228,2.315575122833252,1.6990909576416016,,,,,,,,,,,
15,7,4,4,3,2,3,3,4,9,4,12,13,2.640000104904175,3.740000009536743,2.4800000190734863,1.54758620262146,1.49118971824646,2.023225784301758,1.9006060361862183,,,,,,,,,,,
16,10,12,1,1,2,0,2,5,7,6,13,7,3.8399999141693115,3.880000114440918,1.8899999856948853,1.9299482107162476,1.2709184885025024,2.9711110591888428,1.462343692779541,,,,,,,,,,,
17,1,5,1,0,3,3,8,2,4,1,13,13,1.1100000143051147,9.800000190734863,17,0.9970669150352478,6.2164177894592285,1.0439882278442383,15.989008903503418,,,,,,,,,,,
18,6,3,3,0,4,3,5,6,9,3,15,14,1.659999966621399,4.239999771118164,4.800000190734863,1.1929491758346558,2.2513275146484375,1.31891667842865,3.813735008239746,,,,,,,,,,,
19,3,10,2,2,1,3,9,3,9,4,9,14,1.850000023841858,4.139999866485596,3.799999952316284,1.2786310911178589,1.9813601970672607,1.457105278968811,2.9929730892181396,,,,,,,,,,,
20,4,8,1,1,4,1,5,6,3,2,14,7,2.0399999618530273,3.7799999713897705,3.4200000762939453,1.3249484300613403,1.7955000400543213,1.564561367034912,2.622941255569458,,,,,,,,,,,
21,9,1,0,1,2,4,1,14,0,5,14,15,11.5,6.349999904632568,1.25,4.091036319732666,1.044407844543457,9.996000289916992,1.0865217447280884,,,,,,,,,,,
22,12,2,1,3,3,3,4,1,4,5,12,17,2.140000104904175,3.5999999046325684,3.319999933242798,1.3421602249145508,1.7271676063537598,1.6116867065429688,2.5003738403320312,,,,,,,,,,,
23,5,7,1,1,1,4,6,6,4,2,8,12,1.6200000047683716,4.320000171661377,5.050000190734863,1.178181767463684,2.3282816410064697,1.294376254081726,4.034938335418701,,,,,,,,,,,
24,11,6,2,1,1,1,5,1,5,2,17,12,4.420000076293945,4.199999809265137,1.7200000286102295,2.1535964012145996,1.2202702760696411,3.4983720779418945,1.3613574504852295,,,,,,,,,,,
25,3,9,3,0,2,3,7,1,4,3,18,8,2.0299999713897705,3.619999885559082,3.5999999046325684,1.300637125968933,1.8049861192703247,1.5326111316680908,2.717931032180786,,,,,,,,,,,
26,10,11,0,0,4,2,7,2,2,2,15,12,1.9299999475479126,4,3.5799999237060547,1.3018549680709839,1.8891820907592773,1.5083240270614624,2.797823905944824,,,,,,,,,,,
27,1,7,3,1,1,4,9,2,6,2,9,13,1.1100000143051147,10.5,20,1.003875970840454,6.8852458000183105,1.0343899726867676,18.637657165527344,,,,,,,,,,,
28,2,5,2,2,2,3,8,2,6,3,9,18,2.0199999809265137,3.859999895095825,3.359999895095825,1.3260544538497925,1.796343445777893,1.569166660308838,2.6100990772247314,,,,,,,,,,,
29,6,8,3,0,0,3,7,4,8,5,6,18,1.3200000524520874,5.650000095367432,8.899999618530273,1.0700143575668335,3.4560136795043945,1.1253483295440674,7.587575912475586,,,,,,,,,,,
30,12,4,1,1,1,1,5,2,6,3,8,9,1.5700000524520874,4.599999904632568,5.199999809265137,1.1705024242401123,2.4408164024353027,1.2758846282958984,4.225859642028809,,,,,,,,,,,
31,4,1,0,1,2,0,1,8,2,4,9,13,8.699999809265137,5.949999809265137,1.2999999523162842,3.533447027206421,1.0668965578079224,7.538461685180664,1.1264368295669556,,,,,,,,,,,
