game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
3,5,10,0,2,0,1,9,4,3,5,11,18,2.059999942779541,3.7200000286102295,3.5799999237060547,1.3258131742477417,1.8243287801742554,1.5439106225967407,2.6831068992614746,1.2000000476837158,4.699999809265137,1.4700000286102295,2.5999999046325684,1.75,2.0999999046325684,2.0999999046325684,1.659999966621399,3.0999999046325684,1.340000033378601,2.0999999046325684
4,8,2,0,0,2,1,5,3,1,1,14,10,2.9700000286102295,3.799999952316284,2.309999942779541,1.6670606136322021,1.4366611242294312,2.240000009536743,1.7422221899032593,1.2100000381469727,4.539999961853027,1.5299999713897705,2.4000000953674316,1.7999999523162842,2.0299999713897705,2.25,1.5700000524520874,3.200000047683716,1.3200000524520874,2.0299999713897705
5,7,1,4,0,1,0,1,6,5,2,11,10,5.900000095367432,5.25,1.4600000381469727,2.778026819229126,1.1423249244689941,4.940273761749268,1.222508430480957,1.1299999952316284,5.449999809265137,1.399999976158142,2.869999885559082,1.559999942779541,2.4600000381469727,2,1.7200000286102295,2.6600000858306885,1.4900000095367432,2.4600000381469727
6,6,4,2,1,4,2,6,8,7,6,19,16,3.0299999713897705,3.799999952316284,2.319999933242798,1.685797929763794,1.4405227899551392,2.259913921356201,1.7303630113601685,1.2799999713897705,3.759999990463257,1.600000023841858,2.299999952316284,2.049999952316284,1.7899999618530273,2.5,1.5,3.9000000953674316,1.2300000190734863,1.7899999618530273
7,9,3,0,0,1,0,7,3,5,5,16,5,3.1500000953674316,4.099999904632568,2.140000104904175,1.7813793420791626,1.4060897827148438,2.422523260116577,1.6457778215408325,1.1399999856948853,5.099999904632568,1.399999976158142,2.869999885559082,1.6200000047683716,2.3299999237060547,2,1.7200000286102295,2.9200000762939453,1.4199999570846558,2.3299999237060547
8,4,9,1,3,2,5,8,1,2,4,14,12,1.600000023841858,4.239999771118164,5.900000095367432,1.1616438627243042,2.4670610427856445,1.2457627058029175,4.59375,1.340000033378601,3.319999933242798,1.75,2.0399999618530273,2.2699999809265137,1.649999976158142,2.75,1.399999976158142,4.440000057220459,1.1799999475479126,1.649999976158142
9,3,8,4,1,2,1,11,2,13,3,9,13,1.340000033378601,5.449999809265137,8.899999618530273,1.0755523443222046,3.3801393508911133,1.1275506019592285,7.488955020904541,1.190000057220459,4.840000152587891,1.440000057220459,2.700000047683716,1.7100000381469727,2.1600000858306885,2.200000047683716,1.6100000143051147,2.940000057220459,1.3700000047683716,2.1600000858306885
10,1,6,1,0,2,5,8,0,4,0,11,26,1.2100000381469727,7.400000095367432,13.5,1.039953589439392,4.779904365539551,1.0678369998931885,11.913884162902832,1.1299999952316284,5.550000190734863,1.3600000143051147,3.0999999046325684,1.5299999713897705,2.5399999618530273,1.899999976158142,1.7999999523162842,2.569999933242798,1.5199999809265137,2.5399999618530273
11,10,7,2,0,4,3,4,5,6,4,28,11,3.140000104904175,3.8399999141693115,2.240000009536743,1.727449893951416,1.4147368669509888,2.353749990463257,1.6791082620620728,1.2200000286102295,4.400000095367432,1.5,2.5,1.8200000524520874,2.009999990463257,2.200000047683716,1.6100000143051147,3.259999990463257,1.309999942779541,2.009999990463257
12,2,5,2,0,,,9,5,4,5,8,15,1.3899999856948853,5.75,7.5,1.119397759437561,3.2547168731689453,1.1616266965866089,6.267769813537598,1.1299999952316284,5.599999904632568,1.3300000429153442,3.4000000953674316,1.5199999809265137,2.569999933242798,1.8300000429153442,1.8300000429153442,2.569999933242798,1.5199999809265137,2.569999933242798
