game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,8,15,1,0,1,3,7,7,5,3,,,2.390000104904175,3.259999990463257,3.259999990463257,1.3790088891983032,1.6299999952316284,1.6984663009643555,2.3167364597320557,1.5199999809265137,2.5999999046325684,2,1.7999999523162842,2.75,1.4800000190734863,3.4000000953674316,1.2999999523162842,6.050000190734863,1.1399999856948853,1.4800000190734863
2,11,16,3,0,0,0,9,5,12,11,,,1.350000023841858,5.599999904632568,8.880000114440918,1.0877697467803955,3.4342541694641113,1.1289864778518677,7.426222324371338,1.25,4.179999828338623,1.5700000524520874,2.3499999046325684,1.899999976158142,1.899999976158142,2.25,1.5700000524520874,3.1500000953674316,1.3799999952316284,1.899999976158142
3,6,5,1,1,2,1,2,9,3,7,,,1.75,3.5999999046325684,5.550000190734863,1.177570104598999,2.1836066246032715,1.2890089750289917,4.0879998207092285,1.5199999809265137,2.5999999046325684,1.9800000190734863,1.8300000429153442,2.8399999141693115,1.4500000476837158,3.4000000953674316,1.2999999523162842,5,1.1299999952316284,1.4500000476837158
4,4,7,3,0,4,1,4,2,6,2,,,1.7699999809265137,3.7200000286102295,5.050000190734863,1.199344277381897,2.142075300216675,1.3234851360321045,3.776045083999634,1.7000000476837158,2.0999999046325684,2.25,1.6100000143051147,3.1500000953674316,1.3799999952316284,4.329999923706055,1.2000000476837158,7.5,1.100000023841858,1.3799999952316284
5,1,10,1,0,2,4,8,4,10,2,,,1.1799999475479126,7.340000152587891,20,1.0165727138519287,5.36942195892334,1.0378199815750122,17.59016990661621,1.340000033378601,3.4200000762939453,1.7200000286102295,2.069999933242798,2.180000066757202,1.7599999904632568,2.75,1.399999976158142,4.239999771118164,1.2400000095367432,1.7599999904632568
6,13,2,0,4,5,2,4,3,4,10,,,4.420000076293945,3.8399999141693115,1.690000057220459,2.0548183917999268,1.1735261678695679,3.543076992034912,1.3547059297561646,1.3300000429153442,3.0799999237060547,1.7200000286102295,2.069999933242798,2.2200000286102295,1.590000033378601,2.619999885559082,1.440000057220459,4.320000171661377,1.1699999570846558,1.590000033378601
7,14,9,0,0,0,1,7,4,3,3,,,2.0399999618530273,3.049999952316284,3.880000114440918,1.2223968505859375,1.7076479196548462,1.4952577352523804,2.843921661376953,1.8799999952316284,1.9299999475479126,2.5,1.5,4.5,1.1699999570846558,4.5,1.159999966621399,10,1.0099999904632568,1.1699999570846558
8,3,12,3,0,2,3,6,3,9,1,,,1.1399999856948853,9.880000114440918,19.799999237060547,1.022068977355957,6.591104984283447,1.0364242792129517,18.001052856445312,1.2400000095367432,4.239999771118164,1.5299999713897705,2.4000000953674316,1.850000023841858,1.9500000476837158,2.369999885559082,1.5299999713897705,3.319999933242798,1.350000023841858,1.9500000476837158
9,15,7,0,1,1,2,4,5,1,5,,,3.890000104904175,3.3499999046325684,2.109999895095825,1.7999309301376343,1.2945970296859741,2.7867298126220703,1.5115680694580078,1.5299999713897705,2.5799999237060547,2.1500000953674316,1.659999966621399,2.880000114440918,1.440000057220459,3.75,1.25,7.5,1.100000023841858,1.440000057220459
10,8,16,2,0,2,2,0,8,2,7,,,1.5499999523162842,4.820000171661377,5.630000114440918,1.1728414297103882,2.596803903579712,1.2498046159744263,4.539612770080566,1.3899999856948853,3.0899999141693115,1.7200000286102295,2.069999933242798,2.2200000286102295,1.7400000095367432,3,1.3600000143051147,4.360000133514404,1.2300000190734863,1.7400000095367432
