game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,12,7,1,1,1,2,7,3,5,5,11,8,3.180000066757202,3.7799999713897705,2.0299999713897705,1.7270690202713013,1.3207229375839233,2.5151724815368652,1.6055974960327148,,,,,,,,,,,
2,14,15,1,1,4,6,0,4,4,4,12,17,1.9700000286102295,4.099999904632568,3.359999895095825,1.3306424617767334,1.8466488122940063,1.5545833110809326,2.6514720916748047,,,,,,,,,,,
3,9,16,2,0,4,2,2,1,4,4,16,15,1.7999999523162842,3.819999933242798,4.360000133514404,1.2234874963760376,2.036087989807129,1.3845871686935425,3.3537778854370117,,,,,,,,,,,
4,11,5,0,3,3,1,9,2,3,6,13,9,2.319999933242798,3.5399999618530273,2.9800000190734863,1.4015016555786133,1.6179754734039307,1.7429530620574951,2.238793134689331,,,,,,,,,,,
5,4,3,3,2,2,2,13,2,9,5,12,10,2.0999999046325684,3.7799999713897705,3.240000009536743,1.350000023841858,1.7446154356002808,1.6151851415634155,2.492000102996826,,,,,,,,,,,
6,2,8,2,2,3,6,10,3,11,5,9,14,1.2000000476837158,6.75,12,1.0188679695129395,4.320000171661377,1.0779999494552612,10.779999732971191,,,,,,,,,,,
7,6,1,1,3,3,3,5,2,2,5,11,7,1.9500000476837158,3.380000114440918,3.5399999618530273,1.2365853786468506,1.7290751934051514,1.5198304653167725,2.7590768337249756,,,,,,,,,,,
8,13,10,2,1,2,1,1,8,2,4,12,6,4.460000038146973,3.940000057220459,1.6799999475479126,2.091952323913574,1.1777936220169067,3.5816667079925537,1.3491480350494385,,,,,,,,,,,
9,18,17,0,1,,,,,,,,,2.4100000858306885,3.359999895095825,2.990000009536743,1.4033968448638916,1.5821102857589722,1.769899606704712,2.1958506107330322,,,,,,,,,,,
10,7,11,3,4,0,1,9,5,9,7,2,12,1.4299999475479126,4.900000095367432,6.050000190734863,1.1069509983062744,2.707305908203125,1.2116363048553467,5.126153945922852,,,,,,,,,,,
