game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,11,10,2,0,2,1,4,6,6,4,16,6,2.569999933242798,3.390000104904175,2.6700000762939453,1.4617953300476074,1.493613839149475,1.9232958555221558,1.998132348060608,,,,,,,,,,,
2,4,5,1,1,1,1,6,2,5,4,12,9,2.0299999713897705,3.140000104904175,4.050000190734863,1.2329206466674805,1.7687065601348877,1.4712098836898804,2.9351723194122314,,,,,,,,,,,
3,9,2,0,0,1,1,4,3,2,2,13,8,2.4100000858306885,3.2100000381469727,3.009999990463257,1.3765302896499634,1.5533922910690308,1.7646511793136597,2.2039833068847656,,,,,,,,,,,
4,12,17,3,1,2,0,3,3,7,3,7,13,1.7000000476837158,3.9600000381469727,4.400000095367432,1.189399242401123,2.0842106342315674,1.3586363792419434,3.5164706707000732,,,,,,,,,,,
5,15,6,2,4,3,3,7,3,4,7,10,12,1.7000000476837158,3.559999942779541,5.340000152587891,1.1505703926086426,2.135999917984009,1.291985034942627,4.058352947235107,,,,,,,,,,,
6,13,16,0,0,1,1,2,2,2,2,12,11,2.119999885559082,3.4800000190734863,3.380000114440918,1.3174285888671875,1.7146356105804443,1.5946745872497559,2.542452812194824,,,,,,,,,,,
7,7,3,0,1,1,1,3,4,4,2,12,10,4.480000019073486,3.140000104904175,1.8799999952316284,1.846089243888855,1.175936222076416,3.315319061279297,1.3912500143051147,,,,,,,,,,,
8,1,8,2,1,2,2,9,4,7,2,14,14,2.5199999809265137,3.0799999237060547,2.9800000190734863,1.3860000371932983,1.51458740234375,1.8087248802185059,2.1388888359069824,,,,,,,,,,,
9,6,4,1,2,2,1,7,5,5,5,15,16,2.869999885559082,2.9700000286102295,2.700000047683716,1.4595719575881958,1.414285659790039,2.0217037200927734,1.9019511938095093,,,,,,,,,,,
10,2,12,1,0,2,2,4,5,7,3,15,10,2.130000114440918,3.380000114440918,3.380000114440918,1.3066061735153198,1.690000057220459,1.59757399559021,2.5351173877716064,,,,,,,,,,,
11,10,7,1,1,2,3,4,10,4,5,14,10,3.0199999809265137,3.109999895095825,2.4100000858306885,1.5321696996688843,1.357807993888855,2.208049774169922,1.7620530128479004,,,,,,,,,,,
12,14,13,1,1,2,2,3,5,2,2,10,20,2.0299999713897705,3.140000104904175,4.050000190734863,1.2329206466674805,1.7687065601348877,1.4712098836898804,2.9351723194122314,,,,,,,,,,,
13,16,9,1,2,2,3,4,2,5,5,15,17,2.049999952316284,3.299999952316284,3.75,1.2644859552383423,1.7553191184997559,1.5157333612442017,2.7726829051971436,,,,,,,,,,,
14,8,11,2,0,3,1,5,3,4,2,11,11,1.2699999809265137,5.099999904632568,7.900000095367432,1.0167975425720215,3.0992307662963867,1.1375442743301392,7.07606315612793,,,,,,,,,,,
15,3,15,2,1,1,2,7,6,7,1,12,13,2.0299999713897705,3.440000057220459,3.6500000953674316,1.2766362428665161,1.7709449529647827,1.525041103363037,2.7420690059661865,,,,,,,,,,,
16,5,1,0,0,3,1,2,8,1,5,13,10,2.390000104904175,3.240000009536743,3.0199999809265137,1.3754173517227173,1.563067078590393,1.7555629014968872,2.2183263301849365,,,,,,,,,,,
17,12,10,0,2,4,2,9,1,5,4,8,13,1.899999976158142,3.5999999046325684,3.9000000953674316,1.2436363697052002,1.871999979019165,1.4574358463287354,2.991579055786133,,,,,,,,,,,
18,1,3,1,0,2,2,5,2,3,1,19,22,3.880000114440918,3.5399999618530273,1.8600000143051147,1.8511050939559937,1.219333291053772,3.024301052093506,1.449793815612793,,,,,,,,,,,
19,8,14,0,0,2,3,6,6,5,7,13,13,3.3299999237060547,3.2200000286102295,2.240000009536743,1.6370381116867065,1.3210256099700928,2.436875104904175,1.6392191648483276,,,,,,,,,,,
20,17,2,1,2,3,3,5,4,3,2,15,17,4.449999809265137,3.700000047683716,1.7699999809265137,2.020245313644409,1.1972577571868896,3.4438416957855225,1.369797706604004,,,,,,,,,,,
21,9,5,1,2,1,3,7,2,1,4,7,10,2.2300000190734863,3.180000066757202,3.1700000762939453,1.3107948303222656,1.587496042251587,1.6694005727767944,2.373094081878662,,,,,,,,,,,
22,7,16,3,1,3,0,7,3,9,2,14,9,2.369999885559082,3.200000047683716,3.0899999141693115,1.3615798950195312,1.572019100189209,1.731650471687317,2.257721424102783,,,,,,,,,,,
23,15,4,1,1,2,3,2,3,4,3,10,9,2.119999885559082,3.309999942779541,3.5199999809265137,1.2923020124435425,1.7058857679367065,1.5702272653579712,2.6071698665618896,,,,,,,,,,,
24,11,6,1,1,2,1,10,2,9,4,13,11,2.990000009536743,3.130000114440918,2.490000009536743,1.5291993618011475,1.3867793083190918,2.156787157058716,1.7961204051971436,,,,,,,,,,,
25,10,15,0,1,2,4,3,3,1,2,17,11,4.730000019073486,3.2899999618530273,1.840000033378601,1.9403616189956665,1.1800389289855957,3.499239206314087,1.361226201057434,,,,,,,,,,,
26,13,7,5,3,2,3,14,2,10,4,15,13,2.359999895095825,3.390000104904175,2.950000047683716,1.391373872756958,1.5773658752441406,1.7640000581741333,2.2049999237060547,,,,,,,,,,,
27,3,11,2,1,2,1,2,13,2,5,14,9,1.5,4.039999961853027,6.5,1.093862771987915,2.4914610385894775,1.2061538696289062,5.226666450500488,,,,,,,,,,,
28,5,8,0,0,3,2,5,5,2,2,13,10,1.9299999475479126,3.430000066757202,4.039999961853027,1.235055923461914,1.8550468683242798,1.4481682777404785,3.0313990116119385,,,,,,,,,,,
29,2,1,1,1,2,2,2,6,2,7,12,12,2.049999952316284,3.109999895095825,4.010000228881836,1.2355619668960571,1.7515590190887451,1.4809975624084473,2.896975517272949,,,,,,,,,,,
30,16,17,2,1,2,5,1,5,7,4,16,9,1.600000023841858,3.990000009536743,5.489999771118164,1.1420392990112305,2.310664653778076,1.2656102180480957,4.342625141143799,,,,,,,,,,,
31,4,9,0,2,1,1,4,2,1,2,15,11,2.4600000381469727,3.2899999618530273,2.869999885559082,1.4075478315353394,1.5328409671783447,1.8200000524520874,2.123333215713501,,,,,,,,,,,
32,14,12,2,1,2,3,4,7,6,5,13,11,2.2200000286102295,3.109999895095825,3.2799999713897705,1.2953470945358276,1.5963693857192993,1.6432926654815674,2.4279279708862305,,,,,,,,,,,
33,1,10,1,0,2,2,4,3,3,2,10,12,1.7799999713897705,3.5199999809265137,4.440000057220459,1.182188630104065,1.9634170532226562,1.3728828430175781,3.4244942665100098,,,,,,,,,,,
34,6,16,2,1,2,2,3,0,8,6,14,10,2.5,3.130000114440918,3.049999952316284,1.3898756504058838,1.544741153717041,1.7832787036895752,2.175600051879883,,,,,,,,,,,
35,9,14,1,0,2,4,4,1,2,4,18,17,2.440000057220459,2.990000009536743,3.190000057220459,1.343572735786438,1.543381929397583,1.7295924425125122,2.2612295150756836,,,,,,,,,,,
36,11,4,1,1,2,4,1,8,7,7,11,16,2.5899999141693115,3.1500000953674316,2.859999895095825,1.4213414192199707,1.4990016222000122,1.8674825429916382,2.062162160873413,,,,,,,,,,,
