game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,5,15,1,0,1,2,10,2,1,2,9,9,1.4500000476837158,4.099999904632568,7.199999809265137,1.0711711645126343,2.612389326095581,1.1773611307144165,5.8462066650390625,1.6200000047683716,2.2200000286102295,2.1500000953674316,1.659999966621399,3.140000104904175,1.3300000429153442,3.75,1.25,6.75,1.059999942779541,1.3300000429153442
2,7,9,1,0,1,5,4,4,6,4,13,15,1.5499999523162842,3.7799999713897705,6.349999904632568,1.0992494821548462,2.3694965839385986,1.2192126512527466,4.994838714599609,1.8300000429153442,1.9800000190734863,2.3499999046325684,1.5700000524520874,3.4600000381469727,1.2799999713897705,4,1.2200000286102295,7.599999904632568,1.0499999523162842,1.2799999713897705
3,11,6,2,2,1,0,5,1,3,3,9,12,2.240000009536743,3.0899999141693115,3.3399999141693115,1.2986116409301758,1.6050699949264526,1.637245535850525,2.4412500858306885,1.899999976158142,1.899999976158142,2.5,1.5,4.099999904632568,1.2100000381469727,5,1.159999966621399,9.199999809265137,1.0199999809265137,1.2100000381469727
4,1,3,2,0,1,3,1,2,2,9,10,24,2.180000066757202,3.240000009536743,3.3399999141693115,1.3031734228134155,1.6446200609207153,1.6196407079696655,2.4814679622650146,1.6699999570846558,2.119999885559082,2.299999952316284,1.600000023841858,3.319999933242798,1.2999999523162842,4,1.2200000286102295,7.300000190734863,1.0499999523162842,1.2999999523162842
5,2,10,1,0,0,3,7,5,2,3,14,10,1.4199999570846558,4.199999809265137,7.699999809265137,1.0612099170684814,2.717647075653076,1.1607272624969482,6.294084548950195,1.6100000143051147,2.2300000190734863,2.0999999046325684,1.7000000476837158,3.140000104904175,1.3300000429153442,3.75,1.25,6.699999809265137,1.059999942779541,1.3300000429153442
6,4,17,1,1,2,2,7,4,8,1,10,11,1.7100000381469727,3.359999895095825,4.639999866485596,1.1332544088363647,1.948799967765808,1.3411637544631958,3.63918137550354,1.8300000429153442,1.9800000190734863,2.4000000953674316,1.5299999713897705,3.700000047683716,1.25,4.5,1.1799999475479126,8.100000381469727,1.0399999618530273,1.25
7,12,13,2,0,2,1,2,6,5,3,20,11,1.7100000381469727,3.4200000762939453,5.050000190734863,1.1399999856948853,2.039079189300537,1.311841607093811,3.8741519451141357,1.8799999952316284,1.9299999475479126,2.5,1.5,3.700000047683716,1.25,4.5,1.1799999475479126,8.199999809265137,1.0399999618530273,1.25
8,19,16,2,2,4,4,8,2,4,4,18,18,2.180000066757202,2.9800000190734863,3.619999885559082,1.2589921951293945,1.634484887123108,1.570165753364563,2.607339382171631,1.8300000429153442,1.9800000190734863,2.4000000953674316,1.5299999713897705,3.700000047683716,1.25,4.329999923706055,1.2000000476837158,8.100000381469727,1.0399999618530273,1.25
9,9,14,2,1,1,3,4,4,3,3,12,13,1.4600000381469727,3.940000057220459,6.599999904632568,1.0652592182159424,2.467172622680664,1.1967878341674805,5.410137176513672,1.7000000476837158,2.0999999046325684,2.0999999046325684,1.7000000476837158,3.140000104904175,1.3300000429153442,4.329999923706055,1.2000000476837158,6.75,1.059999942779541,1.3300000429153442
10,15,11,0,1,2,4,5,5,3,4,13,11,2.7699999809265137,3.0799999237060547,2.5799999237060547,1.4583932161331177,1.4039576053619385,2.032170534133911,1.89277982711792,1.850000023841858,1.9500000476837158,2.4000000953674316,1.5299999713897705,3.700000047683716,1.25,4.5,1.1799999475479126,8.100000381469727,1.0399999618530273,1.25
11,8,18,1,1,1,3,7,3,2,1,11,16,2.009999990463257,3.259999990463257,3.7200000286102295,1.2433775663375854,1.7374211549758911,1.5095161199569702,2.793731451034546,1.7400000095367432,2.0199999809265137,2.299999952316284,1.600000023841858,3.5399999618530273,1.2699999809265137,4.329999923706055,1.2000000476837158,7.800000190734863,1.0399999618530273,1.2699999809265137
12,10,12,2,1,4,3,2,10,2,8,12,11,2.430000066757202,3.069999933242798,2.9700000286102295,1.3563817739486694,1.5095860958099365,1.781818151473999,2.1777777671813965,1.850000023841858,1.9500000476837158,2.4000000953674316,1.5299999713897705,3.740000009536743,1.2200000286102295,5,1.159999966621399,8,1.0499999523162842,1.2200000286102295
