game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,1,8,1,2,0,3,8,3,3,8,10,20,1.690000057220459,3.640000104904175,4.460000038146973,1.1541463136672974,2.004246950149536,1.3513453006744385,3.566272258758545,,,,,,,,,,,
2,12,4,0,2,1,2,3,7,1,6,10,19,3.2200000286102295,3.5999999046325684,2.1600000858306885,1.699706792831421,1.350000023841858,2.4409258365631104,1.6373913288116455,,,,,,,,,,,
3,9,10,1,2,3,5,7,10,7,6,12,21,2.490000009536743,3.640000104904175,2.390000104904175,1.4785643815994263,1.4427196979522705,2.001004219055176,1.920642614364624,,,,,,,,,,,
4,2,3,2,2,1,1,3,6,6,5,8,16,1.690000057220459,3.8399999141693115,4.300000190734863,1.1735261678695679,2.028501272201538,1.3651628494262695,3.4734911918640137,,,,,,,,,,,
5,7,6,1,1,1,2,5,5,2,5,10,15,2.430000066757202,3.259999990463257,2.690000057220459,1.3922319412231445,1.4738487005233765,1.8652788400650024,2.0648560523986816,,,,,,,,,,,
6,5,11,0,0,0,2,5,4,1,3,8,4,2.009999990463257,3.5799999237060547,3.299999952316284,1.2872629165649414,1.717151165008545,1.576909065246582,2.5889551639556885,,,,,,,,,,,
7,3,1,0,1,1,1,5,6,0,4,16,6,2.7799999713897705,3.5399999618530273,2.4000000953674316,1.5571519136428833,1.4303029775619507,2.115166664123535,1.8260431289672852,,,,,,,,,,,
8,4,8,1,1,2,1,5,1,6,3,15,12,2.049999952316284,3.5999999046325684,3.559999942779541,1.3061946630477905,1.7899441719055176,1.544325828552246,2.681853771209717,,,,,,,,,,,
9,9,7,0,0,4,2,5,5,5,1,15,14,2.8499999046325684,3.640000104904175,2.369999885559082,1.5984591245651245,1.4354076385498047,2.1584811210632324,1.7949473857879639,,,,,,,,,,,
10,2,5,0,0,3,0,4,2,2,2,6,9,1.5199999809265137,4.380000114440918,5.349999904632568,1.1284067630767822,2.408324718475342,1.2584298849105835,4.429342269897461,,,,,,,,,,,
11,6,10,1,1,3,5,5,6,4,4,9,9,1.9900000095367432,3.4600000381469727,3.5199999809265137,1.2633761167526245,1.7448710203170776,1.5340341329574585,2.7134673595428467,,,,,,,,,,,
12,11,12,1,0,0,3,4,8,5,2,11,16,2.390000104904175,3.3399999141693115,2.869999885559082,1.3931238651275635,1.5436071157455444,1.7960975170135498,2.156820058822632,,,,,,,,,,,
13,10,1,0,2,1,2,10,9,5,7,6,8,3.059999942779541,3.5399999618530273,2.190000057220459,1.641272783279419,1.3529843091964722,2.3493151664733887,1.6813725233078003,,,,,,,,,,,
14,5,3,0,0,1,4,3,9,6,6,9,11,2.4700000286102295,3.5199999809265137,2.7699999809265137,1.4514857530593872,1.5501431226730347,1.8538627624511719,2.079028367996216,,,,,,,,,,,
15,7,4,1,2,2,2,5,2,6,2,13,13,2.869999885559082,3.359999895095825,2.4700000286102295,1.5478651523590088,1.4235334396362305,2.1187045574188232,1.82341468334198,,,,,,,,,,,
16,12,6,2,2,0,2,1,9,6,6,6,13,2.880000114440918,3.5199999809265137,2.319999933242798,1.5839999914169312,1.3983561992645264,2.19655179977417,1.769444465637207,,,,,,,,,,,
17,8,2,0,2,0,1,7,1,5,5,11,5,2.8499999046325684,3.359999895095825,2.430000066757202,1.5420290231704712,1.4101554155349731,2.129382610321045,1.8155789375305176,,,,,,,,,,,
18,11,9,0,2,1,2,3,7,2,7,8,14,2.3399999141693115,3.259999990463257,3.0899999141693115,1.3622143268585205,1.5863622426986694,1.7221359014511108,2.2741024494171143,,,,,,,,,,,
19,5,10,4,1,2,3,1,5,10,4,9,13,2.3299999237060547,3.559999942779541,2.9100000858306885,1.4082852602005005,1.6011745929718018,1.7646735906600952,2.203948497772217,,,,,,,,,,,
20,1,12,4,1,2,4,5,4,12,2,15,8,1.5800000429153442,4.28000020980835,4.880000114440918,1.1539931297302246,2.280174732208252,1.297295093536377,4.006835460662842,,,,,,,,,,,
21,4,11,1,0,2,1,6,4,6,6,5,9,1.7200000286102295,3.9200000762939453,4.579999923706055,1.1954610347747803,2.1121883392333984,1.3480349779129028,3.5895349979400635,,,,,,,,,,,
22,2,6,4,2,3,3,3,5,8,3,9,8,1.6699999570846558,4.139999866485596,4.420000076293945,1.1899827718734741,2.1377103328704834,1.350271463394165,3.573772430419922,,,,,,,,,,,
23,3,7,2,0,2,4,5,9,3,6,24,14,2.309999942779541,3.4200000762939453,3.109999895095825,1.3787434101104736,1.628820776939392,1.7079099416732788,2.299393892288208,,,,,,,,,,,
24,9,8,3,1,1,2,4,7,5,2,11,10,2.630000114440918,3.5399999618530273,2.5799999237060547,1.5089465379714966,1.4923529624938965,1.978992223739624,1.941368818283081,,,,,,,,,,,
25,11,1,0,2,2,1,7,8,4,4,9,12,5.5,4.039999961853027,1.559999942779541,2.3291404247283936,1.125428557395935,4.435128211975098,1.2579636573791504,,,,,,,,,,,
26,10,4,1,2,4,1,7,5,6,5,7,7,3,3.5399999618530273,2.2899999618530273,1.6238532066345215,1.3904974460601807,2.263842821121216,1.7280666828155518,,,,,,,,,,,
27,6,9,0,1,1,4,7,5,2,1,7,15,2.2300000190734863,3.740000009536743,2.940000057220459,1.3970184326171875,1.6460479497909546,1.7233333587646484,2.2720179557800293,,,,,,,,,,,
28,8,5,1,1,1,2,6,5,2,6,7,13,1.9600000381469727,3.680000066757202,3.6600000858306885,1.2788652181625366,1.8349863290786743,1.504808783531189,2.809999942779541,,,,,,,,,,,
29,7,2,1,3,1,4,3,6,2,8,10,15,3.119999885559082,3.5799999237060547,2.180000066757202,1.6671044826507568,1.3549305200576782,2.382568836212158,1.6647435426712036,,,,,,,,,,,
30,12,3,0,1,1,2,7,7,2,7,8,13,3.1600000858306885,3.619999885559082,2.180000066757202,1.6871976852416992,1.3606207370758057,2.400550365447998,1.6560759544372559,,,,,,,,,,,
31,1,5,3,0,0,2,3,5,6,2,5,5,1.5399999618530273,4.380000114440918,5.150000095367432,1.1393918991088867,2.3669464588165283,1.2730485200881958,4.257272720336914,,,,,,,,,,,
32,8,6,2,2,0,2,4,6,5,3,10,8,2.2699999809265137,3.5399999618530273,3.0899999141693115,1.3830981254577637,1.6498641967773438,1.6999353170394897,2.3140087127685547,,,,,,,,,,,
33,4,3,1,1,6,3,4,4,3,2,13,9,2.319999933242798,3.5,2.990000009536743,1.3951890468597412,1.6124807596206665,1.7404013872146606,2.2430171966552734,,,,,,,,,,,
34,2,11,2,0,1,1,5,2,9,3,6,13,1.2999999523162842,5.5,8.899999618530273,1.0514706373214722,3.399305582046509,1.1231460571289062,7.689230918884277,,,,,,,,,,,
35,10,7,2,0,4,2,8,4,7,2,16,15,2.5199999809265137,3.2799999713897705,2.890000104904175,1.4251034259796143,1.53633713722229,1.8345328569412231,2.103888988494873,,,,,,,,,,,
36,9,12,3,1,0,2,4,2,5,7,11,12,1.659999966621399,3.7200000286102295,4.900000095367432,1.1478066444396973,2.114617109298706,1.312000036239624,3.8727710247039795,,,,,,,,,,,
37,3,9,2,1,2,1,4,5,5,3,14,12,2.140000104904175,3.2200000286102295,3.559999942779541,1.2855969667434692,1.6907374858856201,1.569101095199585,2.6102802753448486,,,,,,,,,,,
38,11,10,2,2,0,5,5,5,6,4,7,21,3.4800000190734863,3.740000009536743,2.0299999713897705,1.802659273147583,1.3158059120178223,2.6600000858306885,1.5516666173934937,,,,,,,,,,,
39,5,4,2,1,0,1,0,4,4,7,4,3,2.4100000858306885,3.680000066757202,2.759999990463257,1.4562890529632568,1.5771428346633911,1.8357245922088623,2.1023237705230713,,,,,,,,,,,
40,12,2,0,4,1,2,1,4,1,10,10,8,6.050000190734863,4.539999961853027,1.4600000381469727,2.5936732292175293,1.1047333478927612,5.040958881378174,1.2164958715438843,,,,,,,,,,,
41,7,8,2,2,5,5,4,6,3,3,16,19,2.3499999046325684,3.5999999046325684,2.9100000858306885,1.4218487739562988,1.609216570854187,1.7714089155197144,2.1935319900512695,,,,,,,,,,,
42,6,1,2,0,0,2,4,3,4,4,12,13,3.259999990463257,3.5399999618530273,2.2899999618530273,1.6971176862716675,1.3904974460601807,2.3751091957092285,1.6684049367904663,,,,,,,,,,,
43,1,9,2,0,1,2,2,4,7,5,11,15,1.4199999570846558,5.150000095367432,7.099999904632568,1.1130897998809814,2.9848978519439697,1.1759999990463257,5.880000114440918,,,,,,,,,,,
44,6,5,1,1,1,1,5,2,6,8,6,6,1.809999942779541,3.819999933242798,3.740000009536743,1.2280994653701782,1.8897883892059326,1.4542781114578247,3.004972457885742,,,,,,,,,,,
45,10,3,2,3,2,1,11,8,7,6,9,6,2.25,3.5399999618530273,3.119999885559082,1.3756476640701294,1.6583783626556396,1.6867307424545288,2.338933229446411,,,,,,,,,,,
46,4,2,0,2,1,1,7,3,2,3,7,4,3.819999933242798,3.859999895095825,1.8600000143051147,1.919947862625122,1.2551748752593994,2.9926881790161133,1.4571727514266968,,,,,,,,,,,
47,7,12,1,0,0,3,6,3,7,4,12,14,1.600000023841858,4.099999904632568,5.650000095367432,1.1508772373199463,2.3758974075317383,1.2575221061706543,4.440625190734863,,,,,,,,,,,
48,8,11,2,1,1,3,5,5,3,7,9,10,1.7599999904632568,4.039999961853027,4.340000152587891,1.2259310483932495,2.0923149585723877,1.377419352531433,3.3965909481048584,,,,,,,,,,,
49,3,8,2,0,6,3,12,0,5,3,15,8,1.9700000286102295,3.5999999046325684,3.619999885559082,1.2732495069503784,1.8049861192703247,1.513314962387085,2.7808122634887695,,,,,,,,,,,
50,12,10,1,1,1,1,3,5,7,2,5,14,4.059999942779541,4.039999961853027,1.7899999618530273,2.0249876976013184,1.240411639213562,3.2027933597564697,1.4120689630508423,,,,,,,,,,,
51,4,9,3,2,1,2,8,11,7,4,14,8,2.4200000762939453,3.4200000762939453,2.9200000762939453,1.417191743850708,1.5751419067382812,1.792191743850708,2.1624794006347656,,,,,,,,,,,
52,11,6,1,0,2,5,5,6,6,1,13,10,3.559999942779541,3.700000047683716,2.0199999809265137,1.8143250942230225,1.3066433668136597,2.7071287631988525,1.5360673666000366,,,,,,,,,,,
53,2,1,0,1,3,1,3,2,3,3,16,9,2,3.7200000286102295,4,1.3006993532180786,1.9274611473083496,1.4700000286102295,2.940000057220459,,,,,,,,,,,
54,5,7,0,2,2,3,3,6,1,4,9,21,2.3399999141693115,3.5399999618530273,2.700000047683716,1.4087755680084229,1.5317307710647583,1.8293333053588867,2.110769271850586,,,,,,,,,,,
55,10,8,1,1,2,2,3,4,6,4,13,8,2.119999885559082,3.8399999141693115,3.190000057220459,1.365906000137329,1.742475152015686,1.631285309791565,2.454622745513916,,,,,,,,,,,
56,1,4,1,0,2,3,3,8,2,4,11,16,1.6299999952316284,4.079999923706055,4.980000019073486,1.1646934747695923,2.2426490783691406,1.3007630109786987,3.9741103649139404,,,,,,,,,,,
