game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
2,7,9,4,2,1,1,9,1,5,3,16,13,1.2699999809265137,5.650000095367432,9.300000190734863,1.0369219779968262,3.5147156715393066,1.1138279438018799,8.156377792358398,1.2599999904632568,3.5,1.600000023841858,2.299999952316284,2,1.7999999523162842,2.369999885559082,1.5299999713897705,3.700000047683716,1.2400000095367432,1.7999999523162842
3,4,10,1,3,1,3,9,2,8,6,16,27,2.7699999809265137,3.680000066757202,2.2899999618530273,1.5804030895233154,1.4115912914276123,2.165414810180664,1.7901805639266968,1.25,3.700000047683716,1.6100000143051147,2.25,1.9800000190734863,1.8300000429153442,2.619999885559082,1.440000057220459,3.4800000190734863,1.25,1.8300000429153442
4,16,5,3,1,4,3,1,8,5,7,18,18,2.440000057220459,3.2799999713897705,2.819999933242798,1.3991608619689941,1.5163278579711914,1.827943205833435,2.1126229763031006,1.5099999904632568,2.450000047683716,2.049999952316284,1.75,2.809999942779541,1.399999976158142,3.4000000953674316,1.2999999523162842,5.849999904632568,1.090000033378601,1.399999976158142
5,11,2,2,3,6,4,2,2,3,10,25,14,6.75,4.300000190734863,1.4500000476837158,2.626696825027466,1.0843478441238403,5.542068958282471,1.1905184984207153,1.4800000190734863,2.5399999618530273,1.9800000190734863,1.8300000429153442,2.680000066757202,1.440000057220459,3.4000000953674316,1.2999999523162842,5.550000190734863,1.100000023841858,1.440000057220459
6,14,3,2,0,2,3,1,7,3,6,21,13,3.859999895095825,3.5199999809265137,1.899999976158142,1.8410840034484863,1.2339483499526978,2.970947265625,1.4623833894729614,1.440000057220459,2.6700000762939453,1.9500000476837158,1.850000023841858,2.569999933242798,1.4700000286102295,3.25,1.3300000429153442,5.25,1.1200000047683716,1.4700000286102295
7,12,8,0,1,1,1,12,1,2,5,13,14,2.1600000858306885,3.299999952316284,3.2799999713897705,1.3054945468902588,1.6449848413467407,1.6253658533096313,2.4681482315063477,1.5700000524520874,2.309999942779541,2.1500000953674316,1.659999966621399,2.9700000286102295,1.3700000047683716,3.75,1.25,6.349999904632568,1.0800000429153442,1.3700000047683716
8,1,13,4,1,3,5,7,5,7,5,21,19,1.3700000047683716,4.840000152587891,7.599999904632568,1.0677616596221924,2.9569132328033447,1.1566579341888428,6.416496276855469,1.309999942779541,3.259999990463257,1.7000000476837158,2.0999999046325684,2.119999885559082,1.6699999570846558,2.619999885559082,1.440000057220459,4.039999961853027,1.190000057220459,1.6699999570846558
9,13,16,3,0,3,2,4,5,4,0,12,10,2,3,4.239999771118164,1.2000000476837158,1.7569060325622559,1.442264199256897,3.0576000213623047,1.3300000429153442,3.140000104904175,1.75,2.049999952316284,2.190000057220459,1.6299999952316284,2.5,1.5,4.239999771118164,1.1799999475479126,1.6299999952316284
10,6,11,3,3,1,1,4,3,9,9,20,13,1.4700000286102295,4.360000133514404,6.199999809265137,1.0993481874465942,2.5598485469818115,1.2123547792434692,5.113333225250244,1.3200000524520874,3.200000047683716,1.7200000286102295,2.069999933242798,1.9800000190734863,1.8300000429153442,2.75,1.399999976158142,4.079999923706055,1.1799999475479126,1.8300000429153442
11,5,3,3,1,2,4,0,5,5,6,16,17,3.299999952316284,2.9600000381469727,2.3399999141693115,1.5603834390640259,1.3068679571151733,2.362051248550415,1.6749091148376465,1.3700000047683716,2.940000057220459,1.850000023841858,1.9500000476837158,2.2300000190734863,1.6100000143051147,2.75,1.399999976158142,4.139999866485596,1.1799999475479126,1.6100000143051147
12,10,1,2,3,4,3,3,6,6,4,17,15,2.259999990463257,3.4800000190734863,2.930000066757202,1.3701741695404053,1.5907020568847656,1.7359044551849365,2.250530958175659,1.2300000190734863,3.9000000953674316,1.600000023841858,2.299999952316284,1.8799999952316284,1.9299999475479126,2.200000047683716,1.6100000143051147,3.259999990463257,1.2799999713897705,1.9299999475479126
13,9,4,1,2,1,4,11,0,6,4,21,15,2.009999990463257,2.9000000953674316,4.400000095367432,1.187169075012207,1.7479451894760132,1.427681803703308,3.1252737045288086,1.4800000190734863,2.5399999618530273,1.9500000476837158,1.850000023841858,2.509999990463257,1.4900000095367432,3.4000000953674316,1.2999999523162842,4.840000152587891,1.1399999856948853,1.4900000095367432
14,15,7,0,0,3,1,1,14,1,7,16,20,7,5,1.3700000047683716,2.9166667461395264,1.0753532648086548,5.98729944229126,1.1718000173568726,1.2300000190734863,3.9000000953674316,1.5299999713897705,2.4000000953674316,1.8799999952316284,1.9299999475479126,2.25,1.5700000524520874,3.259999990463257,1.2799999713897705,1.9299999475479126
15,2,12,3,0,2,2,4,4,5,1,13,26,1.309999942779541,4.940000057220459,9.399999618530273,1.035423994064331,3.2382147312164307,1.1165745258331299,8.01206111907959,1.4299999475479126,2.7100000381469727,1.9500000476837158,1.850000023841858,2.509999990463257,1.4900000095367432,3.4000000953674316,1.2999999523162842,5.150000095367432,1.1200000047683716,1.4900000095367432
16,8,14,1,1,6,4,2,3,3,5,18,19,1.9500000476837158,3.319999933242798,3.880000114440918,1.228463053703308,1.7891111373901367,1.472525715827942,2.9299488067626953,1.559999942779541,2.3299999237060547,2.1500000953674316,1.659999966621399,2.940000057220459,1.3700000047683716,3.75,1.25,6.25,1.0800000429153442,1.3700000047683716
17,3,4,2,0,1,2,6,5,5,2,16,14,1.590000033378601,4.119999885559082,5.050000190734863,1.1472504138946533,2.268920421600342,1.2885544300079346,4.092578411102295,1.2999999523162842,3.319999933242798,1.7200000286102295,2.069999933242798,2.0799999237060547,1.7000000476837158,2.619999885559082,1.440000057220459,3.940000057220459,1.2000000476837158,1.7000000476837158
