game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,1,3,2,2,1,3,4,8,4,5,11,13,2.4600000381469727,3.4800000190734863,2.9700000286102295,1.4412121772766113,1.6024186611175537,1.7917171716690063,2.16317081451416,,,,,,,,,,,
2,7,8,3,2,0,2,6,9,6,5,16,7,1.9900000095367432,3.309999942779541,4.420000076293945,1.2428113222122192,1.8926520347595215,1.4212217330932617,3.1566834449768066,,,,,,,,,,,
3,5,11,1,1,0,3,7,5,4,3,11,18,2.069999933242798,3.4100000858306885,3.930000066757202,1.2880839109420776,1.8257901668548584,1.496183156967163,2.8405797481536865,,,,,,,,,,,
4,18,22,1,4,2,2,2,5,4,5,9,6,2.240000009536743,3.369999885559082,3.4700000286102295,1.3455971479415894,1.70963454246521,1.6126224994659424,2.4981250762939453,,,,,,,,,,,
5,9,20,3,0,1,5,7,2,6,1,18,7,2.2899999618530273,3.359999895095825,3.359999895095825,1.3618407249450684,1.6799999475479126,1.6479166746139526,2.4179039001464844,,,,,,,,,,,
6,24,6,1,1,3,2,4,6,3,6,17,15,2.200000047683716,3.2799999713897705,3.690000057220459,1.3167883157730103,1.7364705801010132,1.5642818212509155,2.623727321624756,,,,,,,,,,,
7,21,23,1,1,0,0,2,4,6,3,7,6,2.549999952316284,3.319999933242798,2.9600000381469727,1.4422487020492554,1.5648407936096191,1.8242567777633667,2.1175687313079834,,,,,,,,,,,
8,16,12,1,1,2,0,2,4,2,1,10,13,2.200000047683716,3.369999885559082,3.5799999237060547,1.331059217453003,1.735913634300232,1.5822346210479736,2.5747272968292236,,,,,,,,,,,
9,13,15,2,1,4,2,7,5,10,4,11,10,2.1500000953674316,3.380000114440918,3.690000057220459,1.3141049146652222,1.7641018629074097,1.5510027408599854,2.6619534492492676,,,,,,,,,,,
10,17,19,0,1,1,6,8,2,2,2,3,12,1.690000057220459,3.5899999141693115,6.159999847412109,1.1490719318389893,2.268143653869629,1.2488635778427124,4.5520710945129395,,,,,,,,,,,
11,2,10,1,1,2,3,4,2,3,1,14,14,1.840000033378601,3.3399999141693115,5.300000190734863,1.1864092350006104,2.048842668533325,1.3202264308929443,3.802826166152954,,,,,,,,,,,
12,4,14,2,1,4,1,0,5,6,2,16,12,2.25,3.1700000762939453,3.680000066757202,1.3159594535827637,1.7030073404312134,1.5791847705841064,2.5828444957733154,,,,,,,,,,,
13,20,24,2,1,4,2,2,5,4,2,9,13,2.559999942779541,3.2799999713897705,2.9700000286102295,1.4378082752227783,1.5586559772491455,1.8247138261795044,2.116953134536743,,,,,,,,,,,
14,3,9,3,2,2,2,8,4,6,5,15,9,1.690000057220459,3.799999952316284,5.099999904632568,1.169763207435608,2.177528142929077,1.304745078086853,3.93739652633667,,,,,,,,,,,
15,8,18,2,1,3,0,2,12,2,5,11,16,2.4800000190734863,3.1600000858306885,3.1500000953674316,1.3895035982131958,1.57749605178833,1.7515555620193481,2.2247581481933594,,,,,,,,,,,
16,14,1,1,2,2,3,6,4,5,3,8,16,2.569999933242798,3.2200000286102295,2.950000047683716,1.4292573928833008,1.5395461320877075,1.833762764930725,2.104902744293213,,,,,,,,,,,
17,11,13,1,1,1,2,7,3,2,1,10,15,2.3399999141693115,3.2799999713897705,3.2799999713897705,1.3656939268112183,1.6399999856948853,1.6791462898254395,2.353675127029419,,,,,,,,,,,
