game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,14,5,2,0,0,0,2,5,3,4,12,8,4.190000057220459,3.3399999141693115,2.0299999713897705,1.8585126399993896,1.2626070976257324,3.002758502960205,1.4547971487045288,,,,,,,,,,,
2,6,15,5,1,1,2,5,4,8,3,11,9,1.600000023841858,4.269999980926514,5.800000190734863,1.163884162902832,2.4593842029571533,1.2503448724746704,4.53249979019165,,,,,,,,,,,
3,17,16,3,2,3,1,2,4,7,2,18,13,3.7300000190734863,3.369999885559082,2.140000104904175,1.7704366445541382,1.3088566064834595,2.6881308555603027,1.5422520637512207,,,,,,,,,,,
4,12,8,1,0,1,2,5,4,5,3,6,10,1.7000000476837158,4.130000114440918,5,1.204288125038147,2.2617743015289307,1.3131999969482422,3.8623528480529785,,,,,,,,,,,
5,11,13,3,1,2,0,6,8,6,3,13,15,2.119999885559082,3.4600000381469727,3.7100000381469727,1.3145519495010376,1.7903207540512085,1.5399999618530273,2.694999933242798,,,,,,,,,,,
6,1,10,3,0,0,0,5,2,6,1,15,11,1.3200000524520874,5.349999904632568,11.199999809265137,1.0587706565856934,3.6205437183380127,1.0954999923706055,9.295151710510254,,,,,,,,,,,
7,18,7,1,2,2,1,7,6,3,8,10,7,3.1700000762939453,3.1700000762939453,2.5,1.5850000381469727,1.397707223892212,2.222640037536621,1.7528706789016724,,,,,,,,,,,
8,20,4,0,3,1,1,3,11,3,8,4,14,7.090000152587891,4.869999885559082,1.4600000381469727,2.88698148727417,1.1232542991638184,5.739041328430176,1.1818053722381592,,,,,,,,,,,
9,19,3,2,4,1,0,7,6,3,9,4,3,3.619999885559082,3.4700000286102295,2.140000104904175,1.7717065811157227,1.3236720561981201,2.6377570629119873,1.5593370199203491,,,,,,,,,,,
10,9,2,1,0,2,1,3,11,3,4,11,8,6.53000020980835,4.199999809265137,1.5700000524520874,2.556011199951172,1.1428076028823853,5.056050777435303,1.2156201601028442,,,,,,,,,,,
11,4,18,2,0,0,0,8,4,9,3,6,12,1.2599999904632568,6.269999980926514,12.100000381469727,1.0491633415222168,4.129940032958984,1.0820496082305908,10.391111373901367,,,,,,,,,,,
12,2,20,5,0,1,0,6,1,4,0,13,7,1.1100000143051147,10.899999618530273,26,1.0074105262756348,7.6802167892456055,1.0218384265899658,23.934955596923828,,,,,,,,,,,
13,15,11,2,2,2,4,8,5,4,8,6,13,2.0899999141693115,3.569999933242798,3.6700000762939453,1.3182508945465088,1.809654712677002,1.5380926132202148,2.7008612155914307,,,,,,,,,,,
14,10,14,0,0,3,1,3,5,2,3,12,9,2.6600000858306885,3.2699999809265137,2.859999895095825,1.4668128490447998,1.5256444215774536,1.8914685249328613,2.033684253692627,,,,,,,,,,,
15,16,19,2,0,3,4,3,4,2,1,8,18,1.7899999618530273,4.079999923706055,4.420000076293945,1.2441567182540894,2.1215999126434326,1.376877784729004,3.399888277053833,,,,,,,,,,,
16,7,17,2,0,4,0,7,2,3,1,11,6,1.7999999523162842,3.690000057220459,4.849999904632568,1.2098360061645508,2.095608949661255,1.3437113761901855,3.6205556392669678,,,,,,,,,,,
17,8,9,0,1,1,4,5,4,6,6,9,7,3.1700000762939453,3.190000057220459,2.490000009536743,1.5899842977523804,1.3984330892562866,2.227630615234375,1.749779224395752,,,,,,,,,,,
18,13,6,1,1,2,3,7,7,3,4,12,10,5.789999961853027,4.400000095367432,1.5800000429153442,2.50009822845459,1.1625417470932007,4.571265697479248,1.2474266290664673,,,,,,,,,,,
19,5,1,0,2,3,0,9,8,3,5,10,4,4.980000019073486,3.559999942779541,1.8200000524520874,2.075971841812134,1.2043123245239258,3.6615383625030518,1.3381526470184326,,,,,,,,,,,
20,3,12,4,1,0,1,10,0,7,1,8,8,2.4000000953674316,3.700000047683716,2.9000000953674316,1.4557377099990845,1.6257575750350952,1.791034460067749,2.1641666889190674,,,,,,,,,,,
21,2,5,5,0,1,2,14,0,10,0,5,7,1.340000033378601,5.360000133514404,10.100000381469727,1.0720000267028809,3.5016818046569824,1.1100198030471802,8.366567611694336,,,,,,,,,,,
22,3,10,2,2,1,0,5,3,4,2,10,7,1.5700000524520874,4.099999904632568,6.659999847412109,1.1352733373641968,2.5377323627471924,1.211021065711975,5.137197494506836,,,,,,,,,,,
23,20,12,1,2,2,1,9,9,4,3,8,9,4.619999885559082,3.690000057220459,1.840000033378601,2.0514800548553467,1.2277758121490479,3.4406521320343018,1.3703030347824097,,,,,,,,,,,
24,19,13,2,2,3,3,4,4,5,6,11,6,2.440000057220459,3.559999942779541,2.950000047683716,1.4477332830429077,1.6132104396820068,1.7905762195587158,2.1648361682891846,,,,,,,,,,,
25,7,11,0,2,1,2,4,5,3,5,7,9,2.299999952316284,3.3299999237060547,3.380000114440918,1.3603907823562622,1.677406907081604,1.6468639373779297,2.4201738834381104,,,,,,,,,,,
26,16,14,1,1,3,3,3,2,5,2,15,14,2.049999952316284,3.3299999237060547,4.099999904632568,1.2688661813735962,1.8375505208969116,1.4700000286102295,2.940000057220459,,,,,,,,,,,
27,4,1,1,1,0,2,12,3,7,3,13,4,2.440000057220459,3.630000114440918,2.890000104904175,1.4591763019561768,1.6090030670166016,1.80740487575531,2.140737771987915,,,,,,,,,,,
28,9,17,1,0,3,3,10,3,8,2,8,14,1.409999966621399,4.599999904632568,9.34000015258789,1.079201340675354,3.082066059112549,1.1279443502426147,7.471631050109863,,,,,,,,,,,
29,18,15,1,1,4,3,5,5,3,2,13,9,3.5199999809265137,3.569999933242798,2.1500000953674316,1.772411823272705,1.341870665550232,2.5844650268554688,1.5785795450210571,,,,,,,,,,,
30,8,6,0,1,3,4,5,7,6,3,7,9,5.190000057220459,3.809999942779541,1.7400000095367432,2.1970999240875244,1.1944864988327026,3.9031033515930176,1.3085548877716064,,,,,,,,,,,
31,10,9,3,0,2,3,8,2,4,1,13,15,4.179999828338623,3.450000047683716,1.9900000095367432,1.890039324760437,1.2620404958724976,3.038492441177368,1.4465550184249878,,,,,,,,,,,
32,17,8,0,2,3,3,6,8,2,5,15,13,4,3.200000047683716,2.130000114440918,1.7777777910232544,1.278799295425415,2.820375680923462,1.5018500089645386,,,,,,,,,,,
33,13,3,0,0,3,3,5,4,3,3,10,12,3.299999952316284,3.5799999237060547,2.2300000190734863,1.717151165008545,1.3740792274475098,2.4302241802215576,1.642242431640625,,,,,,,,,,,
34,6,19,4,1,1,0,7,3,7,3,9,2,1.190000057220459,7.420000076293945,17.100000381469727,1.0255284309387207,5.174633026123047,1.0481988191604614,15.062353134155273,,,,,,,,,,,
35,12,2,0,1,1,2,5,8,1,8,4,11,5.809999942779541,4.110000133514404,1.6299999952316284,2.407167434692383,1.1671254634857178,4.473128795623779,1.2549397945404053,,,,,,,,,,,
36,14,7,0,1,3,2,1,5,1,2,9,12,3.059999942779541,3.240000009536743,2.5199999809265137,1.573714256286621,1.4175000190734863,2.1700000762939453,1.7870588302612305,,,,,,,,,,,
37,5,20,1,0,1,2,8,4,7,1,9,11,1.3799999952316284,5.130000114440918,8.829999923706055,1.0874654054641724,3.244835138320923,1.1331596374511719,7.250579833984375,,,,,,,,,,,
38,1,16,3,0,1,4,4,11,4,6,11,11,1.3600000143051147,5.199999809265137,10.100000381469727,1.078048825263977,3.4326796531677246,1.1119604110717773,8.257941246032715,,,,,,,,,,,
39,15,4,0,3,2,1,2,11,4,9,9,8,5,4.429999828338623,1.649999976158142,2.348886489868164,1.2022204399108887,3.9496970176696777,1.3034000396728516,,,,,,,,,,,
40,11,18,3,1,1,1,4,6,6,6,3,6,1.7400000095367432,3.559999942779541,5.739999771118164,1.1687546968460083,2.197247266769409,1.2770731449127197,4.212873458862305,,,,,,,,,,,
41,19,15,1,1,2,2,4,5,7,9,9,11,3.1700000762939453,3.680000066757202,2.25,1.7030073404312134,1.3962900638580322,2.360711097717285,1.6755836009979248,,,,,,,,,,,
42,8,14,0,2,4,4,4,2,0,3,10,7,1.809999942779541,3.3499999046325684,5.610000133514404,1.175096869468689,2.0974888801574707,1.2961853742599487,4.017458438873291,,,,,,,,,,,
43,20,17,1,3,1,1,4,8,5,8,10,14,2.2899999618530273,3.359999895095825,3.359999895095825,1.3618407249450684,1.6799999475479126,1.6479166746139526,2.4179039001464844,,,,,,,,,,,
44,2,13,0,0,0,2,8,5,1,2,5,12,1.1699999570846558,8.8100004196167,17.200000762939453,1.0328357219696045,5.825912952423096,1.0466628074645996,15.38683795928955,,,,,,,,,,,
45,4,10,3,0,3,1,10,5,10,2,17,11,1.309999942779541,5.860000133514404,10.199999809265137,1.0706554651260376,3.7217931747436523,1.1058627367019653,8.61053466796875,,,,,,,,,,,
46,18,5,0,1,2,1,8,3,3,3,9,8,4.139999866485596,3.690000057220459,1.9299999475479126,1.951034426689148,1.2672064304351807,3.0821762084960938,1.4368598461151123,,,,,,,,,,,
47,16,11,3,0,1,1,5,4,3,1,7,10,2.2300000190734863,3.4800000190734863,3.390000104904175,1.3590893745422363,1.717205286026001,1.6246607303619385,2.469775676727295,,,,,,,,,,,
48,3,6,1,2,0,0,2,11,4,10,5,8,4.630000114440918,3.9000000953674316,1.7999999523162842,2.1168816089630127,1.2315789461135864,3.5007777214050293,1.360993504524231,,,,,,,,,,,
49,7,12,2,1,2,1,4,9,5,3,8,10,2.450000047683716,3.259999990463257,3.1600000858306885,1.3987740278244019,1.604610562324524,1.7398101091384888,2.24399995803833,,,,,,,,,,,
50,9,1,0,3,0,1,5,11,2,10,4,15,4.820000171661377,3.509999990463257,1.850000023841858,2.030996322631836,1.211473822593689,3.533297300338745,1.3561410903930664,,,,,,,,,,,
51,6,16,0,1,2,2,5,5,4,3,9,13,1.3799999952316284,5.130000114440918,8.829999923706055,1.0874654054641724,3.244835138320923,1.1331596374511719,7.250579833984375,,,,,,,,,,,
52,1,2,0,1,3,2,4,13,0,4,12,10,2.9700000286102295,3.2799999713897705,2.559999942779541,1.5586559772491455,1.4378082752227783,2.116953134536743,1.8247138261795044,,,,,,,,,,,
53,17,19,1,1,4,3,5,6,4,6,19,12,2.109999895095825,3.5999999046325684,3.5999999046325684,1.3302977085113525,1.7999999523162842,1.5543888807296753,2.6520378589630127,,,,,,,,,,,
54,12,18,2,2,2,4,8,3,5,3,10,8,1.659999966621399,3.9100000858306885,5.809999942779541,1.1652783155441284,2.3371500968933105,1.2599999904632568,4.409999847412109,,,,,,,,,,,
55,15,3,1,2,3,2,5,7,5,7,10,6,3.190000057220459,3.690000057220459,2.240000009536743,1.7109156847000122,1.3938617706298828,2.375624895095825,1.6681504249572754,,,,,,,,,,,
