game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,1,8,4,2,1,3,8,1,5,3,12,10,1.590000033378601,4.139999866485596,5.650000095367432,1.1487958431243896,2.389274835586548,1.2557876110076904,4.462389945983887,,,,,,,,,,,
2,4,2,1,0,2,1,2,5,2,1,9,14,3.130000114440918,3.2300000190734863,2.2699999809265137,1.5896068811416626,1.3331091403961182,2.33127760887146,1.69073486328125,,,,,,,,,,,
3,2,1,0,0,1,3,3,6,2,2,14,13,3.119999885559082,3.5,2.259999990463257,1.6495468616485596,1.3732638359069824,2.3329203128814697,1.6898717880249023,,,,,,,,,,,
4,5,12,1,1,4,1,7,2,3,2,17,13,1.3899999856948853,4.800000190734863,8.100000381469727,1.0778675079345703,3.013953447341919,1.1481728553771973,6.690791130065918,,,,,,,,,,,
5,3,4,2,1,4,2,2,10,1,6,12,10,3.2200000286102295,3.3399999141693115,2.2899999618530273,1.639451265335083,1.3585435152053833,2.3579912185668945,1.6769565343856812,,,,,,,,,,,
6,8,10,0,2,4,2,8,7,0,2,5,8,1.7599999904632568,3.740000009536743,4.380000114440918,1.1967999935150146,2.0173890590667725,1.37378990650177,3.418863534927368,,,,,,,,,,,
7,6,9,2,0,1,2,5,9,3,7,6,15,2.5399999618530273,3.240000009536743,2.880000114440918,1.4238061904907227,1.5247058868408203,1.8443055152893066,2.0911810398101807,,,,,,,,,,,
8,11,7,0,2,1,3,2,6,0,7,13,12,3.299999952316284,3.0999999046325684,2.380000114440918,1.5984375476837158,1.3463503122329712,2.3388235569000244,1.6867878437042236,,,,,,,,,,,
9,5,6,1,1,1,3,4,4,5,1,16,14,2.1700000762939453,3.240000009536743,3.5799999237060547,1.2995933294296265,1.7007625102996826,1.5740222930908203,2.596774101257324,,,,,,,,,,,
10,12,8,1,3,0,0,4,4,5,2,12,8,5.349999904632568,3.869999885559082,1.600000023841858,2.245607376098633,1.1319926977157593,4.256875038146973,1.2730841636657715,,,,,,,,,,,
11,4,9,2,1,2,2,10,9,5,4,14,11,1.559999942779541,3.9700000286102295,5.699999809265137,1.1199276447296143,2.3401241302490234,1.2482105493545532,4.560769081115723,,,,,,,,,,,
12,10,11,3,1,2,3,4,7,2,5,7,15,1.8200000524520874,3.7200000286102295,3.9700000286102295,1.2220938205718994,1.9204680919647217,1.429269552230835,3.117692232131958,,,,,,,,,,,
13,3,2,2,4,5,2,5,5,5,5,17,19,3.569999933242798,3.369999885559082,2.0299999713897705,1.7335591316223145,1.266870379447937,2.7034482955932617,1.5372549295425415,,,,,,,,,,,
14,7,1,0,3,4,0,8,3,10,7,14,10,4.710000038146973,3.369999885559082,1.7799999713897705,1.9644430875778198,1.1647766828536987,3.573146104812622,1.3503609895706177,,,,,,,,,,,
15,2,10,2,0,2,2,5,3,6,1,11,17,1.4199999570846558,4.039999961853027,8.399999618530273,1.0506960153579712,2.7279741764068604,1.1456667184829712,6.7771830558776855,,,,,,,,,,,
16,8,4,1,2,5,3,7,7,2,4,11,9,3.2200000286102295,3.2200000286102295,2.2899999618530273,1.6100000143051147,1.3382576704025269,2.3579912185668945,1.6769565343856812,,,,,,,,,,,
17,9,12,0,3,2,1,10,1,3,3,12,11,1.7100000381469727,3.5799999237060547,5.199999809265137,1.1572400331497192,2.1202733516693115,1.3022692203521729,3.9601168632507324,,,,,,,,,,,
18,6,7,1,1,1,2,2,4,3,5,15,7,3.1700000762939453,3.130000114440918,2.4200000762939453,1.5749365091323853,1.364792823791504,2.263719081878662,1.72813880443573,,,,,,,,,,,
