game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
3,15,20,2,1,,,3,3,9,4,7,15,1.5700000524520874,4.099999904632568,6.650000095367432,1.1352733373641968,2.5362789630889893,1.211368441581726,5.130955219268799,1.5,2.680000066757202,1.899999976158142,1.899999976158142,2.6600000858306885,1.5,3.4000000953674316,1.3300000429153442,5.400000095367432,1.1100000143051147,1.5
4,13,4,1,1,1,1,7,8,5,4,12,4,2.25,3.9000000953674316,3.0299999713897705,1.4268293380737305,1.7051948308944702,1.707722783088684,2.2997334003448486,1.2300000190734863,4.199999809265137,1.5299999713897705,2.5,1.809999942779541,2.109999895095825,2.299999952316284,1.6100000143051147,3.5399999618530273,1.2599999904632568,2.109999895095825
5,19,14,0,1,1,1,6,3,1,5,21,22,2.0199999809265137,3.4000000953674316,4.139999866485596,1.2671586275100708,1.8668434619903564,1.4581642150878906,2.9885149002075195,1.6799999475479126,2.25,2.200000047683716,1.659999966621399,3.5,1.2899999618530273,4,1.25,7.199999809265137,1.059999942779541,1.2899999618530273
6,18,16,2,1,2,2,4,5,6,3,9,11,1.4500000476837158,5.199999809265137,6.75,1.1338346004486084,2.9372384548187256,1.1905184984207153,5.542068958282471,1.1399999856948853,4.840000152587891,1.440000057220459,2.75,1.8200000524520874,2.0999999046325684,2.200000047683716,1.659999966621399,2.950000047683716,1.3799999952316284,2.0999999046325684
7,5,6,1,0,2,0,7,13,3,4,12,9,1.840000033378601,4.099999904632568,4.099999904632568,1.2700337171554565,2.049999952316284,1.4198049306869507,3.1636955738067627,1.2200000286102295,3.9000000953674316,1.5299999713897705,2.5,1.9800000190734863,1.9299999475479126,2.369999885559082,1.5700000524520874,3.640000104904175,1.2899999618530273,1.9299999475479126
8,12,11,0,1,2,1,4,4,1,1,7,8,1.9900000095367432,3.680000066757202,3.880000114440918,1.291569709777832,1.8886772394180298,1.4826288223266602,2.890753746032715,1.2200000286102295,4.300000190734863,1.5299999713897705,2.5,2,1.899999976158142,2.369999885559082,1.5700000524520874,3.359999895095825,1.2899999618530273,1.899999976158142
9,7,17,2,0,2,3,3,4,2,4,13,10,3.9200000762939453,3.359999895095825,2.0799999237060547,1.8092308044433594,1.2847058773040771,2.826923131942749,1.5,1.440000057220459,2.880000114440918,1.899999976158142,1.899999976158142,2.4700000286102295,1.5700000524520874,3.4000000953674316,1.3300000429153442,5.400000095367432,1.1299999952316284,1.5700000524520874
10,9,3,2,3,1,1,11,9,8,8,8,8,4.28000020980835,4.300000190734863,1.7699999809265137,2.144988536834717,1.2538715600967407,3.349717617034912,1.3852803707122803,1.0700000524520874,7.199999809265137,1.2200000286102295,4.329999923706055,1.3600000143051147,3.1500000953674316,1.6100000143051147,2.299999952316284,1.9199999570846558,1.9800000190734863,3.1500000953674316
11,8,1,3,1,2,1,4,5,6,2,14,8,7.900000095367432,5.650000095367432,1.3700000047683716,3.294095993041992,1.102635383605957,6.631094932556152,1.149949312210083,1.059999942779541,7.599999904632568,1.2799999713897705,3.75,1.3300000429153442,3.319999933242798,1.7200000286102295,2.0999999046325684,2.240000009536743,1.7300000190734863,3.319999933242798
12,10,2,3,1,1,2,4,7,8,7,10,10,2.549999952316284,3.8399999141693115,2.640000104904175,1.532394289970398,1.5644444227218628,1.9265908002853394,1.9945882558822632,1.2200000286102295,4.239999771118164,1.6100000143051147,2.299999952316284,1.7799999713897705,2.1500000953674316,2.299999952316284,1.6100000143051147,3.4800000190734863,1.2699999809265137,2.1500000953674316
