game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,3,7,1,3,2,2,3,5,8,6,22,13,2.5199999809265137,3.7100000381469727,2.700000047683716,1.5006741285324097,1.5627144575119019,1.8946666717529297,2.0299999713897705,,,,,,,,,,,
2,13,18,3,0,0,2,5,0,8,1,7,12,2.4600000381469727,3.5199999809265137,2.9000000953674316,1.4480267763137817,1.5900311470031738,1.8113102912902832,2.135284662246704,,,,,,,,,,,
3,8,4,0,0,3,3,4,5,5,3,5,5,2.140000104904175,3.569999933242798,3.4600000381469727,1.3379684686660767,1.757069706916809,1.5861271619796753,2.564486026763916,,,,,,,,,,,
4,12,9,1,3,3,2,6,3,5,5,12,10,2.75,3.569999933242798,2.549999952316284,1.5534019470214844,1.4874999523162842,2.036862850189209,1.8887273073196411,,,,,,,,,,,
5,6,2,0,2,2,0,1,5,0,6,25,14,2.4800000190734863,3.440000057220459,2.930000066757202,1.4410810470581055,1.5822919607162476,1.80948805809021,2.1378226280212402,,,,,,,,,,,
6,10,14,1,1,1,1,7,5,3,4,13,12,1.9199999570846558,3.7200000286102295,3.880000114440918,1.2663829326629639,1.8991578817367554,1.4649484157562256,2.960416555404663,,,,,,,,,,,
7,1,16,3,0,0,1,4,3,3,2,11,15,2.549999952316284,3.569999933242798,2.75,1.4874999523162842,1.5534019470214844,1.8887273073196411,2.036862850189209,,,,,,,,,,,
8,15,11,0,2,0,2,9,6,4,7,6,13,3.559999942779541,3.25,2.240000009536743,1.6989721059799194,1.3260473012924194,2.5374999046325684,1.59662926197052,,,,,,,,,,,
9,5,17,0,0,0,3,7,1,3,3,8,17,1.5800000429153442,4.28000020980835,5.869999885559082,1.1539931297302246,2.475231409072876,1.2437819242477417,4.620885848999023,,,,,,,,,,,
10,4,5,2,2,1,4,3,6,3,4,17,10,2.75,3.569999933242798,2.549999952316284,1.5534019470214844,1.4874999523162842,2.036862850189209,1.8887273073196411,,,,,,,,,,,
11,9,6,3,0,1,3,5,1,5,2,5,16,1.6299999952316284,4,5.789999961853027,1.1580816507339478,2.3656792640686035,1.2558894157409668,4.461104393005371,,,,,,,,,,,
12,2,15,3,0,1,3,5,8,13,4,9,14,2.140000104904175,3.4600000381469727,3.569999933242798,1.3222142457962036,1.757069706916809,1.567451000213623,2.6148598194122314,,,,,,,,,,,
13,18,8,1,2,1,1,4,4,4,3,9,18,3.2799999713897705,3.4800000190734863,2.25,1.6885206699371338,1.3664921522140503,2.4086222648620605,1.6522561311721802,,,,,,,,,,,
14,14,12,0,3,2,0,5,5,6,7,7,12,1.6399999856948853,4.079999923706055,5.480000019073486,1.169790267944336,2.338744878768921,1.273284673690796,4.254634380340576,,,,,,,,,,,
15,11,10,2,3,4,3,3,5,6,7,13,8,2.2200000286102295,3.5199999809265137,3.309999942779541,1.361393690109253,1.7058857679367065,1.6372809410095215,2.441171169281006,,,,,,,,,,,
16,16,3,0,3,3,3,8,3,4,5,10,13,2.240000009536743,3.559999942779541,3.25,1.37489652633667,1.6989721059799194,1.655446171760559,2.4018750190734863,,,,,,,,,,,
17,7,13,1,1,4,2,8,3,8,3,10,11,1.6200000047683716,3.9100000858306885,6.170000076293945,1.1454249620437622,2.3933234214782715,1.2373095750808716,4.712469100952148,,,,,,,,,,,
18,17,1,0,0,1,2,4,4,4,3,15,12,3.8299999237060547,3.6700000762939453,1.9900000095367432,1.8741466999053955,1.2903356552124023,2.8661305904388428,1.4891905784606934,,,,,,,,,,,
19,1,7,3,2,2,3,3,3,4,2,9,12,3.0899999141693115,3.700000047683716,2.259999990463257,1.6837997436523438,1.4030201435089111,2.319911479949951,1.6967637538909912,,,,,,,,,,,
20,3,17,1,1,1,2,3,1,3,5,14,16,1.5499999523162842,4.130000114440918,6.710000038146973,1.1270246505737305,2.556485176086426,1.2063785791397095,5.222451686859131,,,,,,,,,,,
21,15,9,0,0,3,1,3,4,3,3,15,8,3.7200000286102295,3.5199999809265137,2.069999933242798,1.8086187839508057,1.303470492362976,2.741159439086914,1.5253225564956665,,,,,,,,,,,
22,5,11,2,0,3,3,6,6,6,2,10,18,2.2100000381469727,3.5899999141693115,3.2799999713897705,1.367913842201233,1.7140029668807983,1.6403049230575562,2.4344797134399414,,,,,,,,,,,
23,16,2,0,3,1,3,4,2,2,4,15,17,2.1700000762939453,3.630000114440918,3.3299999237060547,1.3581206798553467,1.736767292022705,1.6186186075210571,2.4838709831237793,,,,,,,,,,,
24,13,14,2,0,2,3,4,6,6,2,9,11,2.859999895095825,3.4800000190734863,2.5,1.5698422193527222,1.4548494815826416,2.1011199951171875,1.8366433382034302,,,,,,,,,,,
25,10,4,1,4,2,2,7,2,7,7,10,9,1.9700000286102295,3.7100000381469727,3.869999885559082,1.286742925643921,1.8941556215286255,1.478863000869751,2.905177593231201,,,,,,,,,,,
26,8,12,1,1,0,3,6,3,3,6,10,11,1.9900000095367432,3.75,3.75,1.3000870943069458,1.875,1.5000532865524292,2.8267335891723633,,,,,,,,,,,
27,6,18,6,1,2,3,5,1,9,2,10,16,2.809999942779541,3.4700000286102295,,,,,,,,,,,,,,,,
28,14,8,1,0,2,1,10,4,3,4,7,18,2.1600000858306885,3.490000009536743,3.490000009536743,1.3342300653457642,1.7450000047683716,1.5865329504013062,2.5634260177612305,,,,,,,,,,,
29,11,16,2,2,1,3,9,2,4,5,8,7,1.809999942779541,4.139999866485596,4.139999866485596,1.2593950033187866,2.069999933242798,1.4084540605545044,3.2215468883514404,,,,,,,,,,,
30,2,3,4,1,2,1,8,2,6,4,11,10,2.630000114440918,3.5,2.700000047683716,1.5016313791275024,1.524193525314331,1.934592604637146,1.9860836267471313,,,,,,,,,,,
31,4,1,3,1,1,1,4,4,5,4,12,6,2.190000057220459,3.559999942779541,3.359999895095825,1.3558956384658813,1.7285549640655518,1.618749976158142,2.4835617542266846,,,,,,,,,,,
32,9,10,0,0,3,3,5,8,2,4,11,12,2.0999999046325684,3.5799999237060547,,,,,,,,,,,,,,,,
