game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,9,1,1,1,2,0,3,8,5,10,7,4,4.840000152587891,4.619999885559082,1.649999976158142,2.3637208938598633,1.2157894372940063,3.8546667098999023,1.3140909671783447,,,,,,,,,,,
2,4,12,1,0,0,2,5,2,9,1,9,7,1.4199999570846558,5.130000114440918,7.800000190734863,1.1121526956558228,3.094663619995117,1.1584103107452393,6.363098621368408,,,,,,,,,,,
3,8,6,1,1,0,1,1,6,5,4,13,5,2.819999933242798,3.4800000190734863,2.559999942779541,1.5577143430709839,1.4749668836593628,2.0595312118530273,1.869645357131958,,,,,,,,,,,
4,15,18,5,1,0,1,9,2,15,4,11,8,1.7400000095367432,4.110000133514404,4.699999809265137,1.2224615812301636,2.192621946334839,1.342808485031128,3.627126455307007,,,,,,,,,,,
5,16,10,0,4,1,2,6,5,0,8,8,9,3.680000066757202,3.8499999046325684,2,1.8815405368804932,1.316239356994629,2.7832000255584717,1.5126086473464966,,,,,,,,,,,
6,17,3,0,0,3,4,4,9,4,6,13,10,2.950000047683716,3.490000009536743,2.4600000381469727,1.5986801385879517,1.4429243803024292,2.155203342437744,1.7972203493118286,,,,,,,,,,,
7,2,14,5,2,0,0,7,3,7,3,5,14,1.4800000190734863,5.159999847412109,6.309999942779541,1.150120496749878,2.838674783706665,1.2098573446273804,5.158243179321289,,,,,,,,,,,
8,7,5,1,0,1,2,5,11,2,2,10,8,8.279999732971191,4.880000114440918,1.4199999570846558,3.0703952312469482,1.0999364852905273,6.694365978240967,1.148067593574524,,,,,,,,,,,
9,11,13,3,1,4,2,4,5,5,5,18,14,2.4200000762939453,3.569999933242798,2.9600000381469727,1.4423038959503174,1.6182541847229004,1.7812162637710571,2.178677797317505,,,,,,,,,,,
10,5,15,4,0,0,3,6,2,11,5,10,11,1.5099999904632568,4.949999809265137,5.989999771118164,1.1570433378219604,2.7102832794189453,1.2270450592041016,4.867549896240234,,,,,,,,,,,
11,13,4,1,2,1,2,4,4,4,3,12,21,3.369999885559082,3.5799999237060547,2.200000047683716,1.735913634300232,1.362629771232605,2.4811818599700928,1.619762659072876,,,,,,,,,,,
12,18,17,1,1,4,2,5,0,5,2,12,15,2.569999933242798,3.490000009536743,2.819999933242798,1.4800825119018555,1.5597147941589355,1.8731205463409424,2.055330753326416,,,,,,,,,,,
13,3,2,2,1,1,4,0,10,5,3,14,14,4.590000152587891,4.579999923706055,1.6799999475479126,2.292497158050537,1.2291374206542969,3.6575000286102295,1.3386927843093872,,,,,,,,,,,
14,14,16,0,0,3,3,6,1,5,0,8,10,1.6100000143051147,4.619999885559082,5.130000114440918,1.1939325332641602,2.430830717086792,1.2875633239746094,4.102608680725098,,,,,,,,,,,
15,12,7,2,0,4,3,2,7,5,3,15,19,2.950000047683716,3.559999942779541,2.440000057220459,1.6132104396820068,1.4477332830429077,2.1648361682891846,1.7905762195587158,,,,,,,,,,,
16,6,9,4,0,4,2,7,3,6,6,9,11,2.059999942779541,3.7200000286102295,3.5999999046325684,1.3258131742477417,1.8295081853866577,1.5407778024673462,2.6926214694976807,,,,,,,,,,,
17,10,8,2,2,1,3,6,5,3,8,8,11,1.8799999952316284,3.799999952316284,4.260000228881836,1.2577464580535889,2.008436679840088,1.4124882221221924,3.2006382942199707,,,,,,,,,,,
18,1,11,3,2,1,1,3,4,6,3,14,10,1.1399999856948853,10.100000381469727,19,1.0243772268295288,6.594501495361328,1.0388000011444092,17.31333351135254,,,,,,,,,,,
19,2,10,3,2,2,3,4,7,13,5,9,12,1.399999976158142,5.519999980926514,7.360000133514404,1.1167629957199097,3.1542856693267822,1.1664130687713623,6.131999969482422,,,,,,,,,,,
20,15,3,2,3,2,1,8,5,7,7,10,14,2.109999895095825,3.700000047683716,3.490000009536743,1.3437176942825317,1.795966625213623,1.5724928379058838,2.600947856903076,,,,,,,,,,,
21,7,18,3,0,2,2,7,4,9,1,21,14,1.559999942779541,4.230000019073486,6.539999961853027,1.1396890878677368,2.5686349868774414,1.2137614488601685,5.088461399078369,,,,,,,,,,,
22,11,12,2,1,2,1,5,5,5,1,11,21,1.6299999952316284,4.25,5.440000057220459,1.178146243095398,2.385964870452881,1.2736396789550781,4.250674724578857,,,,,,,,,,,
23,16,6,1,4,0,1,4,4,4,5,12,10,5.670000076293945,4.059999942779541,1.6399999856948853,2.3658993244171143,1.1681402921676636,4.368170738220215,1.2634568214416504,,,,,,,,,,,
24,17,14,1,1,0,3,4,4,5,3,13,17,3.7100000381469727,3.700000047683716,2.0399999618530273,1.85249662399292,1.314982533454895,2.7622549533843994,1.5188679695129395,,,,,,,,,,,
25,1,13,5,0,0,0,8,3,6,3,4,5,1.159999966621399,9.59000015258789,16,1.0348279476165771,5.996092319488525,1.0510499477386475,14.497241020202637,,,,,,,,,,,
26,8,9,2,1,2,0,4,8,4,5,15,6,2.4600000381469727,3.490000009536743,2.950000047683716,1.4429243803024292,1.5986801385879517,1.7972203493118286,2.155203342437744,,,,,,,,,,,
27,4,5,1,0,4,2,7,7,2,2,13,18,3.619999885559082,3.5799999237060547,2.0999999046325684,1.7999444007873535,1.3235915899276733,2.6693332195281982,1.5485082864761353,,,,,,,,,,,
28,8,16,0,0,1,2,6,4,6,6,10,12,1.6299999952316284,4.110000133514404,5.809999942779541,1.1671254634857178,2.407167434692383,1.2549397945404053,4.473128795623779,,,,,,,,,,,
29,10,7,0,2,2,1,4,5,0,4,15,16,2.200000047683716,3.8399999141693115,3.1700000762939453,1.3986754417419434,1.7364907264709473,1.6601262092590332,2.3920907974243164,,,,,,,,,,,
