game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,5,3,1,0,0,1,4,3,6,4,,,2.359999895095825,3.119999885559082,2.9100000858306885,1.3436496257781982,1.5056716203689575,1.774776577949524,2.188390016555786,1.8799999952316284,1.9800000190734863,2.5,1.5,3.9000000953674316,1.2400000095367432,5,1.1699999570846558,7,1.0700000524520874,1.2400000095367432
2,4,2,1,1,3,5,11,5,4,2,,,1.8300000429153442,3.259999990463257,4.239999771118164,1.172062873840332,1.8429865837097168,1.4029717445373535,3.250600814819336,1.899999976158142,1.9299999475479126,2.4000000953674316,1.5299999713897705,4.099999904632568,1.2300000190734863,5,1.1699999570846558,6.599999904632568,1.0800000429153442,1.2300000190734863
3,3,4,0,0,3,4,2,2,2,2,,,2.059999942779541,3.180000066757202,3.859999895095825,1.2501527070999146,1.7435795068740845,1.5030051469802856,2.8163106441497803,1.9199999570846558,1.7899999618530273,2.700000047683716,1.440000057220459,3.799999952316284,1.2200000286102295,5.5,1.1399999856948853,8.300000190734863,1.0399999618530273,1.2200000286102295
4,2,5,1,0,3,2,7,1,10,4,,,1.2300000190734863,5.599999904632568,12.5,1.0084919929504395,3.867403268814087,1.0764319896697998,10.939349174499512,1.5099999904632568,2.4000000953674316,2.049999952316284,1.75,2.6500000953674316,1.4199999570846558,3.5,1.2899999618530273,5.300000190734863,1.1200000047683716,1.4199999570846558
5,3,2,3,1,1,3,6,5,5,4,,,2.880000114440918,2.859999895095825,2.6700000762939453,1.4349825382232666,1.3808679580688477,2.037078619003296,1.8885416984558105,1.9800000190734863,1.7300000190734863,2.700000047683716,1.440000057220459,4,1.2000000476837158,5.5,1.1399999856948853,8.800000190734863,1.0299999713897705,1.2000000476837158
6,4,5,2,0,0,0,4,3,6,2,,,1.2200000286102295,5.449999809265137,14,0.9968515634536743,3.9228789806365967,1.0654000043869019,12.22590160369873,1.5099999904632568,2.380000114440918,1.850000023841858,1.9500000476837158,2.6500000953674316,1.4199999570846558,3.25,1.3300000429153442,5.300000190734863,1.1200000047683716,1.4199999570846558
7,2,3,3,0,3,4,10,2,5,0,,,1.940000057220459,3.180000066757202,4.980000019073486,1.2049219608306885,1.9407353401184082,1.361767053604126,3.4956700801849365,2.109999895095825,1.8600000143051147,2.700000047683716,1.440000057220459,4,1.2000000476837158,5.5,1.1399999856948853,8.800000190734863,1.0299999713897705,1.2000000476837158
8,5,4,0,2,2,3,4,5,3,5,,,3.740000009536743,2.940000057220459,2.4200000762939453,1.6460479497909546,1.327388048171997,2.4945454597473145,1.6141176223754883,2.309999942779541,1.7000000476837158,3.0999999046325684,1.3600000143051147,4.5,1.159999966621399,6.5,1.1100000143051147,9.899999618530273,1.0199999809265137,1.159999966621399
9,3,5,1,0,2,3,6,6,12,3,,,1.4700000286102295,4.260000228881836,6.5,1.0928796529769897,2.5734200477600098,1.2016308307647705,5.313333034515381,1.8300000429153442,2.0299999713897705,2.4000000953674316,1.5299999713897705,3.799999952316284,1.25,4.5,1.1799999475479126,6.800000190734863,1.0700000524520874,1.25
10,2,4,1,1,3,1,3,2,5,1,,,1.7699999809265137,3.440000057220459,4.840000152587891,1.1686756610870361,2.0108213424682617,1.338388442993164,3.6597740650177,1.690000057220459,2.0999999046325684,2.25,1.6200000047683716,3.3399999141693115,1.2999999523162842,4.329999923706055,1.2000000476837158,7.199999809265137,1.059999942779541,1.2999999523162842
11,4,3,2,1,5,3,3,9,4,4,,,1.9800000190734863,3.0899999141693115,4.539999961853027,1.2067455053329468,1.8386107683181763,1.4074008464813232,3.2270705699920654,2.0299999713897705,1.8300000429153442,2.700000047683716,1.440000057220459,4.400000095367432,1.2000000476837158,5.5,1.1399999856948853,7,1.0700000524520874,1.2000000476837158
12,5,2,1,1,0,0,2,5,5,2,,,4.059999942779541,3.190000057220459,2.069999933242798,1.7863999605178833,1.2553801536560059,2.902125597000122,1.479655146598816,1.8300000429153442,1.9800000190734863,2.5,1.5,3.9000000953674316,1.2400000095367432,5,1.1699999570846558,6.699999809265137,1.0700000524520874,1.2400000095367432
13,7,14,2,1,2,2,8,5,8,7,,,1.4299999475479126,4.699999809265137,7.800000190734863,1.096411108970642,2.932800054550171,1.159666657447815,6.3254547119140625,1.2599999904632568,3.4000000953674316,1.600000023841858,2.299999952316284,1.9199999570846558,1.7899999618530273,2.5,1.5,3.5999999046325684,1.2400000095367432,1.7899999618530273
14,12,11,0,0,0,3,10,4,2,1,,,2.0199999809265137,3,4.300000190734863,1.2071713209152222,1.7671233415603638,1.440372109413147,3.066138744354248,1.6200000047683716,2.25,2.200000047683716,1.649999976158142,3.0999999046325684,1.350000023841858,3.75,1.25,,,1.350000023841858
15,10,3,3,0,4,1,3,8,3,7,,,6.900000095367432,4.300000190734863,1.5099999904632568,2.6491072177886963,1.1175559759140015,5.458145618438721,1.1944637298583984,1.5099999904632568,2.380000114440918,1.899999976158142,1.899999976158142,2.6500000953674316,1.4199999570846558,3.25,1.3300000429153442,5.300000190734863,1.1200000047683716,1.4199999570846558
16,1,16,5,0,1,2,7,4,9,1,,,1.0299999713897705,14,31,0.9594144821166992,9.644444465637207,1.012561321258545,30.475147247314453,,,1.1399999856948853,5.5,1.2000000476837158,4.400000095367432,1.399999976158142,2.75,1.5499999523162842,2.2899999618530273,4.400000095367432
17,2,15,6,1,0,1,5,0,13,2,,,1.059999942779541,12,21,0.9739662408828735,7.636363506317139,1.0294666290283203,20.395095825195312,,,1.2000000476837158,4.329999923706055,1.2699999809265137,3.549999952316284,1.5299999713897705,2.380000114440918,1.7100000381469727,2.0199999809265137,3.549999952316284
18,5,8,0,1,2,1,6,1,3,5,,,2.6700000762939453,3.0999999046325684,2.9000000953674316,1.4344887733459473,1.4983333349227905,1.8822758197784424,2.044419527053833,1.6699999570846558,2.069999933242798,2.3499999046325684,1.5700000524520874,3.200000047683716,1.309999942779541,4.329999923706055,1.2000000476837158,6.5,1.0800000429153442,1.309999942779541
19,9,4,0,0,1,1,5,4,5,2,,,2.9000000953674316,3.200000047683716,2.609999895095825,1.5213115215301514,1.4375214576721191,2.0688889026641846,1.8619999885559082,1.5099999904632568,2.4000000953674316,2,1.7999999523162842,2.6500000953674316,1.4199999570846558,3.4000000953674316,1.2999999523162842,5.300000190734863,1.1200000047683716,1.4199999570846558
20,13,6,0,1,1,5,4,2,4,5,,,3.9000000953674316,3.4000000953674316,2.0399999618530273,1.8164384365081787,1.274999976158142,2.853529453277588,1.4926153421401978,1.5700000524520874,2.25,2.0799999237060547,1.7300000190734863,2.8499999046325684,1.3700000047683716,3.75,1.25,5.800000190734863,1.100000023841858,1.3700000047683716
21,3,5,2,0,2,4,6,4,8,4,,,1.6299999952316284,3.799999952316284,6.099999904632568,1.140699863433838,2.341414213180542,1.2418688535690308,4.64748477935791,1.6699999570846558,2.069999933242798,2.1500000953674316,1.6699999570846558,3.200000047683716,1.309999942779541,4,1.2200000286102295,6.5,1.0800000429153442,1.309999942779541
22,7,2,0,0,2,2,9,3,5,3,,,2.5199999809265137,3.0899999141693115,3.119999885559082,1.3880213499069214,1.5524637699127197,1.771538496017456,2.193333387374878,1.590000033378601,2.119999885559082,2.049999952316284,1.75,3.0999999046325684,1.3200000524520874,3.5,1.2899999618530273,6.300000190734863,1.0800000429153442,1.3200000524520874
23,6,9,2,0,1,2,4,9,5,12,,,2.4200000762939453,3.0999999046325684,3.299999952316284,1.3590580224990845,1.5984374284744263,1.6986666917800903,2.316363573074341,1.7100000381469727,2.0199999809265137,2.3499999046325684,1.5700000524520874,3.299999952316284,1.2899999618530273,4.329999923706055,1.2000000476837158,6.800000190734863,1.0700000524520874,1.2899999618530273
24,16,8,2,4,1,4,4,5,4,7,,,4.949999809265137,4.400000095367432,1.5,2.329411745071411,1.118644118309021,4.2139997482299805,1.2769696712493896,1.159999966621399,4.599999904632568,1.4800000190734863,2.5999999046325684,1.7000000476837158,2.0299999713897705,2.200000047683716,1.6200000047683716,3,1.340000033378601,2.0299999713897705
25,11,1,2,5,0,2,5,8,3,6,,,9.199999809265137,5.400000095367432,1.340000033378601,3.4027397632598877,1.0735905170440674,7.708357810974121,1.1227391958236694,1.340000033378601,3,1.6699999570846558,2.1500000953674316,2.140000104904175,1.6299999952316284,2.630000114440918,1.440000057220459,4,1.2000000476837158,1.6299999952316284
26,15,12,0,3,1,4,4,5,4,9,,,2.7899999618530273,2.7899999618530273,2.6500000953674316,1.3949999809265137,1.359099268913269,2.0117735862731934,1.9108244180679321,1.6399999856948853,2.119999885559082,2.1500000953674316,1.6699999570846558,3.0999999046325684,1.3200000524520874,3.75,1.25,6.300000190734863,1.0800000429153442,1.3200000524520874
