game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,12,17,1,0,3,1,4,1,8,3,17,20,1.850000023841858,3.880000114440918,4.300000190734863,1.2527050971984863,2.039608955383301,1.4016278982162476,3.257838010787964,1.3700000047683716,3.2200000286102295,1.7200000286102295,2.0999999046325684,2.240000009536743,1.6799999475479126,3,1.399999976158142,4.5,1.2200000286102295,1.6799999475479126
3,15,3,0,2,4,1,4,2,2,7,16,12,7.010000228881836,4.869999885559082,1.4600000381469727,2.8736279010772705,1.123254418373108,5.685342311859131,1.1841083765029907,1.3600000143051147,3.240000009536743,1.7200000286102295,2.0999999046325684,2.069999933242798,1.8300000429153442,3,1.399999976158142,4.5,1.2200000286102295,1.8300000429153442
4,18,20,4,1,4,2,6,4,8,5,13,14,2.309999942779541,3.4600000381469727,3.240000009536743,1.3851993083953857,1.6731940507888794,1.6787036657333374,2.3545455932617188,1.5199999809265137,2.609999895095825,2,1.7999999523162842,2.630000114440918,1.5099999904632568,3.75,1.2799999713897705,6.050000190734863,1.1399999856948853,1.5099999904632568
5,2,11,1,1,1,3,7,3,10,4,9,18,1.659999966621399,4.460000038146973,4.929999828338623,1.2097384929656982,2.341618776321411,1.3099796772003174,3.890481948852539,1.309999942779541,3.5799999237060547,1.659999966621399,2.200000047683716,2.069999933242798,1.8300000429153442,2.619999885559082,1.5,3.9200000762939453,1.2699999809265137,1.8300000429153442
6,5,10,3,0,1,1,6,4,9,2,15,9,1.4600000381469727,4.449999809265137,8.279999732971191,1.0993231534957886,2.8944225311279297,1.1528019905090332,6.537807941436768,1.4199999570846558,2.9600000381469727,1.9299999475479126,1.9700000286102295,2.0899999141693115,1.809999942779541,3.200000047683716,1.3600000143051147,5.349999904632568,1.1699999570846558,1.809999942779541
7,1,14,2,0,3,5,7,4,6,5,13,17,1.4800000190734863,4.869999885559082,6.659999847412109,1.1350550651550293,2.8130269050598145,1.1977777481079102,5.389999866485596,1.2300000190734863,4.420000076293945,1.5299999713897705,2.5,1.9199999570846558,1.9800000190734863,2.369999885559082,1.5700000524520874,3.1500000953674316,1.3799999952316284,1.9800000190734863
8,17,6,2,4,1,2,2,6,5,7,11,12,5.179999828338623,4.610000133514404,1.6100000143051147,2.4392032623291016,1.1932636499404907,4.13304328918457,1.2845946550369263,1.2200000286102295,4.539999961853027,1.5299999713897705,2.5,1.899999976158142,2,2.299999952316284,1.6100000143051147,3.009999990463257,1.409999966621399,2
9,10,16,2,3,3,1,6,4,4,6,17,12,1.7300000190734863,3.880000114440918,5.159999847412109,1.1965062618255615,2.2146902084350586,1.3085658550262451,3.903005599975586,1.4199999570846558,2.9600000381469727,1.899999976158142,1.899999976158142,2.4000000953674316,1.600000023841858,3.200000047683716,1.3600000143051147,5.349999904632568,1.1699999570846558,1.600000023841858
10,11,9,0,2,1,1,3,6,3,7,8,13,6.010000228881836,4.449999809265137,1.559999942779541,2.556835651397705,1.1550748348236084,4.7555131912231445,1.234376072883606,1.3700000047683716,3.200000047683716,1.7200000286102295,2.0999999046325684,2.069999933242798,1.8300000429153442,2.75,1.440000057220459,4.639999866485596,1.2100000381469727,1.8300000429153442
11,7,12,4,3,1,1,5,1,6,4,15,10,1.5199999809265137,4.309999942779541,7.090000152587891,1.1237049102783203,2.6805174350738525,1.190098762512207,5.551184177398682,1.2599999904632568,4.039999961853027,1.6100000143051147,2.299999952316284,2.0299999713897705,1.8700000047683716,2.5,1.5299999713897705,3.319999933242798,1.350000023841858,1.8700000047683716
12,13,2,1,4,2,1,3,5,6,8,13,8,4.730000019073486,3.9100000858306885,1.7799999713897705,2.1405439376831055,1.2231634855270386,3.5841574668884277,1.348794937133789,1.3700000047683716,3.2200000286102295,1.7200000286102295,2.0999999046325684,2.2699999809265137,1.7100000381469727,2.75,1.440000057220459,4.639999866485596,1.2100000381469727,1.7100000381469727
13,8,19,1,0,1,0,1,9,2,6,13,13,2.559999942779541,3.069999933242798,3.180000066757202,1.395950198173523,1.5620160102844238,1.7689307928085327,2.1973438262939453,1.7799999713897705,2.130000114440918,2.299999952316284,1.6100000143051147,3.440000057220459,1.3300000429153442,4.329999923706055,1.2200000286102295,8,1.090000033378601,1.3300000429153442
14,3,18,6,0,1,2,4,2,11,1,6,13,1.2400000095367432,6.789999961853027,12.5,1.0485180616378784,4.3999481201171875,1.0772160291671753,10.85903263092041,1.2100000381469727,4.679999828338623,1.5,2.619999885559082,1.7999999523162842,2.0999999046325684,2.299999952316284,1.6100000143051147,2.9200000762939453,1.4299999475479126,2.0999999046325684
15,20,1,0,2,1,3,2,5,1,7,14,15,6.019999980926514,4.179999828338623,1.600000023841858,2.467019557952881,1.1570934057235718,4.667250156402588,1.2404651641845703,1.440000057220459,2.880000114440918,1.899999976158142,1.899999976158142,2.059999942779541,1.840000033378601,3.4000000953674316,1.3300000429153442,5.349999904632568,1.1699999570846558,1.840000033378601
16,4,5,2,2,2,3,5,7,6,3,19,9,3.5899999141693115,3.5999999046325684,2.109999895095825,1.7974964380264282,1.3302977085113525,2.6473934650421143,1.5559887886047363,1.2899999618530273,3.759999990463257,1.659999966621399,2.200000047683716,2.049999952316284,1.8600000143051147,2.619999885559082,1.5,3.740000009536743,1.2899999618530273,1.8600000143051147
17,14,15,4,1,1,2,8,9,9,4,12,9,1.909999966621399,3.8499999046325684,4.050000190734863,1.2766492366790771,1.9737341403961182,1.4421727657318115,3.0580105781555176,1.350000023841858,3.319999933242798,1.7200000286102295,2.0999999046325684,2.2699999809265137,1.7100000381469727,2.75,1.440000057220459,4.5,1.2200000286102295,1.7100000381469727
18,19,13,0,2,0,5,2,2,5,3,13,17,1.7599999904632568,3.700000047683716,5.199999809265137,1.1926740407943726,2.1617977619171143,1.3116923570632935,3.8754544258117676,1.4900000095367432,2.690000057220459,2,1.7999999523162842,2.7300000190734863,1.4800000190734863,3.5,1.2999999523162842,6.349999904632568,1.1299999952316284,1.4800000190734863
19,16,7,2,5,1,0,5,1,7,12,10,15,9.770000457763672,5.659999847412109,1.3300000429153442,3.583810806274414,1.076938509941101,8.178947448730469,1.1134084463119507,1.190000057220459,5,1.440000057220459,2.75,1.809999942779541,2.0899999141693115,2.0999999046325684,1.7200000286102295,2.809999942779541,1.4600000381469727,2.0899999141693115
20,9,6,1,4,6,3,7,3,8,6,16,11,2.5999999046325684,3.819999933242798,2.5999999046325684,1.5470404624938965,1.5470404624938965,1.9600000381469727,1.9600000381469727,1.1799999475479126,5.25,1.440000057220459,2.75,1.7799999713897705,2.130000114440918,2.0999999046325684,1.7200000286102295,2.6600000858306885,1.5,2.130000114440918
21,12,10,1,2,0,3,8,4,6,10,11,16,1.75,4.110000133514404,4.630000114440918,1.2273890972137451,2.1772654056549072,1.3504103422164917,3.5728001594543457,1.2899999618530273,3.799999952316284,1.659999966621399,2.200000047683716,2.069999933242798,1.8300000429153442,2.619999885559082,1.5,3.5799999237060547,1.309999942779541,1.8300000429153442
22,2,20,4,1,2,3,3,4,4,6,15,15,1.5199999809265137,4.710000038146973,6.269999980926514,1.1491492986679077,2.6895902156829834,1.2175757884979248,5.022500038146973,1.2100000381469727,4.619999885559082,1.5299999713897705,2.5,1.8300000429153442,2.069999933242798,2.299999952316284,1.6100000143051147,2.9700000286102295,1.4199999570846558,2.069999933242798
23,19,4,0,1,1,0,4,1,5,3,15,10,4.369999885559082,3.8399999141693115,1.850000023841858,2.0439462661743164,1.2485061883926392,3.2949187755584717,1.3948742151260376,1.340000033378601,3.3399999141693115,1.7200000286102295,2.0999999046325684,2.2200000286102295,1.7400000095367432,2.75,1.440000057220459,4.360000133514404,1.2300000190734863,1.7400000095367432
24,6,11,5,2,0,0,3,9,14,3,11,9,1.2699999809265137,6.690000057220459,10.300000190734863,1.067374348640442,4.055738925933838,1.1008349657058716,8.928031921386719,1.1200000047683716,6.800000190734863,1.3300000429153442,3.4000000953674316,1.440000057220459,2.880000114440918,1.8700000047683716,2.0299999713897705,2.240000009536743,1.6799999475479126,2.880000114440918
25,15,8,1,0,1,1,7,6,5,5,11,19,2.369999885559082,3.390000104904175,3.190000057220459,1.3948436975479126,1.6434803009033203,1.708087682723999,2.299071788787842,1.4600000381469727,2.799999952316284,1.899999976158142,1.899999976158142,2.549999952316284,1.5399999618530273,3.4000000953674316,1.3300000429153442,5.150000095367432,1.1799999475479126,1.5399999618530273
26,9,7,1,1,3,4,7,8,5,5,14,13,3.109999895095825,3.8499999046325684,2.2300000190734863,1.7203303575515747,1.4120887517929077,2.346726417541504,1.6827009916305542,1.2100000381469727,4.619999885559082,1.5,2.619999885559082,1.8200000524520874,2.0799999237060547,2.200000047683716,1.659999966621399,2.9700000286102295,1.4199999570846558,2.0799999237060547
27,16,14,1,0,2,1,4,10,3,7,13,15,2.9600000381469727,3.700000047683716,2.369999885559082,1.644444465637207,1.4446457624435425,2.2039663791656494,1.7646621465682983,1.2400000095367432,4.21999979019165,1.5700000524520874,2.369999885559082,1.9600000381469727,1.940000057220459,2.369999885559082,1.5700000524520874,3.259999990463257,1.3600000143051147,1.940000057220459
28,1,13,3,0,1,2,4,6,5,2,14,19,1.350000023841858,5.130000114440918,10.399999618530273,1.068750023841858,3.435415267944336,1.1072115898132324,8.52962875366211,1.3200000524520874,3.5399999618530273,1.659999966621399,2.200000047683716,2.0399999618530273,1.8600000143051147,2.75,1.440000057220459,4.019999980926514,1.2599999904632568,1.8600000143051147
