game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,5,14,2,2,1,2,10,6,9,3,16,11,2.6500000953674316,3.130000114440918,2.7699999809265137,1.4350346326828003,1.4695085287094116,1.9175450801849365,2.0043773651123047,,,,,,,,,,,
2,20,12,0,1,1,8,3,1,3,2,14,23,2.299999952316284,3.109999895095825,3.309999942779541,1.3221811056137085,1.6034423112869263,1.6609667539596558,2.390347719192505,,,,,,,,,,,
3,9,19,1,0,6,4,9,2,6,2,24,23,2.25,3.069999933242798,3.4800000190734863,1.2984023094177246,1.6310839653015137,1.613620638847351,2.4957332611083984,,,,,,,,,,,
4,13,1,0,2,0,4,5,2,7,6,7,20,2.259999990463257,3.4100000858306885,3.109999895095825,1.3591886758804321,1.6265491247177124,1.6921542882919312,2.3285839557647705,,,,,,,,,,,
5,4,11,0,0,2,3,4,2,3,1,19,18,2.819999933242798,3.119999885559082,2.619999885559082,1.4812121391296387,1.4241114854812622,2.034809112548828,1.8904964923858643,,,,,,,,,,,
6,3,15,1,0,2,4,5,4,2,5,28,11,2.559999942779541,3.130000114440918,2.9600000381469727,1.4082249402999878,1.5213136672973633,1.8275675773620605,2.1131250858306885,,,,,,,,,,,
7,17,7,2,2,4,4,7,3,5,4,16,12,1.7899999618530273,3.569999933242798,4.590000152587891,1.1922200918197632,2.008125066757202,1.3621786832809448,3.4929609298706055,,,,,,,,,,,
8,8,2,3,0,3,1,3,4,4,6,12,13,2.359999895095825,3.0799999237060547,3.2300000190734863,1.3361765146255493,1.5766085386276245,1.6960371732711792,2.3212711811065674,,,,,,,,,,,
9,6,18,4,3,3,4,5,7,5,5,12,16,1.6799999475479126,3.630000114440918,5.300000190734863,1.1484745740890503,2.154423236846924,1.2906415462493896,4.071666717529297,,,,,,,,,,,
10,10,16,1,0,2,2,2,6,2,1,13,9,1.559999942779541,3.809999942779541,6.519999980926514,1.1068156957626343,2.4047627449035645,1.2144784927368164,5.075897216796875,,,,,,,,,,,
11,3,18,2,0,2,2,3,1,6,2,23,16,2.059999942779541,3.2200000286102295,3.819999933242798,1.256287932395935,1.7472158670425415,1.5084816217422485,2.797281503677368,,,,,,,,,,,
12,1,16,5,1,0,2,7,5,10,4,5,8,1.3899999856948853,4.829999923706055,7.630000114440918,1.0793730020523071,2.9576966762542725,1.1585321426391602,6.359424591064453,,,,,,,,,,,
