game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,2,12,2,0,0,4,5,3,6,1,5,16,1.0800000429153442,9.699999809265137,24,0.9717996120452881,6.9080119132995605,1.0240999460220337,22.75777816772461,1.1699999570846558,4.300000190734863,1.4500000476837158,2.5299999713897705,1.7100000381469727,2.0399999618530273,2.180000066757202,1.659999966621399,2.9800000190734863,1.350000023841858,2.0399999618530273
2,13,14,0,1,4,1,7,1,6,3,21,19,3.0899999141693115,3.200000047683716,2.3299999237060547,1.572019100189209,1.3482820987701416,2.2796566486358643,1.7189644575119019,1.6399999856948853,2.1500000953674316,2.2200000286102295,1.6299999952316284,3.259999990463257,1.2999999523162842,3.940000057220459,1.2000000476837158,7.099999904632568,1.059999942779541,1.2999999523162842
3,11,1,2,2,2,3,4,6,2,6,11,7,7.699999809265137,4.619999885559082,1.3899999856948853,2.887500047683716,1.068519115447998,6.408776760101318,1.1569091081619263,1.3799999952316284,2.8499999046325684,1.809999942779541,1.9600000381469727,2.380000114440918,1.5299999713897705,2.930000066757202,1.340000033378601,4.739999771118164,1.1399999856948853,1.5299999713897705
4,9,5,1,1,3,4,4,3,5,7,15,19,3.049999952316284,3.180000066757202,2.369999885559082,1.5568218231201172,1.3579459190368652,2.2411813735961914,1.7415082454681396,1.7100000381469727,2.0399999618530273,2.25,1.5700000524520874,3.4800000190734863,1.2699999809265137,4.199999809265137,1.1799999475479126,7.699999809265137,1.0499999523162842,1.2699999809265137
5,4,8,2,0,1,3,4,7,5,0,12,18,1.2799999713897705,4.960000038146973,10.5,1.017435908317566,3.3686933517456055,1.0994666814804077,9.019062042236328,1.4600000381469727,2.559999942779541,1.909999966621399,1.809999942779541,2.619999885559082,1.440000057220459,3.450000047683716,1.2699999809265137,5.449999809265137,1.100000023841858,1.440000057220459
6,10,3,2,3,2,2,2,2,3,5,14,14,2.0199999809265137,3.2200000286102295,3.8399999141693115,1.241297721862793,1.7513880729675293,1.495520830154419,2.842970371246338,1.8200000524520874,1.899999976158142,2.2799999713897705,1.5700000524520874,3.799999952316284,1.2300000190734863,4.599999904632568,1.149999976158142,8.5,1.0299999713897705,1.2300000190734863
7,3,6,0,0,3,2,14,1,2,6,18,17,2.2100000381469727,3.190000057220459,3.240000009536743,1.3055369853973389,1.6074028015136719,1.6484568119049072,2.4167420864105225,1.600000023841858,2.200000047683716,2.1600000858306885,1.659999966621399,3.0999999046325684,1.3300000429153442,3.740000009536743,1.2200000286102295,6.650000095367432,1.0700000524520874,1.3300000429153442
8,10,2,0,3,2,2,3,6,1,8,11,15,7,4.460000038146973,1.3899999856948853,2.7242581844329834,1.0597264766693115,5.915251731872559,1.1746000051498413,1.3899999856948853,2.809999942779541,1.8200000524520874,1.9500000476837158,2.380000114440918,1.5299999713897705,2.9600000381469727,1.3300000429153442,4.800000190734863,1.1399999856948853,1.5299999713897705
9,1,9,2,0,4,2,4,1,6,3,15,11,1.2699999809265137,5.349999904632568,10.199999809265137,1.0263595581054688,3.509324789047241,1.1020195484161377,8.850866317749023,1.2999999523162842,3.359999895095825,1.6299999952316284,2.200000047683716,2.109999895095825,1.7300000190734863,2.4800000190734863,1.5,3.9800000190734863,1.2200000286102295,1.7300000190734863
10,12,11,3,0,1,1,6,8,6,4,19,9,2.390000104904175,3.319999933242798,2.859999895095825,1.389632225036621,1.536440134048462,1.7989510297775269,2.152719736099243,1.8300000429153442,1.9800000190734863,2.309999942779541,1.5700000524520874,3.819999933242798,1.2400000095367432,4.230000019073486,1.2000000476837158,6.75,1.090000033378601,1.2400000095367432
11,14,7,0,2,5,1,5,6,4,9,21,7,3.359999895095825,3.2200000286102295,2.180000066757202,1.64425528049469,1.2999259233474731,2.4904587268829346,1.6158332824707031,1.7100000381469727,2.0399999618530273,2.299999952316284,1.590000033378601,3.4800000190734863,1.2699999809265137,4.199999809265137,1.1799999475479126,7.599999904632568,1.0499999523162842,1.2699999809265137
12,8,13,1,0,1,5,6,2,4,0,15,20,2.9700000286102295,3.009999990463257,2.5299999713897705,1.4949331283569336,1.3746029138565063,2.13043475151062,1.814814805984497,1.940000057220459,1.7899999618530273,2.690000057220459,1.4800000190734863,4.320000171661377,1.1799999475479126,5.050000190734863,1.1200000047683716,9.600000381469727,1.0199999809265137,1.1799999475479126
13,5,4,1,1,3,4,3,3,2,3,15,15,4.869999885559082,3.5899999141693115,1.7100000381469727,2.0665838718414307,1.158282995223999,3.770994186401367,1.3241068124771118,1.600000023841858,2.25,2,1.7200000286102295,3.240000009536743,1.309999942779541,3.7100000381469727,1.25,5.75,1.1200000047683716,1.309999942779541
14,9,12,2,0,2,1,9,4,2,3,13,19,2.2699999809265137,2.9700000286102295,3.4600000381469727,1.286622166633606,1.5981647968292236,1.6229479312896729,2.4737443923950195,1.809999942779541,1.9199999570846558,2.4800000190734863,1.4800000190734863,3.7200000286102295,1.2400000095367432,4.440000057220459,1.159999966621399,8.199999809265137,1.0399999618530273,1.2400000095367432
15,13,5,1,3,3,2,5,0,5,7,14,15,2.9800000190734863,2.9600000381469727,2.5199999809265137,1.484983205795288,1.3611679077148438,2.1388888359069824,1.8087248802185059,1.8300000429153442,1.9800000190734863,2.2300000190734863,1.5800000429153442,3.5,1.2799999713897705,4.230000019073486,1.2000000476837158,7.099999904632568,1.0800000429153442,1.2799999713897705
16,11,10,1,1,2,2,6,0,6,2,16,16,2.6600000858306885,3.200000047683716,2.6500000953674316,1.4525597095489502,1.4495726823806763,1.963698148727417,1.9563157558441162,1.6399999856948853,2.1500000953674316,2.049999952316284,1.6799999475479126,3.259999990463257,1.2999999523162842,3.940000057220459,1.2000000476837158,7,1.059999942779541,1.2999999523162842
17,6,14,2,0,3,3,2,7,5,1,13,18,2.7799999713897705,2.9800000190734863,2.6700000762939453,1.4382638931274414,1.4082478284835815,2.0003745555877686,1.9212230443954468,1.9800000190734863,1.8300000429153442,2.549999952316284,1.4600000381469727,4,1.2200000286102295,4.699999809265137,1.1699999570846558,7.900000095367432,1.059999942779541,1.2200000286102295
18,7,8,2,1,1,3,13,3,9,4,8,23,1.2999999523162842,4.820000171661377,10.5,1.0238561630249023,3.3035247325897217,1.1013333797454834,8.895384788513184,1.4900000095367432,2.4700000286102295,2.0199999809265137,1.7200000286102295,2.7699999809265137,1.399999976158142,3.4000000953674316,1.2599999904632568,5.849999904632568,1.090000033378601,1.399999976158142
19,2,3,2,2,2,3,3,1,7,7,11,12,1.2000000476837158,6,13,1,4.1052632331848145,1.0704615116119385,11.59666633605957,1.350000023841858,2.9800000190734863,1.7999999523162842,1.909999966621399,2.240000009536743,1.590000033378601,3.200000047683716,1.2999999523162842,4.400000095367432,1.159999966621399,1.590000033378601
