game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,14,1,0,0,2,2,0,8,2,2,16,16,3.740000009536743,3.240000009536743,2.059999942779541,1.7360458374023438,1.2593207359313965,2.759223222732544,1.5197861194610596,,,,,,,,,,,
2,16,12,0,3,2,2,6,7,4,6,15,19,2.8299999237060547,3.2200000286102295,2.559999942779541,1.5062148571014404,1.426159143447876,2.063359260559082,1.866501808166504,,,,,,,,,,,
3,15,4,1,3,1,1,9,8,1,7,10,11,2.549999952316284,3.2200000286102295,2.7799999713897705,1.4230502843856812,1.4919333457946777,1.8789209127426147,2.0483920574188232,,,,,,,,,,,
4,13,7,4,0,1,1,3,3,8,1,10,14,2.319999933242798,3.619999885559082,2.940000057220459,1.4138720035552979,1.6223779916763306,1.753333330154419,2.2218966484069824,,,,,,,,,,,
5,8,10,1,2,0,0,7,3,5,4,16,19,1.899999976158142,3.299999952316284,4.5,1.2057691812515259,1.9038461446762085,1.3937777280807495,3.3010525703430176,,,,,,,,,,,
6,17,2,0,0,0,1,2,7,3,5,11,9,3.440000057220459,3.359999895095825,2.1600000858306885,1.6997647285461426,1.3147826194763184,2.540740728378296,1.595348834991455,,,,,,,,,,,
7,5,9,1,1,3,2,9,4,4,3,13,11,1.7200000286102295,3.819999933242798,4.699999809265137,1.1859928369522095,2.1072769165039062,1.3386383056640625,3.657907009124756,,,,,,,,,,,
8,18,3,1,2,1,1,3,1,4,2,13,9,2.450000047683716,3.319999933242798,2.930000066757202,1.409705400466919,1.5564160346984863,1.7994539737701416,2.1519999504089355,,,,,,,,,,,
9,6,11,0,2,1,2,4,3,5,3,11,13,1.4199999570846558,4.380000114440918,7.300000190734863,1.0723447799682617,2.737499952316284,1.1706300973892212,6.018028259277344,,,,,,,,,,,
10,11,13,2,1,1,1,4,6,5,3,12,13,3.359999895095825,3.4000000953674316,2.1600000858306885,1.6899408102035522,1.3208633661270142,2.5044443607330322,1.6100000143051147,,,,,,,,,,,
11,9,8,0,2,0,3,4,8,3,3,10,20,2.049999952316284,3.2200000286102295,3.8399999141693115,1.2525616884231567,1.7513880729675293,1.5031770467758179,2.815707206726074,,,,,,,,,,,
12,7,18,2,1,2,1,4,4,5,5,14,16,1.600000023841858,3.9800000190734863,5.75,1.141218662261963,2.352004051208496,1.2526956796646118,4.501874923706055,,,,,,,,,,,
13,1,16,2,1,0,0,3,4,6,9,10,16,1.5399999618530273,4.099999904632568,6.050000190734863,1.1195034980773926,2.4438424110412598,1.229454517364502,4.829999923706055,,,,,,,,,,,
14,5,17,2,0,0,3,1,3,3,3,7,14,1.4700000286102295,4.340000152587891,7.199999809265137,1.0980722904205322,2.707798957824707,1.1800832748413086,5.78000020980835,,,,,,,,,,,
15,2,15,2,0,2,2,6,3,5,0,7,10,1.4800000190734863,4.139999866485596,7.300000190734863,1.0902490615844727,2.6417832374572754,1.178684949874878,5.813783645629883,,,,,,,,,,,
16,4,3,3,1,1,3,6,8,8,5,14,12,2.130000114440918,3.4600000381469727,3.4600000381469727,1.3183900117874146,1.7300000190734863,1.5832947492599487,2.571924924850464,,,,,,,,,,,
17,12,6,1,1,2,6,5,0,3,2,13,13,2.130000114440918,3.319999933242798,3.5399999618530273,1.2975412607192993,1.7132360935211182,1.569661021232605,2.6087324619293213,,,,,,,,,,,
18,10,14,1,1,1,2,5,6,3,2,15,7,2.259999990463257,3.1500000953674316,3.319999933242798,1.3158965110778809,1.6163833141326904,1.6471084356307983,2.4196460247039795,,,,,,,,,,,
19,14,7,0,1,3,1,4,4,3,2,11,13,3.319999933242798,3.4600000381469727,2.0999999046325684,1.694277286529541,1.3068345785140991,2.5293333530426025,1.599879503250122,,,,,,,,,,,
20,11,5,1,1,3,4,2,4,2,2,15,12,3.4000000953674316,3.4800000190734863,2.0999999046325684,1.719767451286316,1.3096773624420166,2.566666603088379,1.5852941274642944,,,,,,,,,,,
21,16,6,1,2,0,3,4,6,4,3,12,13,3.109999895095825,3.140000104904175,2.3399999141693115,1.5624639987945557,1.3408029079437256,2.2824785709381104,1.7173633575439453,,,,,,,,,,,
22,18,4,0,2,3,3,7,3,3,6,17,21,1.9900000095367432,3.640000104904175,3.619999885559082,1.2866075038909912,1.814986228942871,1.518729329109192,2.762713670730591,,,,,,,,,,,
23,8,15,2,2,0,2,8,3,5,2,11,8,1.7300000190734863,3.5399999618530273,5.050000190734863,1.162087321281433,2.0811407566070557,1.3157228231430054,3.840693712234497,,,,,,,,,,,
24,1,9,2,0,2,2,3,5,5,3,14,15,1.7899999618530273,3.4200000762939453,4.420000076293945,1.1750096082687378,1.928112268447876,1.376877784729004,3.399888277053833,,,,,,,,,,,
25,3,12,1,1,1,3,4,7,3,5,15,14,2.140000104904175,3.3399999141693115,3.5399999618530273,1.3043066263198853,1.7185465097427368,1.5724294185638428,2.601121425628662,,,,,,,,,,,
26,17,10,1,3,3,0,5,1,3,6,15,13,2.3299999237060547,3.2799999713897705,3.140000104904175,1.3622816801071167,1.6042367219924927,1.7071974277496338,2.3006865978240967,,,,,,,,,,,
27,13,2,0,1,4,1,4,6,5,5,11,10,2.630000114440918,2.930000066757202,3,1.3859531879425049,1.4822933673858643,1.839133381843567,2.0978708267211914,,,,,,,,,,,
28,10,16,0,2,1,3,4,1,4,4,8,17,2.759999990463257,3.4000000953674316,2.5,1.5233765840530396,1.4406780004501343,2.061919927597046,1.8676811456680298,,,,,,,,,,,
29,9,3,1,1,1,2,9,3,7,4,10,11,2.509999990463257,3.1600000858306885,3,1.3988713026046753,1.5389610528945923,1.7999333143234253,2.1513147354125977,,,,,,,,,,,
30,15,18,1,1,2,2,3,4,5,2,12,17,2.7799999713897705,3.2200000286102295,2.630000114440918,1.4919333457946777,1.4476239681243896,2.0158934593200684,1.907122254371643,,,,,,,,,,,
31,17,14,0,0,3,1,2,6,3,3,12,8,2.680000066757202,3.180000066757202,2.759999990463257,1.4543344974517822,1.4775757789611816,1.9315942525863647,1.9892537593841553,,,,,,,,,,,
32,7,11,3,0,0,3,4,3,5,2,12,11,1.5700000524520874,4.239999771118164,5.650000095367432,1.1457487344741821,2.4222447872161865,1.2523186206817627,4.506751537322998,,,,,,,,,,,
33,6,4,4,0,2,4,1,4,5,5,17,8,2.0299999713897705,3.4200000762939453,3.7799999713897705,1.2738715410232544,1.7955000400543213,1.5062962770462036,2.8048276901245117,,,,,,,,,,,
34,5,13,3,1,0,0,0,6,6,3,14,8,1.7899999618530273,3.5799999237060547,4.440000057220459,1.193333387374878,1.9819451570510864,1.3750901222229004,3.4108378887176514,,,,,,,,,,,
35,2,1,0,1,1,0,1,4,2,4,15,9,2.450000047683716,3.119999885559082,3.119999885559082,1.372351884841919,1.559999942779541,1.7495512962341309,2.2279999256134033,,,,,,,,,,,
