game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,13,8,0,2,2,2,0,11,1,6,18,19,2.3299999237060547,2.930000066757202,3.259999990463257,1.2978897094726562,1.5431017875671387,1.680429458618164,2.351158857345581,2.0199999809265137,1.7699999809265137,2.700000047683716,1.440000057220459,4.300000190734863,1.1799999475479126,5.5,1.1399999856948853,9.800000190734863,1.0199999809265137,1.1799999475479126
2,11,3,2,1,0,1,2,12,2,2,6,13,3.059999942779541,2.8299999237060547,2.5199999809265137,1.47025465965271,1.3330093622207642,2.1700000762939453,1.7870588302612305,1.9299999475479126,1.8799999952316284,2.3499999046325684,1.5700000524520874,4.199999809265137,1.190000057220459,5,1.159999966621399,9.300000190734863,1.0199999809265137,1.190000057220459
3,16,12,0,2,2,1,3,3,0,5,12,11,4.019999980926514,3.009999990463257,2.009999990463257,1.7212233543395996,1.2051992416381836,2.940000057220459,1.4700000286102295,2.0799999237060547,1.7300000190734863,2.700000047683716,1.440000057220459,3.9000000953674316,1.2200000286102295,5,1.159999966621399,8.800000190734863,1.0299999713897705,1.2200000286102295
4,15,5,1,1,3,3,2,5,1,1,11,9,3.299999952316284,2.6600000858306885,2.509999990463257,1.4728188514709473,1.2914119958877563,2.268446207046509,1.7253938913345337,2.0199999809265137,1.7699999809265137,2.869999885559082,1.399999976158142,4.840000152587891,1.149999976158142,6,1.1200000047683716,10.5,1.0099999904632568,1.149999976158142
5,7,14,4,3,3,1,2,3,5,5,22,14,2.5299999713897705,2.8399999141693115,3.009999990463257,1.3380260467529297,1.461264967918396,1.8037209510803223,2.1459288597106934,2.0199999809265137,1.7699999809265137,2.869999885559082,1.399999976158142,4.739999771118164,1.1399999856948853,6,1.1200000047683716,7.599999904632568,1.0499999523162842,1.1399999856948853
6,4,6,0,1,4,3,5,2,5,2,16,18,2.4200000762939453,2.7300000190734863,3.3399999141693115,1.2828350067138672,1.5021746158599854,1.6900599002838135,2.33256196975708,2.25,1.600000023841858,3.0999999046325684,1.3600000143051147,5.400000095367432,1.1299999952316284,6.75,1.090000033378601,8.199999809265137,1.0399999618530273,1.1299999952316284
7,1,10,2,0,2,2,6,7,5,4,18,13,1.2899999618530273,5.099999904632568,9.199999809265137,1.0295774936676025,3.281118869781494,1.11741304397583,7.969147205352783,1.4600000381469727,2.609999895095825,1.899999976158142,1.899999976158142,2.619999885559082,1.4500000476837158,3.4000000953674316,1.2799999713897705,5.5,1.1299999952316284,1.4500000476837158
8,9,2,3,3,2,0,4,4,6,8,10,12,2.9700000286102295,2.799999952316284,2.5799999237060547,1.441247820854187,1.342750906944275,2.1081395149230957,1.831313133239746,2.049999952316284,1.75,2.700000047683716,1.440000057220459,4.420000076293945,1.1799999475479126,5.800000190734863,1.1200000047683716,9.899999618530273,1.0199999809265137,1.1799999475479126
9,12,11,1,1,1,3,7,5,1,1,7,19,1.4900000095367432,3.9000000953674316,6.599999904632568,1.0781075954437256,2.4514286518096924,1.201242446899414,5.320939540863037,1.5199999809265137,2.380000114440918,2.049999952316284,1.75,2.890000104904175,1.3700000047683716,3.5,1.2799999713897705,6.150000095367432,1.0800000429153442,1.3700000047683716
10,3,13,2,3,3,3,2,2,2,3,20,10,1.7599999904632568,3.440000057220459,4.559999942779541,1.164307713508606,1.960800051689148,1.358245611190796,3.5190908908843994,1.6200000047683716,2.180000066757202,2.299999952316284,1.600000023841858,3.240000009536743,1.2999999523162842,4,1.2200000286102295,7,1.059999942779541,1.2999999523162842
11,8,16,1,0,1,3,3,2,1,0,12,8,1.659999966621399,3.4200000762939453,5.300000190734863,1.1175590753555298,2.078669786453247,1.2869434356689453,4.10891580581665,1.8799999952316284,1.9299999475479126,2.5,1.5,4.179999828338623,1.190000057220459,5.5,1.1399999856948853,9.300000190734863,1.0199999809265137,1.190000057220459
12,14,1,0,1,1,3,6,4,1,1,17,19,3.130000114440918,3.0799999237060547,2.299999952316284,1.5523993968963623,1.3167285919189453,2.313652276992798,1.7001278400421143,1.7999999523162842,2,2.4000000953674316,1.5299999713897705,3.7799999713897705,1.2300000190734863,4.5,1.1799999475479126,8.399999618530273,1.0299999713897705,1.2300000190734863
13,10,4,0,0,4,1,4,4,2,2,20,13,2.7300000190734863,2.6600000858306885,2.9600000381469727,1.3472727537155151,1.400996446609497,1.883851408958435,2.0425641536712646,2.0199999809265137,1.7699999809265137,2.700000047683716,1.440000057220459,4.380000114440918,1.1699999570846558,5.5,1.1399999856948853,7,1.0700000524520874,1.1699999570846558
14,6,7,1,0,4,2,3,4,3,1,5,13,2.6500000953674316,2.390000104904175,3.5199999809265137,1.2566468715667725,1.4234856367111206,1.71778404712677,2.281735897064209,2.0999999046325684,1.7000000476837158,2.869999885559082,1.399999976158142,4.800000190734863,1.149999976158142,6,1.1200000047683716,10.5,1.0099999904632568,1.149999976158142
15,5,9,0,1,0,2,11,4,1,2,11,5,2.6600000858306885,2.4800000190734863,3.359999895095825,1.2834241390228271,1.426849365234375,1.755833387374878,2.2178947925567627,2.0199999809265137,1.7699999809265137,2.869999885559082,1.399999976158142,4.5,1.1699999570846558,6,1.1200000047683716,10,1.0099999904632568,1.1699999570846558
16,2,15,3,2,1,4,6,3,4,3,8,11,1.409999966621399,4.320000171661377,7.199999809265137,1.0630366802215576,2.700000047683716,1.1719167232513428,5.984255313873291,1.4800000190734863,2.509999990463257,1.9800000190734863,1.8300000429153442,2.700000047683716,1.4199999570846558,3.5,1.2799999713897705,5.650000095367432,1.100000023841858,1.4199999570846558
17,16,3,0,2,2,3,1,9,1,2,10,17,3.680000066757202,2.890000104904175,2.1700000762939453,1.618751883506775,1.2393873929977417,2.6419355869293213,1.5578804016113281,1.899999976158142,1.899999976158142,2.5,1.5,3.799999952316284,1.2200000286102295,5,1.159999966621399,6.599999904632568,1.0800000429153442,1.2200000286102295
18,11,10,1,1,2,2,4,6,3,1,10,4,2.319999933242798,3.0299999713897705,3.140000104904175,1.3139439821243286,1.542009711265564,1.7040764093399048,2.3063793182373047,1.8799999952316284,1.9299999475479126,2.5,1.5,3.799999952316284,1.2300000190734863,5,1.159999966621399,8.5,1.0299999713897705,1.2300000190734863
19,7,1,2,1,3,2,3,4,2,1,10,10,4.320000171661377,3.180000066757202,1.8799999952316284,1.8316800594329834,1.1815019845962524,3.23191499710083,1.4064815044403076,1.8799999952316284,1.9299999475479126,2.5,1.5,4.039999961853027,1.2100000381469727,4.329999923706055,1.2000000476837158,8.899999618530273,1.0299999713897705,1.2100000381469727
20,4,8,0,0,2,3,4,9,1,4,5,9,2.690000057220459,2.8299999237060547,2.799999952316284,1.3791123628616333,1.40746009349823,1.9214999675750732,2.0000743865966797,2.049999952316284,1.75,2.869999885559082,1.399999976158142,4.639999866485596,1.159999966621399,5.5,1.1399999856948853,10.5,1.0099999904632568,1.159999966621399
21,15,12,1,3,3,2,4,7,1,3,10,13,3.7799999713897705,3,2.0899999141693115,1.6725664138793945,1.2318271398544312,2.7524402141571045,1.521851897239685,2.049999952316284,1.75,2.869999885559082,1.399999976158142,4.619999885559082,1.149999976158142,5.5,1.1399999856948853,7,1.0700000524520874,1.149999976158142
22,13,14,2,2,2,1,3,4,4,2,13,11,2.809999942779541,2.940000057220459,2.609999895095825,1.436765193939209,1.3825945854187012,2.035095691680908,1.8902491331100464,2.0999999046325684,1.7000000476837158,2.869999885559082,1.399999976158142,4.539999961853027,1.149999976158142,6,1.1200000047683716,7.5,1.059999942779541,1.149999976158142
23,2,5,3,0,2,1,6,0,3,0,8,11,1.4800000190734863,3.9800000190734863,6.5,1.0788278579711914,2.4685113430023193,1.2031384706497192,5.284054279327393,1.5800000429153442,2.2699999809265137,2.1500000953674316,1.659999966621399,3.049999952316284,1.340000033378601,3.75,1.25,6.599999904632568,1.0700000524520874,1.340000033378601
24,9,6,0,1,2,2,8,1,8,1,15,15,2.4200000762939453,2.740000009536743,3.359999895095825,1.285038709640503,1.5092458724975586,1.6858333349227905,2.34066104888916,2.0799999237060547,1.7300000190734863,2.869999885559082,1.399999976158142,4.639999866485596,1.159999966621399,6,1.1200000047683716,10,1.0099999904632568,1.159999966621399
25,7,10,0,0,2,1,7,8,0,0,6,5,3.180000066757202,2.8499999046325684,2.4200000762939453,1.5029851198196411,1.3087286949157715,2.267768621444702,1.7257862091064453,1.899999976158142,1.899999976158142,2.869999885559082,1.399999976158142,4.440000057220459,1.1799999475479126,5.5,1.1399999856948853,9.800000190734863,1.0199999809265137,1.1799999475479126
26,1,4,3,0,1,3,6,3,4,0,13,13,1.4600000381469727,3.940000057220459,7,1.0652592182159424,2.521023750305176,1.184399962425232,5.678630352020264,1.6799999475479126,2.0799999237060547,2.299999952316284,1.600000023841858,3.3399999141693115,1.2899999618530273,4.329999923706055,1.2000000476837158,7.400000095367432,1.0499999523162842,1.2899999618530273
27,8,15,0,0,1,5,6,1,1,0,8,5,1.9900000095367432,3.130000114440918,3.880000114440918,1.2165429592132568,1.732439398765564,1.4826288223266602,2.890753746032715,1.8799999952316284,1.9299999475479126,2.5,1.5,4.239999771118164,1.190000057220459,5,1.159999966621399,9.300000190734863,1.0199999809265137,1.190000057220459
28,12,2,0,1,2,2,8,11,0,4,11,14,2.6600000858306885,2.7100000381469727,2.990000009536743,1.342383623123169,1.421561360359192,1.8518394231796265,2.0815789699554443,1.8300000429153442,1.9800000190734863,2.25,1.6100000143051147,3.559999942779541,1.2599999904632568,5,1.159999966621399,8.100000381469727,1.0399999618530273,1.2599999904632568
29,3,9,0,0,1,3,1,5,0,2,12,7,2.9700000286102295,2.640000104904175,2.740000009536743,1.3976470232009888,1.3445353507995605,2.0422627925872803,1.8841077089309692,2.0199999809265137,1.7699999809265137,2.700000047683716,1.440000057220459,4.28000020980835,1.190000057220459,5.5,1.1399999856948853,9.399999618530273,1.0199999809265137,1.190000057220459
30,5,16,1,2,2,1,7,6,1,2,6,7,1.909999966621399,3.180000066757202,4.139999866485596,1.1932809352874756,1.7985246181488037,1.4321255683898926,3.1041884422302246,1.8799999952316284,1.9299999475479126,2.5,1.5,3.7200000286102295,1.2400000095367432,4.5,1.1799999475479126,8.300000190734863,1.0399999618530273,1.2400000095367432
31,6,13,1,1,2,2,4,0,1,2,12,10,2.309999942779541,2.859999895095825,3.380000114440918,1.2778723239898682,1.5491666793823242,1.6497633457183838,2.4139394760131836,2.0799999237060547,1.7300000190734863,3.0999999046325684,1.3600000143051147,5,1.1399999856948853,6,1.1200000047683716,11,,1.1399999856948853
32,14,11,1,2,3,5,9,6,3,4,14,17,2.1600000858306885,2.8399999141693115,3.799999952316284,1.2268799543380737,1.6253012418746948,1.5370526313781738,2.7040741443634033,1.9800000190734863,1.8300000429153442,2.5999999046325684,1.4700000286102295,4.039999961853027,1.2100000381469727,5,1.159999966621399,8.899999618530273,1.0299999713897705,1.2100000381469727
33,13,10,0,0,1,2,7,3,0,1,10,9,2,3,4.079999923706055,1.2000000476837158,1.7288135290145874,1.4603921175003052,2.9791998863220215,2.049999952316284,1.75,3.0999999046325684,1.3600000143051147,4.139999866485596,1.1799999475479126,6,1.1200000047683716,9.100000381469727,1.0399999618530273,1.1799999475479126
34,9,14,1,1,4,0,2,2,2,4,13,20,1.8300000429153442,3.0299999713897705,4.920000076293945,1.1409258842468262,1.8751697540283203,1.3445122241973877,3.6147541999816895,2,1.7999999523162842,2.700000047683716,1.440000057220459,3.359999895095825,1.2799999713897705,5.5,1.1399999856948853,8.399999618530273,1.0299999713897705,1.2799999713897705
35,15,3,0,0,5,2,4,1,1,0,10,14,3.5199999809265137,2.8399999141693115,2.25,1.5718239545822144,1.2554028034210205,2.513155460357666,1.6064203977584839,1.9500000476837158,1.850000023841858,2.5999999046325684,1.4700000286102295,4.199999809265137,1.190000057220459,5.5,1.1399999856948853,9.600000381469727,1.0199999809265137,1.190000057220459
