game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,16,3,1,1,1,1,7,6,2,5,8,8,4.099999904632568,3.880000114440918,1.75,1.9934836626052856,1.2060390710830688,3.2760000228881836,1.3982926607131958,,,,,,,,,,,
2,2,19,0,1,1,3,7,7,8,3,13,12,2.140000104904175,3.6600000858306885,3.140000104904175,1.3504137992858887,1.6900588274002075,1.6478980779647827,2.4179439544677734,,,,,,,,,,,
3,6,1,2,2,0,2,4,6,8,8,16,9,3.819999933242798,4.039999961853027,1.7999999523162842,1.9634605646133423,1.2452055215835571,3.0597777366638184,1.4417800903320312,,,,,,,,,,,
4,20,12,1,1,2,0,4,12,1,8,10,9,3.180000066757202,3.6600000858306885,2.1600000858306885,1.701578974723816,1.3583505153656006,2.4227778911590576,1.645660400390625,,,,,,,,,,,
5,10,17,2,0,2,0,3,6,8,4,15,14,2.5399999618530273,3.8399999141693115,2.5,1.5287774801254272,1.5141955614089966,1.9756799936294556,1.9445669651031494,,,,,,,,,,,
6,4,7,0,3,3,1,8,1,3,4,20,10,2,3.799999952316284,3.5399999618530273,1.3103448152542114,1.8326975107192993,1.5336723327636719,2.714600086212158,,,,,,,,,,,
7,8,5,2,0,2,0,8,3,7,4,8,13,2.3499999046325684,3.880000114440918,2.7200000286102295,1.4635634422302246,1.5990302562713623,1.8266911506652832,2.114297866821289,,,,,,,,,,,
8,15,11,2,2,0,0,3,2,6,8,9,14,2.690000057220459,3.5999999046325684,2.5,1.5395866632461548,1.4754098653793335,2.034480094909668,1.8907806873321533,,,,,,,,,,,
9,13,14,0,1,0,2,9,3,4,2,7,12,1.940000057220459,3.759999990463257,3.4600000381469727,1.279719352722168,1.8018836975097656,1.529479742050171,2.727834939956665,,,,,,,,,,,
10,9,18,2,1,1,0,3,3,2,2,12,14,3.240000009536743,3.819999933242798,2.0299999713897705,1.7530878782272339,1.3255726099014282,2.544137954711914,1.5940123796463013,,,,,,,,,,,
11,7,2,1,2,1,1,13,3,2,5,6,8,1.659999966621399,4.199999809265137,4.559999942779541,1.1897610425949097,2.1863014698028564,1.3367544412612915,3.6720480918884277,,,,,,,,,,,
