game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
2,5,6,0,2,1,2,5,7,5,9,13,17,1.7699999809265137,4.099999904632568,4.659999847412109,1.2362861633300781,2.1810500621795654,1.352231740951538,3.560112953186035,1.2599999904632568,3.940000057220459,1.600000023841858,2.299999952316284,2.0299999713897705,1.7999999523162842,2.380000114440918,1.5299999713897705,3.799999952316284,1.2400000095367432,1.7999999523162842
4,6,5,1,1,1,2,3,4,7,3,14,17,3.0899999141693115,3.680000066757202,2.380000114440918,1.6796455383300781,1.4452805519104004,2.2523529529571533,1.7348220348358154,1.2999999523162842,3.5999999046325684,1.7999999523162842,2,2.2300000190734863,1.6699999570846558,3,1.3600000143051147,4.239999771118164,1.2000000476837158,1.6699999570846558
11,5,8,5,2,1,3,7,4,6,4,14,14,1.7200000286102295,4.099999904632568,5.099999904632568,1.2116838693618774,2.2728259563446045,1.3105098009109497,3.8858139514923096,1.2400000095367432,4.139999866485596,1.649999976158142,2.200000047683716,1.9700000286102295,1.850000023841858,2.630000114440918,1.440000057220459,3.700000047683716,1.25,1.850000023841858
12,6,7,5,1,3,3,12,4,15,3,17,19,1.9900000095367432,3.799999952316284,3.880000114440918,1.3060449361801147,1.9197916984558105,1.4826288223266602,2.890753746032715,1.350000023841858,3.259999990463257,1.7999999523162842,2,2.3399999141693115,1.6200000047683716,2.75,1.399999976158142,4.639999866485596,1.1699999570846558,1.6200000047683716
17,8,5,0,0,1,3,7,3,0,3,11,16,2.490000009536743,3.740000009536743,2.8299999237060547,1.4947993755340576,1.6109893321990967,1.842261552810669,2.093815326690674,1.2100000381469727,4.539999961853027,1.649999976158142,2.200000047683716,1.8799999952316284,1.940000057220459,2.5,1.5,3.319999933242798,1.2999999523162842,1.940000057220459
18,7,6,2,1,1,3,5,3,3,3,12,12,2.1700000762939453,3.5999999046325684,3.5199999809265137,1.3538994789123535,1.7797752618789673,1.5841478109359741,2.5696773529052734,1.4199999570846558,2.9100000858306885,1.9500000476837158,1.850000023841858,2.5999999046325684,1.5099999904632568,3.4000000953674316,1.2999999523162842,5.400000095367432,1.1399999856948853,1.5099999904632568
19,18,15,0,2,1,1,5,8,8,5,12,18,3.640000104904175,4.099999904632568,1.9299999475479126,1.9281654357910156,1.3122719526290894,2.8282902240753174,1.4996153116226196,1.190000057220459,4.699999809265137,1.5700000524520874,2.3499999046325684,1.809999942779541,2,2.380000114440918,1.5299999713897705,3.259999990463257,1.2999999523162842,2
20,11,12,1,1,1,2,9,2,6,1,6,12,2.1500000953674316,3.799999952316284,3.2799999713897705,1.373109221458435,1.7604519128799438,1.6223781108856201,2.475069761276245,1.1699999570846558,5.099999904632568,1.5,2.5,1.75,2.0799999237060547,2.25,1.5700000524520874,2.990000009536743,1.350000023841858,2.0799999237060547
21,3,10,1,0,0,3,4,5,5,2,13,17,1.5299999713897705,5,5.599999904632568,1.1715160608291626,2.6415092945098877,1.2477500438690186,4.566927909851074,1.1100000143051147,5.699999809265137,1.399999976158142,2.880000114440918,1.5499999523162842,2.450000047683716,2,1.7300000190734863,2.75,1.4500000476837158,2.450000047683716
22,17,2,1,1,2,0,5,10,3,6,10,5,37,9.399999618530273,1.090000033378601,7.495689392089844,0.976739764213562,34.246055603027344,1.008870244026184,1.0399999618530273,8.800000190734863,1.2999999523162842,3.5,1.399999976158142,2.950000047683716,1.7999999523162842,1.909999966621399,2.3399999141693115,1.600000023841858,2.950000047683716
