game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,7,5,3,1,4,1,4,6,6,6,10,12,2.75,2.930000066757202,2.740000009536743,1.4185739755630493,1.4159083366394043,1.9635766744613647,1.9564363956451416,1.6299999952316284,2.25,2.0999999046325684,1.7000000476837158,3.130000114440918,1.3300000429153442,4,1.2200000286102295,6.599999904632568,1.0700000524520874,1.3300000429153442
2,6,2,2,2,5,1,7,3,6,6,13,6,2.259999990463257,3.1600000858306885,3.200000047683716,1.3176383972167969,1.5899370908737183,1.672124981880188,2.3676106929779053,1.5199999809265137,2.4200000762939453,2.0999999046325684,1.7000000476837158,2.9000000953674316,1.3799999952316284,3.75,1.25,6.150000095367432,1.0800000429153442,1.3799999952316284
3,8,10,2,2,4,1,5,4,3,4,15,10,3.2200000286102295,3.4600000381469727,2.119999885559082,1.667844295501709,1.3145519495010376,2.4684906005859375,1.6252174377441406,1.4299999475479126,2.700000047683716,1.850000023841858,1.9500000476837158,2.5399999618530273,1.4800000190734863,3.25,1.3300000429153442,5.150000095367432,1.1200000047683716,1.4800000190734863
4,9,4,1,3,3,1,10,2,6,7,15,6,4.519999980926514,3.859999895095825,1.690000057220459,2.0820047855377197,1.1753873825073242,3.601065158843994,1.3464158773422241,1.340000033378601,3.0999999046325684,1.7999999523162842,2,2.2300000190734863,1.6100000143051147,3,1.3600000143051147,4.28000020980835,1.1699999570846558,1.6100000143051147
5,3,1,0,1,5,4,7,7,5,8,10,8,2.640000104904175,3.5799999237060547,2.430000066757202,1.5194854736328125,1.447487473487854,2.044691324234009,1.8820455074310303,1.2400000095367432,3.799999952316284,1.5299999713897705,2.4000000953674316,1.8799999952316284,1.9299999475479126,2.369999885559082,1.5299999713897705,3.380000114440918,1.2599999904632568,1.9299999475479126
6,10,6,1,4,1,1,4,2,1,4,10,7,3.0199999809265137,3.180000066757202,2.359999895095825,1.548967719078064,1.3546570539474487,2.234067678451538,1.7458277940750122,1.5,2.4700000286102295,2,1.7999999523162842,2.7899999618530273,1.409999966621399,3.5,1.2799999713897705,5.849999904632568,1.090000033378601,1.409999966621399
7,2,9,1,0,3,2,4,2,3,1,13,14,2.490000009536743,3.140000104904175,2.859999895095825,1.3887388706207275,1.49673330783844,1.8332167863845825,2.1056225299835205,1.4299999475479126,2.700000047683716,1.9500000476837158,1.850000023841858,2.390000104904175,1.5399999618530273,3.25,1.3300000429153442,5.150000095367432,1.1200000047683716,1.5399999618530273
8,4,7,1,0,2,2,6,1,3,2,3,7,1.4299999475479126,4.380000114440918,7,1.0780378580093384,2.694200277328491,1.1801999807357788,5.777202606201172,1.3799999952316284,2.9000000953674316,1.850000023841858,1.9500000476837158,2.359999895095825,1.5499999523162842,3,1.3600000143051147,4.639999866485596,1.149999976158142,1.5499999523162842
9,8,3,0,2,2,1,6,3,3,7,12,8,4.880000114440918,4.28000020980835,1.5800000429153442,2.280174732208252,1.1539931297302246,4.006835460662842,1.297295093536377,1.2100000381469727,3.8399999141693115,1.5700000524520874,2.3499999046325684,1.9299999475479126,1.8799999952316284,2.369999885559082,1.5299999713897705,3.380000114440918,1.2899999618530273,1.8799999952316284
10,6,8,2,1,5,3,4,9,2,2,14,8,1.6399999856948853,3.7200000286102295,5.199999809265137,1.1382089853286743,2.168609857559204,1.2890769243240356,4.087316989898682,1.350000023841858,3.0399999618530273,1.7999999523162842,2,2.2300000190734863,1.6100000143051147,2.75,1.399999976158142,4.260000228881836,1.1799999475479126,1.6100000143051147
11,7,2,0,3,2,1,5,2,4,3,6,5,3.4200000762939453,2.940000057220459,2.2899999618530273,1.5809433460235596,1.2873040437698364,2.4435808658599854,1.636198878288269,1.4600000381469727,2.5999999046325684,1.9299999475479126,1.8799999952316284,2.5399999618530273,1.4800000190734863,3.25,1.3300000429153442,5.050000190734863,1.1299999952316284,1.4800000190734863
12,3,5,0,0,1,1,6,4,3,1,7,8,1.5800000429153442,3.9200000762939453,5.449999809265137,1.1261091232299805,2.2800426483154297,1.2641100883483887,4.360379695892334,1.2899999618530273,3.4200000762939453,1.659999966621399,2.1500000953674316,2.0199999809265137,1.7400000095367432,2.5,1.5,3.700000047683716,1.2200000286102295,1.7400000095367432
13,9,10,1,1,4,3,5,4,2,3,10,7,2.0999999046325684,3.2200000286102295,3.5,1.271052598953247,1.6770833730697632,1.5679999589920044,2.613333225250244,1.440000057220459,2.6500000953674316,1.899999976158142,1.899999976158142,2.5,1.5,3.4000000953674316,1.2999999523162842,5,1.1299999952316284,1.5
14,1,4,2,1,6,3,6,9,4,2,15,6,2.4800000190734863,2.9700000286102295,3.0299999713897705,1.3514862060546875,1.4998500347137451,1.7821122407913208,2.1773386001586914,1.4900000095367432,2.5299999713897705,2,1.7999999523162842,2.6500000953674316,1.4500000476837158,3.4000000953674316,1.2999999523162842,5.300000190734863,1.1100000143051147,1.4500000476837158
15,10,7,1,0,3,4,3,1,1,0,15,19,2.1700000762939453,3.380000114440918,3.200000047683716,1.3215495347976685,1.6437690258026123,1.6445624828338623,2.425161361694336,1.4500000476837158,2.640000104904175,2,1.7999999523162842,2.5999999046325684,1.4600000381469727,3.4000000953674316,1.2999999523162842,5.300000190734863,1.1100000143051147,1.4600000381469727
16,8,9,0,5,2,1,12,4,2,5,10,9,5.050000190734863,3.819999933242798,1.6399999856948853,2.174859046936035,1.1473993062973022,3.997682809829712,1.2982574701309204,1.2599999904632568,3.4000000953674316,1.649999976158142,2.200000047683716,2.049999952316284,1.75,2.5,1.5,3.5999999046325684,1.2599999904632568,1.75
17,6,3,0,3,3,3,8,4,3,4,8,14,3.119999885559082,3.119999885559082,2.3399999141693115,1.559999942779541,1.337142825126648,2.2866666316986084,1.715000033378601,1.409999966621399,2.7100000381469727,1.7999999523162842,2,2.4100000858306885,1.5,3,1.3600000143051147,4.599999904632568,1.159999966621399,1.5
18,4,5,2,2,1,1,1,5,4,4,12,12,1.6399999856948853,3.819999933242798,5.050000190734863,1.1473993062973022,2.174859046936035,1.2982574701309204,3.997682809829712,1.4600000381469727,2.5999999046325684,2,1.7999999523162842,2.630000114440918,1.4500000476837158,3.4000000953674316,1.2999999523162842,5.449999809265137,1.1100000143051147,1.4500000476837158
19,2,1,0,3,1,2,6,3,1,6,11,8,2.930000066757202,3.4200000762939453,2.2899999618530273,1.578047275543213,1.371593713760376,2.233886480331421,1.7459385395050049,1.4299999475479126,2.700000047683716,1.850000023841858,1.9500000476837158,2.509999990463257,1.4900000095367432,3.25,1.3300000429153442,5.099999904632568,1.1200000047683716,1.4900000095367432
20,5,1,1,0,3,2,6,7,3,1,10,5,4.5,3.8399999141693115,1.7000000476837158,2.0719423294067383,1.1783393621444702,3.574117660522461,1.3502222299575806,1.3200000524520874,3.200000047683716,1.7000000476837158,2.0999999046325684,2.049999952316284,1.75,2.619999885559082,1.440000057220459,4.119999885559082,1.1799999475479126,1.75
21,7,8,1,0,1,0,6,8,2,7,10,10,1.649999976158142,4,4.71999979019165,1.1681416034698486,2.165137529373169,1.3225847482681274,3.7833938598632812,1.3300000429153442,3.119999885559082,1.7999999523162842,2,2.2100000381469727,1.6200000047683716,3,1.3600000143051147,4.199999809265137,1.1799999475479126,1.6200000047683716
22,9,6,1,3,1,4,5,3,3,5,9,13,2.690000057220459,3.4000000953674316,2.4700000286102295,1.5018062591552734,1.4306644201278687,2.0472874641418457,1.8798513412475586,1.4299999475479126,2.700000047683716,1.850000023841858,1.9500000476837158,2.5399999618530273,1.4800000190734863,3.25,1.3300000429153442,5.150000095367432,1.1200000047683716,1.4800000190734863
23,3,4,2,0,4,2,2,10,3,3,16,9,1.909999966621399,3.559999942779541,3.7799999713897705,1.2430713176727295,1.833351492881775,1.4751851558685303,2.9194765090942383,1.350000023841858,3,1.7999999523162842,2,2.2300000190734863,1.5800000429153442,3,1.3600000143051147,4.199999809265137,1.190000057220459,1.5800000429153442
