game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,18,12,0,1,1,2,5,3,4,5,15,12,2.9700000286102295,3,2.5,1.4924622774124146,1.3636363744735718,2.144239902496338,1.8049157857894897,,,,,,,,,,,
2,2,7,1,0,3,3,6,9,2,2,15,10,2.6500000953674316,2.7699999809265137,3.0199999809265137,1.3543357849121094,1.4448013305664062,1.8399337530136108,2.096830129623413,,,,,,,,,,,
3,17,10,0,4,2,1,2,5,4,6,16,12,8.949999809265137,4.179999828338623,1.3899999856948853,2.849276542663574,1.0431238412857056,7.290071964263916,1.132201075553894,,,,,,,,,,,
4,1,6,2,0,2,3,5,6,5,2,13,16,1.7699999809265137,3.5899999141693115,4.440000057220459,1.1855037212371826,1.9850062131881714,1.3706756830215454,3.438305139541626,,,,,,,,,,,
5,8,4,1,1,3,5,4,8,3,6,18,28,2.5,3.059999942779541,2.930000066757202,1.375899314880371,1.4967947006225586,1.816177487373352,2.1285600662231445,,,,,,,,,,,
6,15,11,2,3,2,3,4,1,8,5,21,24,3.7200000286102295,3.5999999046325684,1.909999966621399,1.8295081853866577,1.247912883758545,2.8886911869049072,1.483172059059143,,,,,,,,,,,
7,9,19,0,0,1,3,4,6,0,5,17,19,2.25,2.9200000762939453,3.5399999618530273,1.270793080329895,1.6001238822937012,1.6028813123703003,2.5218665599823,,,,,,,,,,,
8,13,16,1,0,2,2,6,5,5,2,16,11,2.680000066757202,3.2300000190734863,2.5799999237060547,1.464703917503357,1.434320092201233,1.997984528541565,1.9234328269958496,,,,,,,,,,,
9,6,8,3,1,7,1,7,9,5,4,29,9,4.119999885559082,3.5799999237060547,1.8200000524520874,1.9155324697494507,1.2065925598144531,3.1984615325927734,1.4129126071929932,,,,,,,,,,,
10,10,15,1,0,5,4,2,5,4,3,25,18,1.2899999618530273,5.5,8.899999618530273,1.0449190139770508,3.399305582046509,1.1220449209213257,7.741240501403809,,,,,,,,,,,
11,5,9,2,1,3,1,1,8,2,4,15,12,2.390000104904175,3.119999885559082,3.0199999809265137,1.3533211946487427,1.534592866897583,1.7555629014968872,2.2183263301849365,,,,,,,,,,,
12,16,2,2,2,3,5,6,8,6,6,14,16,3.049999952316284,3.049999952316284,2.4200000762939453,1.524999976158142,1.3493601083755493,2.2151238918304443,1.7575737237930298,,,,,,,,,,,
13,12,17,3,0,0,2,3,4,5,2,12,23,1.9600000381469727,3.180000066757202,4.099999904632568,1.2126070261001587,1.7909340858459473,1.4484877586364746,3.0299999713897705,,,,,,,,,,,
14,11,13,0,1,2,4,17,2,10,1,,,1.8700000047683716,3.4800000190734863,4.019999980926514,1.2163738012313843,1.865280032157898,1.43587064743042,3.086737871170044,,,,,,,,,,,
15,7,1,2,2,4,6,4,6,4,5,19,20,3.5999999046325684,2.740000009536743,2.3399999141693115,1.5558359622955322,1.2621259689331055,2.487692356109619,1.6169999837875366,,,,,,,,,,,
16,2,9,1,0,3,7,11,3,5,1,7,20,1.8300000429153442,3.440000057220459,4.28000020980835,1.1945351362228394,1.9071502685546875,1.39901864528656,3.272021770477295,,,,,,,,,,,
17,4,6,3,0,1,3,2,8,5,3,15,14,1.590000033378601,3.7699999809265137,5.710000038146973,1.1183395385742188,2.2707488536834717,1.252889633178711,4.49937105178833,,,,,,,,,,,
18,1,5,2,0,5,5,5,5,6,2,13,17,2.190000057220459,2.9700000286102295,3.619999885559082,1.2605232000350952,1.631471872329712,1.5728728771209717,2.5999085903167725,,,,,,,,,,,
