game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,1,11,4,1,3,2,2,3,6,2,14,12,1.090000033378601,11,25,0.9917287230491638,7.638888835906982,1.0227279663085938,23.457063674926758,1.100000023841858,6,1.440000057220459,2.700000047683716,1.5199999809265137,2.5299999713897705,2.0999999046325684,1.6699999570846558,2.5899999141693115,1.5,2.5299999713897705
2,4,2,0,4,0,1,5,2,2,8,14,23,6.900000095367432,4.800000190734863,1.4500000476837158,2.8307693004608154,1.1136000156402588,5.643448352813721,1.1859420537948608,1.2799999713897705,3.680000066757202,1.649999976158142,2.200000047683716,2.0799999237060547,1.75,2.630000114440918,1.440000057220459,4.039999961853027,1.2100000381469727,1.75
3,12,13,2,1,3,1,2,5,3,4,11,11,2.0199999809265137,3.700000047683716,3.880000114440918,1.3066433668136597,1.8939313888549805,1.4902061223983765,2.8623762130737305,1.3300000429153442,3.380000114440918,1.6699999570846558,2.1500000953674316,2.2699999809265137,1.649999976158142,2.75,1.399999976158142,4.5,1.1799999475479126,1.649999976158142
4,9,8,2,1,6,4,4,8,3,7,20,15,3.5799999237060547,3.5399999618530273,2.1700000762939453,1.779943823814392,1.3453240394592285,2.596774101257324,1.5740224123001099,1.3700000047683716,3.180000066757202,1.7999999523162842,2,2.390000104904175,1.590000033378601,3,1.3600000143051147,4.699999809265137,1.1699999570846558,1.590000033378601
5,16,18,2,0,0,2,3,2,2,2,22,22,1.4500000476837158,5,6.699999809265137,1.1240310668945312,2.863247871398926,1.192089557647705,5.508275508880615,1.2599999904632568,3.859999895095825,1.649999976158142,2.200000047683716,2.0199999809265137,1.7899999618530273,2.5,1.5,3.880000114440918,1.2200000286102295,1.7899999618530273
6,17,6,1,2,3,5,5,5,2,6,16,20,2.549999952316284,3.0999999046325684,2.880000114440918,1.399114966392517,1.4929765462875366,1.8477082252502441,2.0868237018585205,,,2.0999999046325684,1.7000000476837158,,,3.5,1.2899999618530273,,,
7,15,7,0,0,3,3,0,4,0,2,16,22,2.4200000762939453,3.4000000953674316,3.0799999237060547,1.4137457609176636,1.6160494089126587,1.75,2.2272727489471436,1.4500000476837158,2.7699999809265137,2.049999952316284,1.75,2.6500000953674316,1.4800000190734863,3.5,1.2899999618530273,5.5,1.1200000047683716,1.4800000190734863
8,5,10,2,2,3,2,7,6,6,3,14,19,2.509999990463257,3.5,2.950000047683716,1.4617304801940918,1.6007752418518066,1.8138304948806763,2.1317927837371826,1.3700000047683716,3.180000066757202,1.7999999523162842,2,2.390000104904175,1.590000033378601,3,1.3600000143051147,4.699999809265137,1.1699999570846558,1.590000033378601
9,3,14,4,0,0,3,10,6,7,2,15,13,1.2899999618530273,6,11,1.0617283582687378,3.882352828979492,1.0949273109436035,9.336589813232422,1.2899999618530273,3.5999999046325684,1.7300000190734863,2.0799999237060547,2.190000057220459,1.6799999475479126,2.75,1.399999976158142,4.400000095367432,1.1799999475479126,1.6799999475479126
10,8,5,1,1,2,0,15,2,5,3,13,13,1.899999976158142,3.640000104904175,4.400000095367432,1.248375415802002,1.9920397996902466,1.403181791305542,3.249473810195923,1.5199999809265137,2.569999933242798,2.0799999237060547,1.7300000190734863,3,1.399999976158142,3.75,1.25,6.400000095367432,1.100000023841858,1.399999976158142
11,13,1,0,2,8,4,5,7,2,8,16,18,12,5.650000095367432,1.25,3.841359853744507,1.0235507488250732,10.387999534606934,1.0820833444595337,1.2799999713897705,3.759999990463257,1.649999976158142,2.200000047683716,2.119999885559082,1.7400000095367432,2.5,1.5,4.239999771118164,1.2000000476837158,1.7400000095367432
12,10,12,4,1,3,2,4,4,6,5,12,7,2.0199999809265137,3.5399999618530273,4.079999923706055,1.286115050315857,1.8954330682754517,1.465196132659912,2.9594058990478516,1.4700000286102295,2.7200000286102295,2,1.7999999523162842,2.759999990463257,1.4600000381469727,3.5,1.2899999618530273,5.900000095367432,1.1100000143051147,1.4600000381469727
13,14,17,1,0,1,1,5,6,3,4,14,13,2.5,2.880000114440918,3.200000047683716,1.3382899761199951,1.51578950881958,1.7456250190734863,2.2344000339508057,,,2.5,1.5,,,5,1.1699999570846558,,,
