game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,12,4,0,2,2,3,3,7,4,7,8,19,3.7200000286102295,3.0999999046325684,2.2699999809265137,1.6909091472625732,1.310428261756897,2.585991144180298,1.5780107975006104,,,,,,,,,,,
2,15,1,1,3,0,1,6,8,7,6,7,6,12.899999618530273,6.079999923706055,1.2599999904632568,4.132349967956543,1.043705701828003,11.013333320617676,1.0757209062576294,,,,,,,,,,,
3,8,9,1,0,6,4,3,10,5,5,13,16,4.010000228881836,3.7300000190734863,1.9500000476837158,1.9324676990509033,1.2805458307266235,2.995281934738159,1.4565585851669312,,,,,,,,,,,
4,2,14,3,1,1,3,13,6,10,2,16,9,1.590000033378601,3.930000066757202,6.679999828338623,1.132010817527771,2.4743072986602783,1.2132635116577148,5.097232818603516,,,,,,,,,,,
5,16,6,0,3,2,2,4,6,3,6,13,11,3.7699999809265137,3.509999990463257,2.0799999237060547,1.8176785707473755,1.306046485900879,2.7562499046325684,1.520689606666565,,,,,,,,,,,
6,7,10,1,2,2,3,6,4,3,7,5,13,2.0299999713897705,3.640000104904175,3.799999952316284,1.303209900856018,1.8591398000717163,1.5035263299942017,2.8144826889038086,,,,,,,,,,,
7,5,13,1,0,0,0,13,2,6,2,8,6,1.659999966621399,3.8399999141693115,6.050000190734863,1.1589818000793457,2.349039316177368,1.2488925457000732,4.551686763763428,,,,,,,,,,,
8,11,3,1,0,2,1,2,8,2,3,11,12,4.860000133514404,3.0999999046325684,1.9900000095367432,1.8927135467529297,1.2119842767715454,3.3733668327331543,1.3812757730484009,,,,,,,,,,,
9,7,9,0,1,3,2,7,11,0,8,5,10,4.010000228881836,3.690000057220459,1.9600000381469727,1.9216753244400024,1.2800707817077637,2.984999895095825,1.4590024948120117,,,,,,,,,,,
10,14,8,0,3,2,2,9,2,5,6,11,5,3.759999990463257,3.2899999618530273,2.1600000858306885,1.7546666860580444,1.3039265871047974,2.6859259605407715,1.5429787635803223,,,,,,,,,,,
11,13,4,2,3,5,3,4,4,3,5,10,8,4.21999979019165,3.299999952316284,2.0299999713897705,1.8518617153167725,1.2568479776382446,3.0172414779663086,1.451421856880188,,,,,,,,,,,
12,5,2,1,2,3,3,6,10,5,4,8,12,2.309999942779541,3.4000000953674316,3.299999952316284,1.3754816055297852,1.6746268272399902,1.6660000085830688,2.380000114440918,,,,,,,,,,,
13,16,11,1,1,0,0,5,5,4,1,18,14,2.069999933242798,3.3499999046325684,4,1.2794280052185059,1.8231292963027954,1.487149953842163,2.8737196922302246,,,,,,,,,,,
14,6,15,0,1,5,5,6,4,4,8,16,17,1.5399999618530273,4.610000133514404,6.130000114440918,1.1543740034103394,2.6312196254730225,1.2261990308761597,4.880908966064453,,,,,,,,,,,
15,12,1,2,4,3,3,2,4,2,7,6,8,9.25,4.300000190734863,1.4500000476837158,2.935424327850342,1.0843478441238403,7.231724262237549,1.1336215734481812,,,,,,,,,,,
16,10,3,1,2,1,3,4,2,2,4,10,11,2.609999895095825,3.5,2.759999990463257,1.4950900077819824,1.5431309938430786,1.9067391157150269,2.016321897506714,,,,,,,,,,,
