game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
3,1,6,2,1,1,1,9,1,7,3,11,8,1.2300000190734863,6.300000190734863,11.5,1.0290837287902832,4.070224761962891,1.0848174095153809,10.142601013183594,1.2200000286102295,3.819999933242798,1.5299999713897705,2.5,1.8200000524520874,1.9700000286102295,2.299999952316284,1.6100000143051147,3.140000104904175,1.350000023841858,1.9700000286102295
4,5,4,1,2,4,1,2,3,8,7,18,14,3.5199999809265137,3.4200000762939453,2.130000114440918,1.7346397638320923,1.3125406503677368,2.5995304584503174,1.5730113983154297,1.590000033378601,2.3299999237060547,2.0999999046325684,1.7200000286102295,2.990000009536743,1.3799999952316284,4,1.25,5.800000190734863,1.100000023841858,1.3799999952316284
5,3,2,2,1,1,3,4,7,4,3,12,14,3.259999990463257,3.380000114440918,2.240000009536743,1.659457802772522,1.3471885919570923,2.40625,1.653374195098877,1.5800000429153442,2.3499999046325684,2,1.7999999523162842,2.950000047683716,1.3899999856948853,3.75,1.2799999713897705,5.699999809265137,1.100000023841858,1.3899999856948853
6,12,11,2,3,2,2,0,9,3,6,13,11,4,3.7200000286102295,1.899999976158142,1.9274611473083496,1.2576512098312378,3.0431578159332275,1.4455000162124634,1.440000057220459,2.75,1.899999976158142,1.899999976158142,2.4700000286102295,1.5299999713897705,3.4000000953674316,1.3300000429153442,4.699999809265137,1.149999976158142,1.5299999713897705
7,10,7,2,0,3,1,7,3,6,0,12,9,2.509999990463257,3.3399999141693115,2.859999895095825,1.433059811592102,1.5407096147537231,1.8400700092315674,2.096653461456299,1.5099999904632568,2.5199999809265137,2,1.7999999523162842,2.7100000381469727,1.4500000476837158,3.5,1.2999999523162842,5.199999809265137,1.1299999952316284,1.4500000476837158
8,8,9,3,2,0,0,4,8,6,8,10,12,2.0799999237060547,3.440000057220459,3.619999885559082,1.2962318658828735,1.7638527154922485,1.5430939197540283,2.685576915740967,1.5800000429153442,2.3499999046325684,2.0999999046325684,1.7200000286102295,2.950000047683716,1.3899999856948853,4,1.25,5.699999809265137,1.100000023841858,1.3899999856948853
11,11,10,2,0,2,1,9,2,7,2,14,17,1.940000057220459,3.4600000381469727,3.859999895095825,1.2430371046066284,1.8245354890823364,1.4725388288497925,2.929896831512451,1.5700000524520874,2.2699999809265137,2.200000047683716,1.659999966621399,3.0999999046325684,1.3600000143051147,4.329999923706055,1.2200000286102295,6,1.100000023841858,1.3600000143051147
12,2,1,2,0,2,2,6,3,5,1,12,12,2.450000047683716,3.4800000190734863,2.8299999237060547,1.4377740621566772,1.560760736465454,1.8284099102020264,2.111999988555908,1.4600000381469727,2.680000066757202,1.899999976158142,1.899999976158142,2.549999952316284,1.5,3.4000000953674316,1.3300000429153442,4.900000095367432,1.1399999856948853,1.5
14,9,12,0,1,1,1,3,0,4,4,11,12,1.6299999952316284,3.8399999141693115,5.75,1.144277811050415,2.302398204803467,1.2578086853027344,4.4370551109313965,1.4600000381469727,2.680000066757202,1.899999976158142,1.899999976158142,2.549999952316284,1.5,3.4000000953674316,1.3300000429153442,4.900000095367432,1.1399999856948853,1.5
15,7,8,2,0,2,3,3,4,5,1,13,13,2.5399999618530273,3.180000066757202,2.9600000381469727,1.4120979309082031,1.533029317855835,1.8209459781646729,2.122047185897827,1.7899999618530273,2,2.369999885559082,1.5700000524520874,3.5999999046325684,1.2799999713897705,4.5,1.2000000476837158,7.099999904632568,1.059999942779541,1.2799999713897705
16,3,5,1,0,0,1,11,3,5,3,6,13,1.7699999809265137,3.640000104904175,4.679999828338623,1.1909056901931763,2.047499895095825,1.3506410121917725,3.5711863040924072,1.5800000429153442,2.3499999046325684,2,1.7999999523162842,2.9000000953674316,1.399999976158142,3.75,1.2799999713897705,5.650000095367432,1.100000023841858,1.399999976158142
17,4,6,2,1,2,4,2,2,4,4,17,25,1.4500000476837158,4.300000190734863,6.75,1.0843478441238403,2.626696825027466,1.1905184984207153,5.542068958282471,1.4700000286102295,2.640000104904175,1.899999976158142,1.899999976158142,2.5799999237060547,1.4900000095367432,3.4000000953674316,1.3300000429153442,4.940000057220459,1.1399999856948853,1.4900000095367432
19,2,5,1,0,0,3,4,3,7,1,8,13,1.3600000143051147,5.5,7.699999809265137,1.090378999710083,3.2083332538604736,1.1530909538269043,6.528529167175293,1.2799999713897705,3.5999999046325684,1.6100000143051147,2.299999952316284,2,1.7899999618530273,2.619999885559082,1.5,3.5399999618530273,1.25,1.7899999618530273
20,12,10,0,1,0,1,3,8,2,5,10,10,2.200000047683716,3.440000057220459,3.319999933242798,1.3418439626693726,1.689467430114746,1.6293976306915283,2.458909034729004,1.5299999713897705,2.4600000381469727,2,1.7999999523162842,2.7799999713897705,1.4299999475479126,3.75,1.2799999713897705,5.400000095367432,1.1200000047683716,1.4299999475479126
21,8,11,1,1,1,3,5,3,4,5,16,13,2.0799999237060547,3.4000000953674316,3.680000066757202,1.290510892868042,1.7672317028045654,1.533913016319275,2.713846206665039,1.649999976158142,2.2100000381469727,2.200000047683716,1.659999966621399,3.140000104904175,1.350000023841858,4.329999923706055,1.2200000286102295,6.150000095367432,1.090000033378601,1.350000023841858
22,7,9,1,1,0,2,6,6,3,4,7,18,2.2100000381469727,3.259999990463257,3.4800000190734863,1.3171114921569824,1.6832047700881958,1.6023563146591187,2.523167371749878,1.7699999809265137,2.0299999713897705,2.299999952316284,1.6100000143051147,3.559999942779541,1.2899999618530273,4.5,1.2000000476837158,6.949999809265137,1.059999942779541,1.2899999618530273
23,6,3,0,1,3,5,5,8,2,5,18,18,2.8399999141693115,3.2200000286102295,2.609999895095825,1.5090428590774536,1.441543698310852,2.0463602542877197,1.88063383102417,1.7400000095367432,2.069999933242798,2.5,1.5299999713897705,3.440000057220459,1.2999999523162842,5,1.159999966621399,6.699999809265137,1.0700000524520874,1.2999999523162842
24,4,1,0,3,3,3,3,10,3,7,11,7,5.300000190734863,3.880000114440918,1.6699999570846558,2.2400872707366943,1.1674954891204834,4.090179920196533,1.2887924909591675,1.5299999713897705,2.4700000286102295,2,1.7999999523162842,2.75,1.440000057220459,3.75,1.2799999713897705,5.300000190734863,1.1200000047683716,1.440000057220459
25,2,4,2,0,1,4,7,1,6,1,12,12,1.6100000143051147,3.940000057220459,5.800000190734863,1.14295494556427,2.346201181411743,1.2520344257354736,4.510435104370117,1.4500000476837158,2.7300000190734863,1.899999976158142,1.899999976158142,2.7300000190734863,1.4500000476837158,3.4000000953674316,1.3300000429153442,5.550000190734863,1.1100000143051147,1.4500000476837158
26,5,6,1,1,2,7,5,4,4,4,14,20,2.1500000953674316,3.359999895095825,3.5199999809265137,1.3110707998275757,1.7190697193145752,1.5785795450210571,2.5844650268554688,1.559999942779541,2.4000000953674316,2.0999999046325684,1.7200000286102295,3.0999999046325684,1.3600000143051147,4,1.25,6.449999809265137,1.0800000429153442,1.3600000143051147
27,10,9,3,3,2,1,9,4,7,4,9,11,2.9800000190734863,3.2799999713897705,2.4600000381469727,1.5614057779312134,1.4057142734527588,2.167154550552368,1.788993239402771,1.7300000190734863,2.0799999237060547,2.369999885559082,1.5700000524520874,3.7799999713897705,1.2599999904632568,4.5,1.2000000476837158,7.900000095367432,1.0499999523162842,1.2599999904632568
28,8,12,4,3,4,3,10,4,8,6,10,16,1.75,3.759999990463257,4.559999942779541,1.1941924095153809,2.0607693195343018,1.3560965061187744,3.533599853515625,1.5,2.549999952316284,2,1.7999999523162842,2.9100000858306885,1.399999976158142,3.75,1.2799999713897705,6.050000190734863,1.090000033378601,1.399999976158142
29,11,7,1,1,3,3,7,3,3,1,15,13,2.549999952316284,3.2200000286102295,2.9000000953674316,1.4230502843856812,1.5258170366287231,1.8417240381240845,2.0945098400115967,1.7100000381469727,2.109999895095825,2.369999885559082,1.5700000524520874,3.700000047683716,1.2699999809265137,4.329999923706055,1.2200000286102295,7.699999809265137,1.0499999523162842,1.2699999809265137
30,1,3,1,0,2,2,6,5,6,6,15,10,1.2899999618530273,5.349999904632568,10.5,1.0393824577331543,3.544163942337036,1.1003999710083008,8.956744194030762,1.399999976158142,2.9100000858306885,1.899999976158142,1.899999976158142,2.549999952316284,1.5,3.4000000953674316,1.3300000429153442,5.099999904632568,1.1299999952316284,1.5
31,5,1,0,0,5,0,4,9,3,6,11,3,7.800000190734863,4.599999904632568,1.409999966621399,2.8935484886169434,1.079201340675354,6.4012770652771,1.157153844833374,1.3799999952316284,3,1.7999999523162842,2,2.4200000762939453,1.5499999523162842,3.200000047683716,1.3600000143051147,4.739999771118164,1.149999976158142,1.5499999523162842
32,10,8,1,1,3,1,2,5,4,3,14,15,3.619999885559082,3.319999933242798,2.130000114440918,1.7317578792572021,1.2975412607192993,2.6455397605895996,1.5566298961639404,1.649999976158142,2.2100000381469727,2.200000047683716,1.659999966621399,3.4600000381469727,1.2999999523162842,4.329999923706055,1.2200000286102295,7.199999809265137,1.059999942779541,1.2999999523162842
33,9,11,1,3,0,1,4,7,2,9,7,9,1.9800000190734863,3.240000009536743,4.300000190734863,1.2289655208587646,1.847745418548584,1.43125581741333,3.1082828044891357,1.809999942779541,1.9800000190734863,2.5,1.5299999713897705,4.099999904632568,1.2300000190734863,4.5,1.2000000476837158,8.5,1.0399999618530273,1.2300000190734863
34,7,12,2,0,1,3,4,2,8,2,16,15,1.909999966621399,3.5399999618530273,4.139999866485596,1.2406238317489624,1.9082812070846558,1.4321255683898926,3.1041884422302246,1.5399999618530273,2.450000047683716,2,1.7999999523162842,3,1.3799999952316284,3.75,1.2799999713897705,6.199999809265137,1.090000033378601,1.3799999952316284
35,3,4,0,1,4,4,1,3,2,2,18,22,2.299999952316284,3.0999999046325684,3.4600000381469727,1.3203703165054321,1.6350609064102173,1.631445050239563,2.45426082611084,1.940000057220459,1.840000033378601,2.619999885559082,1.5,4.539999961853027,1.190000057220459,5,1.159999966621399,9.300000190734863,1.0299999713897705,1.190000057220459
36,6,2,1,3,1,1,6,2,6,5,13,10,4.980000019073486,3.9800000190734863,1.6699999570846558,2.2120981216430664,1.1763893365859985,3.902395248413086,1.3086345195770264,1.399999976158142,2.9100000858306885,1.7999999523162842,2,2.549999952316284,1.5,3.200000047683716,1.3600000143051147,5.150000095367432,1.1299999952316284,1.5
37,8,2,0,3,2,0,2,1,1,4,11,9,5.900000095367432,4.099999904632568,1.5800000429153442,2.4189999103546143,1.1404929161071777,4.639493465423584,1.2424407005310059,1.3700000047683716,3.0799999237060547,1.7999999523162842,2,2.4200000762939453,1.5499999523162842,3.200000047683716,1.3600000143051147,4.739999771118164,1.149999976158142,1.5499999523162842
38,1,9,0,0,0,4,8,4,11,1,6,12,1.1699999570846558,7.099999904632568,16,1.0044739246368408,4.917748928070068,1.0516624450683594,14.381710052490234,1.2899999618530273,3.5399999618530273,1.659999966621399,2.200000047683716,2.0999999046325684,1.7200000286102295,2.75,1.440000057220459,3.9200000762939453,1.2100000381469727,1.7200000286102295
39,12,4,0,2,2,1,4,8,1,7,16,6,6.300000190734863,4.099999904632568,1.5399999618530273,2.4836537837982178,1.1195034980773926,4.989090919494629,1.2195554971694946,1.5199999809265137,2.5,2.049999952316284,1.75,3,1.3799999952316284,3.75,1.2799999713897705,6.150000095367432,1.090000033378601,1.3799999952316284
