game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,2,7,2,0,0,2,7,3,4,5,10,5,1.5499999523162842,3.9200000762939453,7.730000019073486,1.1107860803604126,2.6009957790374756,1.1765071153640747,5.867354869842529,1.409999966621399,3,1.7999999523162842,2,2.4600000381469727,1.5800000429153442,3,1.3600000143051147,5.5,1.159999966621399,1.5800000429153442
2,8,9,1,1,1,3,7,1,4,1,13,15,1.9600000381469727,3.200000047683716,4.809999942779541,1.2155039310455322,1.921597957611084,1.3793346881866455,3.384999990463257,1.590000033378601,2.430000066757202,2.049999952316284,1.75,2.950000047683716,1.4299999475479126,3.75,1.25,6.75,1.1200000047683716,1.4299999475479126
3,3,6,2,1,2,3,2,2,7,1,16,13,1.840000033378601,3.8299999237060547,4.429999828338623,1.2428923845291138,2.0541040897369385,1.3870428800582886,3.339456558227539,1.590000033378601,2.430000066757202,2.049999952316284,1.75,3.009999990463257,1.409999966621399,3.5,1.2799999713897705,6.75,1.1200000047683716,1.409999966621399
4,4,12,1,0,0,3,7,1,10,1,16,15,2.009999990463257,3.799999952316284,3.690000057220459,1.3146299123764038,1.8720961809158325,1.5138211250305176,2.779104471206665,1.8200000524520874,2.0999999046325684,2.3499999046325684,1.5700000524520874,3.880000114440918,1.2799999713897705,4,1.2200000286102295,9,1.0800000429153442,1.2799999713897705
5,1,11,5,0,2,1,1,3,10,7,14,12,1.8600000143051147,3.7200000286102295,4.46999979019165,1.2400000095367432,2.030329704284668,1.3877851963043213,3.3351612091064453,1.5,2.680000066757202,1.9500000476837158,1.850000023841858,2.75,1.4800000190734863,3.25,1.3300000429153442,6.599999904632568,1.1299999952316284,1.4800000190734863
6,10,5,0,0,0,0,3,3,5,6,11,15,3.2300000190734863,3.119999885559082,2.5,1.5870236158370972,1.3879003524780273,2.2461600303649902,1.7385139465332031,2.0799999237060547,1.7300000190734863,2.700000047683716,1.440000057220459,4.199999809265137,1.2300000190734863,5.5,1.1399999856948853,11,1.0499999523162842,1.2300000190734863
7,5,2,1,1,1,3,3,8,4,3,9,17,3.4100000858306885,3.359999895095825,2.2699999809265137,1.6924077272415161,1.354742407798767,2.4521586894989014,1.6323753595352173,1.559999942779541,2.5,2,1.7999999523162842,2.940000057220459,1.4299999475479126,3.5,1.2799999713897705,6.599999904632568,1.1299999952316284,1.4299999475479126
8,6,8,2,1,3,1,3,7,6,7,24,14,3.319999933242798,3.2200000286102295,2.390000104904175,1.6346176862716675,1.3718003034591675,2.341338872909546,1.6854819059371948,1.9500000476837158,1.850000023841858,2.5999999046325684,1.4700000286102295,4.079999923706055,1.2599999904632568,5,1.159999966621399,10,1.059999942779541,1.2599999904632568
9,12,1,0,1,1,1,5,9,5,6,11,17,5.460000038146973,3.950000047683716,1.6799999475479126,2.2919235229492188,1.1786856651306152,4.164999961853027,1.281538486480713,1.5199999809265137,2.5999999046325684,2,1.7999999523162842,2.8399999141693115,1.4500000476837158,3.4000000953674316,1.2999999523162842,7.099999904632568,1.1100000143051147,1.4500000476837158
10,11,3,1,3,1,2,2,3,2,7,11,15,3.2899999618530273,3.5,2.259999990463257,1.6958762407302856,1.3732638359069824,2.406637191772461,1.6531914472579956,1.3700000047683716,3.2300000190734863,1.7999999523162842,2,2.299999952316284,1.649999976158142,3,1.3600000143051147,4.380000114440918,1.2100000381469727,1.649999976158142
11,4,10,1,0,0,4,2,3,6,3,9,15,1.9700000286102295,3.3499999046325684,4.460000038146973,1.2405074834823608,1.913060188293457,1.412869930267334,3.1986801624298096,2.0199999809265137,1.7699999809265137,2.869999885559082,1.399999976158142,4.739999771118164,1.190000057220459,5.5,1.1399999856948853,10.5,1.0199999809265137,1.190000057220459
12,7,9,3,0,1,2,4,4,8,10,17,13,2,3.490000009536743,4.099999904632568,1.2714025974273682,1.8852437734603882,1.4580488204956055,2.989000082015991,1.409999966621399,3,1.7999999523162842,2,2.4600000381469727,1.5800000429153442,3.25,1.3300000429153442,5.099999904632568,1.1699999570846558,1.5800000429153442
13,1,6,3,1,0,2,8,3,9,9,16,10,1.4600000381469727,4.650000095367432,7.510000228881836,1.1111292839050293,2.8718338012695312,1.1705193519592285,6.02095890045166,1.4900000095367432,2.7200000286102295,2,1.7999999523162842,2.609999895095825,1.5199999809265137,3.4000000953674316,1.2999999523162842,6.349999904632568,1.1299999952316284,1.5199999809265137
14,2,11,2,1,3,2,9,5,4,6,14,10,1.5700000524520874,4.119999885559082,6.650000095367432,1.1368013620376587,2.5439183712005615,1.211368441581726,5.130955219268799,1.3700000047683716,3.2300000190734863,1.7999999523162842,2,2,1.7999999523162842,3,1.3600000143051147,4.960000038146973,1.190000057220459,1.7999999523162842
15,5,3,1,0,3,1,0,4,5,2,14,9,2.950000047683716,3.559999942779541,2.180000066757202,1.6132104396820068,1.3520557880401611,2.3061468601226807,1.7042033672332764,1.340000033378601,3.200000047683716,1.7200000286102295,2.069999933242798,2.2200000286102295,1.659999966621399,2.75,1.399999976158142,4.320000171661377,1.1799999475479126,1.659999966621399
16,9,1,0,3,3,0,5,2,5,9,8,12,3.390000104904175,3.490000009536743,2.2200000286102295,1.7196366786956787,1.3568826913833618,2.4764864444732666,1.621769905090332,,,,,,,,,,,
17,7,8,1,1,1,1,8,2,4,3,10,14,2.640000104904175,3.1500000953674316,2.7699999809265137,1.4362694025039673,1.4739019870758057,1.9140071868896484,2.0082576274871826,,,,,,,,,,,
