game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,15,2,2,0,1,1,4,3,3,5,10,16,2.1600000858306885,3.009999990463257,3.809999942779541,1.2575628757476807,1.681539535522461,1.5355905294418335,2.708611011505127,,,,,,,,,,,
2,12,7,0,0,2,2,1,6,0,2,11,16,2.2899999618530273,3.0799999237060547,3.380000114440918,1.3134450912475586,1.611517071723938,1.6439645290374756,2.4264628887176514,,,,,,,,,,,
3,16,20,1,0,2,2,4,1,4,3,11,17,3.2200000286102295,3.069999933242798,2.369999885559082,1.5716056823730469,1.3374816179275513,2.311476707458496,1.701304316520691,,,,,,,,,,,
4,13,21,2,0,3,2,4,1,3,2,18,14,1.7999999523162842,3.200000047683716,5.25,1.1519999504089355,1.9881657361984253,1.315999984741211,3.8383333683013916,,,,,,,,,,,
5,5,22,1,0,2,2,3,7,2,3,13,12,2.4700000286102295,2.9200000762939453,3.2200000286102295,1.3381075859069824,1.531335473060608,1.7317391633987427,2.257570743560791,,,,,,,,,,,
6,9,19,1,0,1,1,0,5,2,4,9,8,2.0299999713897705,3.069999933242798,4.159999847412109,1.221980333328247,1.7664177417755127,1.458221197128296,2.9882757663726807,,,,,,,,,,,
7,10,17,2,2,4,3,2,1,6,6,13,14,1.9299999475479126,3.0299999713897705,4.789999961853027,1.1790120601654053,1.8559718132019043,1.3748643398284912,3.4122278690338135,,,,,,,,,,,
8,4,6,1,1,2,4,2,3,3,4,22,18,3.0199999809265137,3.119999885559082,2.4600000381469727,1.534592866897583,1.3754838705062866,2.1830894947052,1.778278112411499,,,,,,,,,,,
9,18,3,1,2,1,2,5,4,4,7,9,18,2.4100000858306885,3.009999990463257,3.2100000381469727,1.3383948802947998,1.5533922910690308,1.7157632112503052,2.285311222076416,,,,,,,,,,,
10,11,14,0,0,1,2,7,8,5,2,13,10,2.130000114440918,2.9200000762939453,4.059999942779541,1.231603980064392,1.6984527111053467,1.4941378831863403,2.8479812145233154,,,,,,,,,,,
11,8,1,1,3,2,2,6,3,4,9,17,16,2.9100000858306885,3.009999990463257,2.609999895095825,1.479577660560608,1.3978825807571411,2.072643756866455,1.8589690923690796,,,,,,,,,,,
