game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
3,2,9,4,1,1,0,9,3,8,5,2,6,1.2599999904632568,6.449999809265137,10.5,1.054085612297058,3.995575189590454,1.097599983215332,9.146666526794434,1.059999942779541,6.949999809265137,1.2000000476837158,4.329999923706055,1.309999942779541,3.380000114440918,1.5299999713897705,2.369999885559082,1.8799999952316284,1.899999976158142,3.380000114440918
4,3,10,3,3,2,3,8,2,7,5,11,15,1.2699999809265137,5.599999904632568,10.5,1.0352256298065186,3.6521737575531006,1.098533272743225,9.082362174987793,1.2200000286102295,3.819999933242798,1.5299999713897705,2.4000000953674316,1.8300000429153442,1.9500000476837158,2.25,1.5700000524520874,3.240000009536743,1.3300000429153442,1.9500000476837158
5,8,4,0,1,3,2,3,6,3,4,12,15,2.700000047683716,4,2.3499999046325684,1.6119402647018433,1.4803149700164795,2.105957508087158,1.8329628705978394,1.1100000143051147,5.5,1.2999999523162842,3.5,1.4600000381469727,2.680000066757202,1.7999999523162842,1.899999976158142,2.2300000190734863,1.6399999856948853,2.680000066757202
6,1,5,4,0,2,3,4,7,9,0,14,10,1.5199999809265137,5,4.980000019073486,1.1656441688537598,2.4949898719787598,1.2791165113449097,4.190789699554443,1.0800000429153442,6.5,1.25,4,1.350000023841858,3.140000104904175,1.6100000143051147,2.200000047683716,1.9700000286102295,1.8200000524520874,3.140000104904175
7,7,6,1,1,3,1,4,5,4,3,10,11,2.490000009536743,3.9800000190734863,2.5199999809265137,1.5317156314849854,1.5430153608322144,1.9483333826065063,1.9718072414398193,1.1399999856948853,4.940000057220459,1.3600000143051147,3.0999999046325684,1.559999942779541,2.4000000953674316,1.8300000429153442,1.8300000429153442,2.5,1.5199999809265137,2.4000000953674316
8,10,8,0,3,1,3,5,3,4,5,9,10,4.639999866485596,4.300000190734863,1.6699999570846558,2.231767416000366,1.2028475999832153,3.702874183654785,1.3327155113220215,1.2300000190734863,3.7200000286102295,1.5,2.5,1.840000033378601,1.940000057220459,2.200000047683716,1.6100000143051147,3.259999990463257,1.3300000429153442,1.940000057220459
9,5,7,3,0,3,4,9,4,6,3,10,10,1.9600000381469727,3.9000000953674316,3.440000057220459,1.3044369220733643,1.827793002128601,1.5383720397949219,2.700000047683716,1.2200000286102295,3.819999933242798,1.5,2.5,1.8300000429153442,1.9500000476837158,2.0999999046325684,1.659999966621399,3.200000047683716,1.340000033378601,1.9500000476837158
10,6,1,4,1,1,5,5,4,11,4,7,19,3.819999933242798,4.21999979019165,1.7400000095367432,2.0050249099731445,1.232013463973999,3.1314942836761475,1.4263874292373657,1.1399999856948853,4.800000190734863,1.399999976158142,2.869999885559082,1.5800000429153442,2.3499999046325684,1.899999976158142,1.7999999523162842,2.5799999237060547,1.4900000095367432,2.3499999046325684
11,4,2,1,2,0,4,12,4,7,3,19,12,2.7799999713897705,3.759999990463257,2.309999942779541,1.5982874631881714,1.430906057357788,2.1593940258026123,1.7943165302276611,1.2000000476837158,3.819999933242798,1.4700000286102295,2.5999999046325684,1.8300000429153442,1.9500000476837158,2.200000047683716,1.6100000143051147,3.200000047683716,1.340000033378601,1.9500000476837158
12,9,3,1,1,2,1,4,3,5,4,12,5,2.5899999141693115,3.5999999046325684,2.5799999237060547,1.506300449371338,1.5029125213623047,1.9637984037399292,1.9562162160873413,1.350000023841858,3.140000104904175,1.7200000286102295,2.069999933242798,2.190000057220459,1.659999966621399,2.619999885559082,1.440000057220459,3.799999952316284,1.2200000286102295,1.659999966621399
13,3,6,1,0,5,4,5,5,5,3,14,18,1.9500000476837158,3.759999990463257,3.619999885559082,1.2840631008148193,1.8443360328674316,1.507900595664978,2.7992818355560303,1.340000033378601,3.200000047683716,1.7000000476837158,2.0999999046325684,2.1600000858306885,1.6799999475479126,2.75,1.399999976158142,3.9200000762939453,1.2100000381469727,1.6799999475479126
14,1,10,6,1,0,1,6,8,9,6,6,8,1.1799999475479126,7.800000190734863,12.5,1.0249443054199219,4.802955627441406,1.0725120306015015,11.361356735229492,1.0800000429153442,6.400000095367432,1.25,4,1.3600000143051147,3.0999999046325684,1.659999966621399,2.0999999046325684,1.9800000190734863,1.809999942779541,3.0999999046325684
15,2,5,3,2,2,3,4,6,8,5,10,12,1.9199999570846558,3.880000114440918,3.5199999809265137,1.2844138145446777,1.8456215858459473,1.5145454406738281,2.7766666412353516,1.2300000190734863,3.7200000286102295,1.5299999713897705,2.4000000953674316,1.8700000047683716,1.909999966621399,2.25,1.5700000524520874,3.319999933242798,1.3200000524520874,1.909999966621399
16,8,9,1,0,1,1,6,8,1,4,12,11,2.25,3.5799999237060547,3.0899999141693115,1.3816466331481934,1.6585006713867188,1.6935923099517822,2.32586669921875,1.2699999809265137,3.680000066757202,1.600000023841858,2.299999952316284,1.909999966621399,1.8700000047683716,2.369999885559082,1.5299999713897705,3.299999952316284,1.2899999618530273,1.8700000047683716
17,7,4,3,0,2,2,4,2,9,3,17,12,1.9600000381469727,3.880000114440918,3.559999942779541,1.3021918535232544,1.856559157371521,1.5195505619049072,2.759999990463257,1.2400000095367432,3.640000104904175,1.5700000524520874,2.3499999046325684,1.8799999952316284,1.899999976158142,2.369999885559082,1.5299999713897705,3.319999933242798,1.3200000524520874,1.899999976158142
18,5,10,4,0,2,2,5,3,9,1,6,9,1.5,4.699999809265137,6,1.1370967626571655,2.6355140209198,1.225000023841858,4.900000095367432,1.2300000190734863,3.7200000286102295,1.5299999713897705,2.4000000953674316,1.840000033378601,1.940000057220459,2.25,1.5700000524520874,3.259999990463257,1.3300000429153442,1.940000057220459
19,6,8,2,1,2,3,4,5,5,2,10,15,2.1600000858306885,3.819999933242798,3.0999999046325684,1.3797993659973145,1.7112716436386108,1.6628388166427612,2.386481285095215,1.2599999904632568,3.7799999713897705,1.5299999713897705,2.4000000953674316,1.899999976158142,1.8799999952316284,2.25,1.5700000524520874,3.299999952316284,1.2899999618530273,1.8799999952316284
20,1,2,3,1,3,3,9,2,11,1,15,12,2.109999895095825,3.700000047683716,3.299999952316284,1.3437176942825317,1.7442857027053833,1.6066060066223145,2.5127015113830566,1.1699999570846558,4.440000057220459,1.399999976158142,2.869999885559082,1.649999976158142,2.2100000381469727,2.0999999046325684,1.659999966621399,2.7100000381469727,1.4500000476837158,2.2100000381469727
21,4,3,1,0,4,3,4,9,4,8,13,17,3.130000114440918,3.4200000762939453,2.299999952316284,1.634290099143982,1.375174880027771,2.313652276992798,1.7001277208328247,1.3700000047683716,3.0399999618530273,1.75,2.049999952316284,2.25,1.6299999952316284,2.75,1.399999976158142,4.099999904632568,1.190000057220459,1.6299999952316284
22,9,7,1,2,3,4,7,6,5,2,14,17,2.2100000381469727,3.700000047683716,3.049999952316284,1.383587121963501,1.6718518733978271,1.6900984048843384,2.332488536834717,1.2799999713897705,3.5999999046325684,1.5700000524520874,2.3499999046325684,1.9500000476837158,1.8300000429153442,2.5,1.5,3.4000000953674316,1.2699999809265137,1.8300000429153442
23,3,5,1,0,2,2,6,6,3,3,9,15,2.4100000858306885,3.440000057220459,2.9200000762939453,1.4171624183654785,1.5793710947036743,1.7888356447219849,2.1673858165740967,1.3899999856948853,2.950000047683716,1.7999999523162842,2,2.309999942779541,1.600000023841858,2.619999885559082,1.440000057220459,4.239999771118164,1.1799999475479126,1.600000023841858
24,8,1,0,4,2,3,8,5,3,11,11,15,4.099999904632568,4.139999866485596,1.7599999904632568,2.0599513053894043,1.2349830865859985,3.2629544734954834,1.4006829261779785,1.2100000381469727,3.9200000762939453,1.4700000286102295,2.5999999046325684,1.7899999618530273,2,2.200000047683716,1.6100000143051147,3.0999999046325684,1.3600000143051147,2
25,4,9,0,2,3,4,5,6,4,5,10,11,2.309999942779541,3.619999885559082,2.9600000381469727,1.410151720046997,1.62844979763031,1.7447972297668457,2.23575758934021,1.2400000095367432,3.640000104904175,1.5700000524520874,2.3499999046325684,1.8799999952316284,1.899999976158142,2.25,1.5700000524520874,3.319999933242798,1.3200000524520874,1.899999976158142
26,2,7,3,0,1,1,4,4,10,1,10,13,1.440000057220459,5.050000190734863,5.949999809265137,1.1204930543899536,2.731590986251831,1.2171764373779297,5.029305458068848,1.1799999475479126,4.300000190734863,1.399999976158142,2.869999885559082,1.690000057220459,2.140000104904175,2,1.7200000286102295,2.819999933242798,1.4199999570846558,2.140000104904175
27,10,6,0,1,2,0,2,4,3,6,15,7,3.0799999237060547,3.380000114440918,2.3399999141693115,1.611517071723938,1.3827272653579712,2.2699146270751953,1.7245454788208008,1.3300000429153442,3.240000009536743,1.7200000286102295,2.069999933242798,2.0999999046325684,1.7200000286102295,2.75,1.399999976158142,3.640000104904175,1.2400000095367432,1.7200000286102295
28,6,2,0,3,1,0,7,5,3,5,8,6,4.340000152587891,4.039999961853027,1.7599999904632568,2.0923149585723877,1.2259310483932495,3.3965909481048584,1.377419352531433,1.2000000476837158,4.5,1.5299999713897705,2.4000000953674316,1.7999999523162842,1.9900000095367432,2.25,1.5700000524520874,3.1500000953674316,1.309999942779541,1.9900000095367432
29,1,3,2,2,0,1,9,1,5,3,18,17,1.4500000476837158,4.400000095367432,6.699999809265137,1.0905983448028564,2.655855894088745,1.192089557647705,5.508275508880615,1.1699999570846558,4.400000095367432,1.5,2.5,1.7699999809265137,2.0299999713897705,2.200000047683716,1.6100000143051147,3.319999933242798,1.3200000524520874,2.0299999713897705
30,7,8,1,0,2,4,7,7,3,2,20,9,2.380000114440918,3.4000000953674316,3.009999990463257,1.4000000953674316,1.5965678691864014,1.7548837661743164,2.219411611557007,1.2999999523162842,3.4600000381469727,1.7000000476837158,2.0999999046325684,2.190000057220459,1.659999966621399,2.619999885559082,1.440000057220459,4.139999866485596,1.190000057220459,1.659999966621399
31,5,4,3,1,2,2,8,5,13,4,19,10,1.7200000286102295,4.039999961853027,4.579999923706055,1.2063889503479004,2.14654278755188,1.3480349779129028,3.5895347595214844,1.2599999904632568,3.7799999713897705,1.649999976158142,2.200000047683716,2.049999952316284,1.75,2.619999885559082,1.440000057220459,3.799999952316284,1.2200000286102295,1.75
32,9,10,1,1,1,3,7,1,6,6,9,15,1.9199999570846558,3.619999885559082,4,1.254584789276123,1.900262475013733,1.4503999948501587,3.0216667652130127,1.2699999809265137,3.700000047683716,1.649999976158142,2.200000047683716,2.069999933242798,1.7400000095367432,2.619999885559082,1.440000057220459,3.819999933242798,1.2200000286102295,1.7400000095367432
33,9,1,1,0,2,1,4,16,3,4,7,16,5.300000190734863,4.420000076293945,1.5199999809265137,2.4100823402404785,1.131043791770935,4.3971052169799805,1.2610565423965454,1.149999976158142,4.639999866485596,1.399999976158142,2.869999885559082,1.659999966621399,2.190000057220459,2,1.7200000286102295,2.950000047683716,1.3899999856948853,2.190000057220459
34,10,4,1,1,1,1,7,5,7,3,11,10,2.6700000762939453,3.5199999809265137,2.5799999237060547,1.518319845199585,1.4887868165969849,1.9941861629486084,1.9269661903381348,1.350000023841858,3.1500000953674316,1.75,2.049999952316284,2.3299999237060547,1.590000033378601,2.75,1.399999976158142,4.5,1.1699999570846558,1.590000033378601
35,6,5,1,2,2,2,8,1,3,3,9,19,2.740000009536743,3.5399999618530273,2.5,1.5445222854614258,1.4652317762374878,2.054080009460449,1.8741605281829834,1.2899999618530273,3.5799999237060547,1.659999966621399,2.1500000953674316,2.0799999237060547,1.7300000190734863,2.619999885559082,1.440000057220459,3.9200000762939453,1.2100000381469727,1.7300000190734863
36,3,7,3,0,2,1,6,6,8,2,10,11,2.140000104904175,3.440000057220459,3.4800000190734863,1.3192832469940186,1.7299422025680542,1.582643747329712,2.5736448764801025,1.4500000476837158,2.7300000190734863,1.9500000476837158,1.850000023841858,2.680000066757202,1.4600000381469727,3.25,1.3300000429153442,5.449999809265137,1.1200000047683716,1.4600000381469727
37,8,2,0,3,5,1,7,8,3,6,21,5,3.940000057220459,3.5799999237060547,1.940000057220459,1.875691533088684,1.2581883668899536,2.970309257507324,1.4625381231307983,1.2699999809265137,3.619999885559082,1.649999976158142,2.200000047683716,2.0799999237060547,1.7300000190734863,2.619999885559082,1.440000057220459,3.9200000762939453,1.2100000381469727,1.7300000190734863
38,3,8,1,1,3,2,4,5,3,5,13,12,2.180000066757202,3.4800000190734863,3.319999933242798,1.3403533697128296,1.6990587711334229,1.623494029045105,2.4724769592285156,1.350000023841858,3.1500000953674316,1.7999999523162842,2,2.380000114440918,1.5700000524520874,3,1.3600000143051147,4.599999904632568,1.159999966621399,1.5700000524520874
39,4,6,0,0,4,1,3,6,4,5,20,9,2.0799999237060547,3.640000104904175,3.440000057220459,1.3236362934112549,1.768587589263916,1.5725581645965576,2.600769281387329,1.1799999475479126,4.340000152587891,1.5,2.5,1.7699999809265137,2.0299999713897705,2.200000047683716,1.6100000143051147,3.319999933242798,1.3200000524520874,2.0299999713897705
40,7,1,0,1,3,2,1,7,2,4,11,8,4.480000019073486,4,1.7400000095367432,2.1132075786590576,1.2125436067581177,3.503218412399292,1.3606250286102295,1.190000057220459,4.199999809265137,1.4700000286102295,2.5999999046325684,1.7699999809265137,2.0299999713897705,2.200000047683716,1.6100000143051147,3.259999990463257,1.3300000429153442,2.0299999713897705
41,2,10,0,0,1,1,18,3,8,1,4,9,1.2999999523162842,5.400000095367432,9.100000381469727,1.0477612018585205,3.388965606689453,1.1200000047683716,7.840000629425049,1.149999976158142,4.739999771118164,1.4700000286102295,2.5999999046325684,1.6699999570846558,2.180000066757202,2.0999999046325684,1.659999966621399,3.049999952316284,1.3700000047683716,2.180000066757202
42,5,9,0,1,1,2,9,2,1,7,14,7,1.7599999904632568,3.819999933242798,4.619999885559082,1.2048745155334473,2.0910425186157227,1.3533333539962769,3.552500009536743,1.2300000190734863,4.099999904632568,1.6100000143051147,2.25,1.9299999475479126,1.850000023841858,2.5,1.5,3.4800000190734863,1.2599999904632568,1.850000023841858
43,5,1,1,3,2,4,3,8,6,4,7,18,3.640000104904175,3.7200000286102295,1.8799999952316284,1.8397825956344604,1.2488571405410767,2.8774468898773193,1.4861538410186768,1.159999966621399,4.539999961853027,1.4700000286102295,2.5999999046325684,1.649999976158142,2.109999895095825,2.200000047683716,1.6100000143051147,3.1500000953674316,1.350000023841858,2.109999895095825
44,2,3,1,1,3,2,8,1,3,2,14,14,1.559999942779541,4.039999961853027,6.199999809265137,1.125428557395935,2.446093797683716,1.2265806198120117,4.874871730804443,1.3200000524520874,3.319999933242798,1.7200000286102295,2.069999933242798,2.25,1.6299999952316284,2.75,1.399999976158142,4.239999771118164,1.1799999475479126,1.6299999952316284
45,8,5,2,2,3,2,10,5,4,6,16,10,2.7799999713897705,3.440000057220459,2.5199999809265137,1.5374919176101685,1.4544966220855713,2.0611112117767334,1.8683453798294067,1.2799999713897705,3.619999885559082,1.659999966621399,2.1500000953674316,2.0899999141693115,1.7300000190734863,2.619999885559082,1.440000057220459,3.819999933242798,1.2200000286102295,1.7300000190734863
46,1,4,5,1,1,1,5,3,10,2,9,12,1.309999942779541,5.449999809265137,8.399999618530273,1.0561389923095703,3.305414915084839,1.1328333616256714,7.263969421386719,1.1100000143051147,5.449999809265137,1.399999976158142,2.869999885559082,1.5099999904632568,2.4600000381469727,2,1.7200000286102295,2.680000066757202,1.4600000381469727,2.4600000381469727
47,10,7,1,1,,,,,,,,,3.8399999141693115,3.4800000190734863,1.9900000095367432,1.8255738019943237,1.2660329341888428,2.8710551261901855,1.48786461353302,1.3899999856948853,2.950000047683716,1.9500000476837158,1.850000023841858,2.5299999713897705,1.5099999904632568,3.25,1.3300000429153442,5.050000190734863,1.1399999856948853,1.5099999904632568
48,9,6,0,1,4,2,6,7,6,6,15,15,2.109999895095825,3.619999885559082,3.259999990463257,1.3330191373825073,1.7152906656265259,1.614294409751892,2.4941232204437256,1.2200000286102295,4.199999809265137,1.600000023841858,2.299999952316284,1.8899999856948853,1.8899999856948853,2.5,1.5,3.4000000953674316,1.2699999809265137,1.8899999856948853
49,4,8,1,2,1,5,7,6,3,5,12,16,2.25,3.4200000762939453,3.009999990463257,1.3571429252624512,1.6009641885757446,1.7125581502914429,2.291022300720215,1.2200000286102295,4.199999809265137,1.5700000524520874,2.3499999046325684,1.899999976158142,1.8799999952316284,2.369999885559082,1.5299999713897705,3.4000000953674316,1.2699999809265137,1.8799999952316284
50,3,9,0,0,0,2,7,3,1,3,13,14,1.9199999570846558,3.619999885559082,4,1.254584789276123,1.900262475013733,1.4503999948501587,3.0216667652130127,1.2899999618530273,3.5399999618530273,1.7000000476837158,2.0999999046325684,2.130000114440918,1.7000000476837158,2.619999885559082,1.440000057220459,4.039999961853027,1.2000000476837158,1.7000000476837158
51,6,10,0,0,1,4,9,1,5,3,7,15,1.7899999618530273,3.880000114440918,4.320000171661377,1.2249029874801636,2.044097661972046,1.3860647678375244,3.345139741897583,1.2899999618530273,3.5799999237060547,1.649999976158142,2.200000047683716,2.0899999141693115,1.7300000190734863,2.619999885559082,1.440000057220459,3.9200000762939453,1.2100000381469727,1.7300000190734863
52,7,2,0,2,3,1,6,13,3,12,15,9,3.5999999046325684,3.559999942779541,2.049999952316284,1.789944052696228,1.3008912801742554,2.7009756565093994,1.5380555391311646,1.2999999523162842,3.4600000381469727,1.659999966621399,2.1500000953674316,2.180000066757202,1.659999966621399,2.619999885559082,1.440000057220459,4.199999809265137,1.1799999475479126,1.659999966621399
53,10,3,1,1,4,2,3,5,2,6,16,9,3.259999990463257,3.3399999141693115,2.2699999809265137,1.6497575044631958,1.3514795303344727,2.3874008655548096,1.6623926162719727,1.4700000286102295,2.6500000953674316,2,1.7999999523162842,2.7899999618530273,1.4299999475479126,3.4000000953674316,1.2999999523162842,5.650000095367432,1.100000023841858,1.4299999475479126
54,9,4,3,2,2,1,10,3,6,5,15,13,2.680000066757202,3.740000009536743,2.4700000286102295,1.5612461566925049,1.4875684976577759,2.0433199405670166,1.883208990097046,1.2000000476837158,4.440000057220459,1.5299999713897705,2.4000000953674316,1.7999999523162842,1.9900000095367432,2.25,1.5700000524520874,3.200000047683716,1.2999999523162842,1.9900000095367432
55,1,6,3,2,4,1,1,2,6,4,14,15,1.2699999809265137,6.099999904632568,9.300000190734863,1.051153302192688,3.6837661266326904,1.1138279438018799,8.156377792358398,1.090000033378601,6.099999904632568,1.2999999523162842,3.5,1.4199999570846558,2.8299999237060547,1.8300000429153442,1.8300000429153442,2.2699999809265137,1.6200000047683716,2.8299999237060547
56,5,2,0,1,1,2,0,10,1,5,14,8,3.059999942779541,3.5199999809265137,2.2899999618530273,1.636960506439209,1.3874009847640991,2.2895195484161377,1.7133986949920654,1.3200000524520874,3.319999933242798,1.7200000286102295,2.069999933242798,2.2100000381469727,1.649999976158142,2.619999885559082,1.440000057220459,4.239999771118164,1.1799999475479126,1.649999976158142
57,8,7,1,0,0,1,7,8,3,1,9,10,2.369999885559082,3.5199999809265137,2.930000066757202,1.416366696357727,1.5990077257156372,1.7726961374282837,2.191561222076416,1.3300000429153442,3.240000009536743,1.7200000286102295,2.069999933242798,2.25,1.6299999952316284,2.619999885559082,1.440000057220459,4.320000171661377,1.1799999475479126,1.6299999952316284
58,2,1,2,2,3,3,9,5,6,4,11,12,2.450000047683716,3.619999885559082,2.7699999809265137,1.4611202478408813,1.5692331790924072,1.8467869758605957,2.0880000591278076,1.2799999713897705,3.3399999141693115,1.7000000476837158,2.0999999046325684,2.109999895095825,1.7100000381469727,2.5,1.5,4.199999809265137,1.2200000286102295,1.7100000381469727
59,4,5,1,1,2,2,4,3,2,1,7,15,2.509999990463257,3.680000066757202,2.6600000858306885,1.492213249206543,1.543974757194519,1.9047367572784424,2.0185658931732178,1.2200000286102295,4.139999866485596,1.5700000524520874,2.3499999046325684,1.8700000047683716,1.909999966621399,2.369999885559082,1.5299999713897705,3.4000000953674316,1.2699999809265137,1.909999966621399
60,7,9,2,1,4,0,12,2,7,4,16,10,1.7599999904632568,3.880000114440918,4.460000038146973,1.210780143737793,2.074916124343872,1.3667263984680176,3.463409185409546,1.2400000095367432,3.9800000190734863,1.5700000524520874,2.3499999046325684,1.9199999570846558,1.8600000143051147,2.369999885559082,1.5299999713897705,3.4800000190734863,1.2599999904632568,1.8600000143051147
61,8,10,3,0,0,2,3,1,5,2,3,3,2.009999990463257,3.4200000762939453,3.880000114440918,1.2659668922424316,1.8177534341812134,1.487680435180664,2.87174129486084,1.4299999475479126,2.7899999618530273,1.9500000476837158,1.850000023841858,2.609999895095825,1.4800000190734863,3.25,1.3300000429153442,5.300000190734863,1.1200000047683716,1.4800000190734863
62,6,3,0,2,4,5,5,0,6,5,13,17,2.359999895095825,3.440000057220459,3.009999990463257,1.3997241258621216,1.6053333282470703,1.7483720779418945,2.2299153804779053,1.2999999523162842,3.4600000381469727,1.7000000476837158,2.0999999046325684,2.140000104904175,1.690000057220459,2.619999885559082,1.440000057220459,4.099999904632568,1.2000000476837158,1.690000057220459
63,3,2,1,1,1,2,4,3,3,3,14,19,4.179999828338623,3.7799999713897705,1.8300000429153442,1.9849748611450195,1.2330482006072998,3.2184698581695557,1.4090430736541748,1.3700000047683716,3.0799999237060547,1.7999999523162842,2,2.4000000953674316,1.559999942779541,2.75,1.399999976158142,4.739999771118164,1.149999976158142,1.559999942779541
64,5,6,3,0,3,1,8,4,7,2,17,11,1.940000057220459,3.819999933242798,3.680000066757202,1.2865972518920898,1.8743466138839722,1.4966304302215576,2.8389689922332764,1.2100000381469727,3.9200000762939453,1.5299999713897705,2.4000000953674316,1.8600000143051147,1.9199999570846558,2.25,1.5700000524520874,3.4600000381469727,1.2999999523162842,1.9199999570846558
