game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,7,2,1,2,1,2,3,11,3,8,11,12,4.130000114440918,3.9200000762939453,1.8600000143051147,2.0111305713653564,1.2614532709121704,3.1560215950012207,1.421355962753296,1.3700000047683716,3.140000104904175,1.7000000476837158,2.0999999046325684,2.2699999809265137,1.649999976158142,2.75,1.399999976158142,4.519999980926514,1.2100000381469727,1.649999976158142
2,15,1,0,2,4,2,7,6,4,6,14,11,2.140000104904175,3.569999933242798,3.4600000381469727,1.3379684686660767,1.757069706916809,1.5861271619796753,2.564486026763916,1.340000033378601,3.319999933242798,1.7000000476837158,2.0999999046325684,2.0199999809265137,1.8300000429153442,2.619999885559082,1.440000057220459,4.179999828338623,1.2400000095367432,1.8300000429153442
3,5,9,3,0,4,3,8,6,6,7,19,10,2.819999933242798,3.690000057220459,2.440000057220459,1.5984331369400024,1.4687765836715698,2.1126229763031006,1.8279433250427246,1.4600000381469727,2.75,1.899999976158142,1.9500000476837158,2.630000114440918,1.5,3.25,1.3300000429153442,5.550000190734863,1.149999976158142,1.5
4,14,20,5,1,0,3,4,6,6,1,15,13,2.1600000858306885,3.390000104904175,3.5999999046325684,1.3193514347076416,1.7459228038787842,1.568000078201294,2.613333225250244,1.5800000429153442,2.430000066757202,2.049999952316284,1.75,2.9000000953674316,1.4299999475479126,3.5,1.2799999713897705,6.5,1.1200000047683716,1.4299999475479126
5,3,8,3,1,2,3,8,6,12,2,13,12,1.5199999809265137,4.610000133514404,6.269999980926514,1.1430995464324951,2.656682014465332,1.2175757884979248,5.022500038146973,1.2799999713897705,3.759999990463257,1.600000023841858,2.299999952316284,2.0199999809265137,1.8300000429153442,2.5,1.5,3.5999999046325684,1.2999999523162842,1.8300000429153442
6,18,6,1,0,3,2,1,6,2,3,12,16,3.440000057220459,3.740000009536743,2.0999999046325684,1.7918663024902344,1.344862937927246,2.5853333473205566,1.5782557725906372,1.3600000143051147,3.200000047683716,1.7000000476837158,2.0999999046325684,2.25,1.659999966621399,2.75,1.399999976158142,4.539999961853027,1.2100000381469727,1.659999966621399
7,21,16,1,2,3,0,6,3,5,4,16,12,2.569999933242798,3.4000000953674316,2.8299999237060547,1.4636515378952026,1.5444623231887817,1.8699647188186646,2.0591440200805664,1.600000023841858,2.380000114440918,2.049999952316284,1.75,2.859999895095825,1.4299999475479126,3.75,1.25,7.199999809265137,1.100000023841858,1.4299999475479126
8,17,11,1,3,0,0,4,3,4,5,7,17,2.1600000858306885,3.700000047683716,3.2899999618530273,1.36382257938385,1.7414878606796265,1.6234042644500732,2.4726850986480713,1.25,4.059999942779541,1.5700000524520874,2.3499999046325684,1.9800000190734863,1.8799999952316284,2.5,1.5,3.319999933242798,1.340000033378601,1.8799999952316284
9,13,19,2,0,1,1,2,3,5,1,12,18,2.049999952316284,3.690000057220459,3.5899999141693115,1.3178571462631226,1.8196566104888916,1.5396100282669067,2.696195125579834,1.3300000429153442,3.4200000762939453,1.7000000476837158,2.0999999046325684,1.850000023841858,2,2.619999885559082,1.440000057220459,4.139999866485596,1.2400000095367432,2
10,10,4,2,0,0,0,1,6,6,2,13,14,4.889999866485596,3.7100000381469727,1.7799999713897705,2.109523296356201,1.2028779983520508,3.6722471714019775,1.3367279767990112,1.440000057220459,2.8499999046325684,1.850000023841858,1.9500000476837158,2.559999942779541,1.5299999713897705,3.25,1.3300000429153442,5.900000095367432,1.1399999856948853,1.5299999713897705
