game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
5,5,6,1,1,4,3,7,0,2,4,8,19,2.619999885559082,2.990000009536743,3.0299999713897705,1.3963992595672607,1.5049335956573486,1.8273926973342896,2.113358736038208,1.8600000143051147,1.940000057220459,2.5,1.5,3.940000057220459,1.2200000286102295,4.5,1.159999966621399,8.800000190734863,1.0299999713897705,1.2200000286102295
6,3,4,2,0,2,2,3,6,4,1,15,13,3.0799999237060547,3.3399999141693115,2.3399999141693115,1.6023675203323364,1.375985860824585,2.2699146270751953,1.7245454788208008,1.6100000143051147,2.180000066757202,2.3499999046325684,1.5700000524520874,3.1500000953674316,1.3300000429153442,4.329999923706055,1.2000000476837158,7.699999809265137,1.0700000524520874,1.3300000429153442
7,2,1,2,1,7,6,4,3,5,10,22,21,3.069999933242798,3.5199999809265137,2.2799999713897705,1.6398178339004517,1.3837240934371948,2.2995615005493164,1.707817554473877,1.340000033378601,3.0199999809265137,1.7000000476837158,2.0999999046325684,2.180000066757202,1.6100000143051147,2.619999885559082,1.440000057220459,4.300000190734863,1.1799999475479126,1.6100000143051147
8,11,9,1,0,2,5,7,4,8,1,14,19,1.690000057220459,2.690000057220459,3.799999952316284,1.0379223823547363,1.5750385522842407,1.4158421754837036,3.1835501194000244,1.9199999570846558,1.8799999952316284,2.5999999046325684,1.4700000286102295,4.099999904632568,1.2100000381469727,5,1.1399999856948853,8,1.0399999618530273,1.2100000381469727
9,10,12,3,0,3,3,8,2,9,2,30,16,1.7200000286102295,3.640000104904175,5.150000095367432,1.1680597066879272,2.132650852203369,1.3073009252548218,3.914302349090576,1.9299999475479126,1.8700000047683716,2.5,1.5,4.099999904632568,1.2100000381469727,4.5,1.159999966621399,8.899999618530273,1.0399999618530273,1.2100000381469727
10,8,7,2,0,3,4,3,6,4,1,13,17,1.4700000286102295,4.539999961853027,6.5,1.1104493141174316,2.6730072498321533,1.2016308307647705,5.313333034515381,1.5299999713897705,2.5,2,1.7999999523162842,2.859999895095825,1.399999976158142,3.5,1.2799999713897705,6,1.1100000143051147,1.399999976158142
11,4,2,0,1,5,2,4,2,7,5,25,18,4.800000190734863,3.9200000762939453,1.6100000143051147,2.1577982902526855,1.141265869140625,3.9017391204833984,1.3087083101272583,1.3899999856948853,2.869999885559082,1.850000023841858,1.9500000476837158,2.3399999141693115,1.600000023841858,3.25,1.3300000429153442,4.880000114440918,1.159999966621399,1.600000023841858
12,6,3,1,1,1,4,4,2,8,8,9,14,2.8399999141693115,3.0999999046325684,2.680000066757202,1.4821548461914062,1.4373703002929688,2.018507480621338,1.9047887325286865,1.7400000095367432,2.0999999046325684,2.3499999046325684,1.5700000524520874,3.5,1.2799999713897705,4.329999923706055,1.190000057220459,8,1.059999942779541,1.2799999713897705
13,1,5,1,0,2,0,10,3,7,0,15,9,1.0299999713897705,15,48,0.963817834854126,11.428571701049805,1.001029133796692,46.64990234375,1.1100000143051147,6.800000190734863,1.2799999713897705,3.5999999046325684,1.409999966621399,2.7699999809265137,1.659999966621399,2.0999999046325684,2.1600000858306885,1.690000057220459,2.7699999809265137
14,12,8,1,2,2,3,1,2,2,6,14,18,3.359999895095825,2.990000009536743,2.380000114440918,1.5821101665496826,1.3251769542694092,2.3635292053222656,1.6741666793823242,2,1.809999942779541,2.700000047683716,1.440000057220459,4.400000095367432,1.190000057220459,5,1.1399999856948853,10.5,1.0299999713897705,1.190000057220459
