game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,9,11,2,1,3,3,5,2,6,4,14,15,1.8200000524520874,4.159999847412109,4.159999847412109,1.2660869359970093,2.0799999237060547,1.408750057220459,3.2200000286102295,1.2400000095367432,4.019999980926514,1.600000023841858,2.299999952316284,2,1.850000023841858,2.5,1.5,3.299999952316284,1.3300000429153442,1.850000023841858
2,1,6,4,0,3,2,6,3,9,5,13,19,1.7899999618530273,4.039999961853027,4.139999866485596,1.240411639213562,2.044694423675537,1.4037197828292847,3.2465922832489014,1.2899999618530273,3.5999999046325684,1.7000000476837158,2.0999999046325684,2.049999952316284,1.7999999523162842,2.5,1.5,3.799999952316284,1.2300000190734863,1.7999999523162842
3,17,26,4,2,1,2,4,0,5,3,14,12,2.9800000190734863,3.740000009536743,2.3399999141693115,1.6585118770599365,1.4394079446792603,2.228034257888794,1.7495301961898804,1.350000023841858,3.200000047683716,1.7200000286102295,2.069999933242798,2.299999952316284,1.649999976158142,2.75,1.399999976158142,4.21999979019165,1.2300000190734863,1.649999976158142
4,16,23,0,0,0,0,3,4,3,3,9,12,1.8899999856948853,3.8399999141693115,3.880000114440918,1.2665969133377075,1.9299482107162476,1.4573711156845093,2.991851806640625,1.350000023841858,3.200000047683716,1.7200000286102295,2.069999933242798,2.240000009536743,1.649999976158142,3,1.3600000143051147,4.340000152587891,1.1799999475479126,1.649999976158142
5,5,10,2,0,0,0,10,7,9,3,14,6,1.3700000047683716,5.800000190734863,7.900000095367432,1.1082286834716797,3.3445255756378174,1.149949312210083,6.631094932556152,1.1399999856948853,5.599999904632568,1.399999976158142,2.869999885559082,1.7999999523162842,2.049999952316284,2,1.7200000286102295,2.450000047683716,1.5499999523162842,2.049999952316284
6,21,2,1,2,1,1,3,8,3,3,10,6,2.119999885559082,3.880000114440918,3.309999942779541,1.3709332942962646,1.7862030267715454,1.6076737642288208,2.510094404220581,1.409999966621399,3,1.7999999523162842,2,2.5199999809265137,1.5499999523162842,2.75,1.399999976158142,4.679999828338623,1.190000057220459,1.5499999523162842
7,13,4,0,0,0,1,6,8,5,6,12,16,2.1700000762939453,3.7200000286102295,3.309999942779541,1.3705263137817383,1.7515220642089844,1.6224772930145264,2.4748387336730957,1.340000033378601,3.259999990463257,1.7000000476837158,2.0999999046325684,2.25,1.6799999475479126,2.619999885559082,1.440000057220459,4.139999866485596,1.2300000190734863,1.6799999475479126
8,22,20,2,1,2,2,7,4,4,4,13,18,4.119999885559082,3.859999895095825,1.8899999856948853,1.992882251739502,1.2687652111053467,3.1162962913513184,1.4295631647109985,1.350000023841858,3.190000057220459,1.7000000476837158,2.0999999046325684,2.25,1.6799999475479126,2.75,1.399999976158142,4.260000228881836,1.2200000286102295,1.6799999475479126
9,18,24,2,2,2,2,14,1,13,2,15,15,1.850000023841858,3.5,4.880000114440918,1.210280418395996,2.0381860733032227,1.3515163660049438,3.5650811195373535,1.9500000476837158,1.899999976158142,2.5,1.5,3.740000009536743,1.2699999809265137,5,1.159999966621399,10,1.0499999523162842,1.2699999809265137
10,25,14,2,2,1,0,7,10,7,5,15,9,2.4800000190734863,3.7200000286102295,2.7899999618530273,1.4880000352859497,1.5942857265472412,1.8511110544204712,2.0824999809265137,1.2999999523162842,3.5199999809265137,1.7000000476837158,2.0999999046325684,2.140000104904175,1.7899999618530273,2.619999885559082,1.440000057220459,3.8399999141693115,1.2599999904632568,1.7899999618530273
11,27,3,2,3,2,0,6,3,8,5,9,14,1.6299999952316284,4.489999771118164,5.179999828338623,1.1958659887313843,2.405191421508789,1.288378357887268,4.094356060028076,1.309999942779541,3.4600000381469727,1.600000023841858,2.299999952316284,2,1.850000023841858,2.5,1.5,3.8399999141693115,1.2599999904632568,1.850000023841858
12,19,15,0,0,2,4,1,6,6,5,12,18,1.899999976158142,3.740000009536743,3.9600000381469727,1.2599290609359741,1.9234285354614258,1.4502019882202148,3.022526264190674,1.4299999475479126,2.8299999237060547,1.7999999523162842,2,2.5,1.5299999713897705,3,1.3600000143051147,5.050000190734863,1.1399999856948853,1.5299999713897705
13,12,7,1,0,2,1,5,2,2,2,14,14,4.440000057220459,4.039999961853027,1.75,2.1152830123901367,1.2210707664489746,3.466399908065796,1.3662612438201904,1.309999942779541,3.200000047683716,1.7000000476837158,2.0999999046325684,2.0999999046325684,1.7699999809265137,2.75,1.399999976158142,4.300000190734863,1.2200000286102295,1.7699999809265137
14,2,16,1,1,1,2,3,4,5,4,16,12,2.069999933242798,3.930000066757202,3.4100000858306885,1.3558499813079834,1.8257901668548584,1.5748974084854126,2.5943961143493652,1.3700000047683716,3.130000114440918,1.7200000286102295,2.069999933242798,2.0999999046325684,1.7699999809265137,2.75,1.399999976158142,4.380000114440918,1.2200000286102295,1.7699999809265137
15,20,24,5,0,2,2,6,6,10,5,18,14,1.3700000047683716,5.329999923706055,8.979999542236328,1.0898656845092773,3.3447518348693848,1.1295100450515747,7.403649806976318,1.2400000095367432,4.059999942779541,1.5299999713897705,2.4000000953674316,1.899999976158142,1.9500000476837158,2.369999885559082,1.5299999713897705,3.259999990463257,1.340000033378601,1.9500000476837158
16,18,17,2,2,2,3,6,3,8,4,13,8,1.590000033378601,4.139999866485596,5.650000095367432,1.1487958431243896,2.389274835586548,1.2557876110076904,4.462389945983887,1.3300000429153442,3.299999952316284,1.7000000476837158,2.0999999046325684,2.190000057220459,1.6799999475479126,2.75,1.399999976158142,4.139999866485596,1.2000000476837158,1.6799999475479126
17,26,12,2,2,2,1,7,5,5,6,13,9,1.8600000143051147,3.940000057220459,3.9200000762939453,1.2635172605514526,1.9649872779846191,1.4450000524520874,3.0453763008117676,1.2899999618530273,3.359999895095825,1.7000000476837158,2.0999999046325684,2.0199999809265137,1.8300000429153442,2.619999885559082,1.440000057220459,4.039999961853027,1.2400000095367432,1.8300000429153442
18,11,13,3,1,4,3,3,5,7,4,16,18,2.119999885559082,3.880000114440918,3.309999942779541,1.3709332942962646,1.7862030267715454,1.6076737642288208,2.510094404220581,1.3200000524520874,3.380000114440918,1.659999966621399,2.1500000953674316,2.049999952316284,1.7999999523162842,2.619999885559082,1.440000057220459,3.9600000381469727,1.25,1.7999999523162842
19,5,1,1,1,1,3,6,3,4,3,17,13,1.8200000524520874,4.159999847412109,4.159999847412109,1.2660869359970093,2.0799999237060547,1.408750057220459,3.2200000286102295,1.2200000286102295,4.300000190734863,1.5,2.5,1.8600000143051147,2.049999952316284,2.200000047683716,1.6100000143051147,3.0899999141693115,1.3700000047683716,2.049999952316284
